"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","5"
"enum_id","5","6"
"enum_confirm_grp[1]/enum_details","1","11"
"enum_confirm_grp[1]/enum_confirm","1","11"
"community_id","8","12"
"comm_confirm_grp[1]/comm_details","1","21"
"comm_confirm_grp[1]/comm_confirm","1","21"
"iw_iden_grp[1]/iw_id","37","22"
"iw_iden_grp[1]/iw_fullname","37","22"
"iw_iden_grp[1]/iw_age","37","22"
"wm8","3","55"
"wm9_grp[1]/wm9a","4","61"
"wm9_grp[1]/consent","4","61"
"consented_grp[1]/wb3_age_sel","4","65"
"consented_grp[1]/wb3_dob_dmy","37","69"
"consented_grp[1]/wb5","2","106"
"consented_grp[1]/wb5_grp[1]/wb6","1","108"
"consented_grp[1]/wb5_grp[1]/wb6a","6","109"
"consented_grp[1]/wb5_grp[1]/wb6b","3","114"
"consented_grp[1]/wb5_grp[1]/wb7","1","119"
"consented_grp[1]/wb5_grp[1]/wb10a","5","120"
"consented_grp[1]/wb5_grp[1]/wb10b","3","124"
"consented_grp[1]/wb5_grp[1]/wb12a","3","125"
"consented_grp[1]/wb5_grp[1]/wb12b","2","127"
"consented_grp[1]/wb14_grp[1]/wb14_note","40","133"
"consented_grp[1]/wb14_grp[1]/wb14","40","133"
"consented_grp[1]/wb15","19","173"
"consented_grp[1]/wb18","4","192"
"consented_grp[1]/mt1","2","197"
"consented_grp[1]/mt2","1","199"
"consented_grp[1]/mt3","8","200"
"consented_grp[1]/mt4","6","208"
"consented_grp[1]/mt9","3","214"
"consented_grp[1]/mt11","8","216"
"consented_grp[1]/mt12","2","224"
"consented_grp[1]/cm1","3","226"
"consented_grp[1]/cm2","12","229"
"consented_grp[1]/cm2_grp[1]/cm3","13","241"
"consented_grp[1]/cm2_grp[1]/cm4","13","241"
"consented_grp[1]/cm5","4","254"
"consented_grp[1]/cm8","3","258"
"consented_grp[1]/cm12","6","261"
"consented_grp[1]/bh0","1","266"
"consented_grp[1]/bh_rpt[1]/bh1","23","267"
"consented_grp[1]/bh_rpt[1]/bh2","1","290"
"consented_grp[1]/bh_rpt[1]/bh3","5","292"
"consented_grp[1]/bh_rpt[1]/bh4_age_sel","2","297"
"consented_grp[1]/bh_rpt[1]/bh4_dob_dmy","50","299"
"consented_grp[1]/bh_rpt[1]/bh5","3","348"
"consented_grp[1]/bh_rpt[1]/bh6","6","350"
"consented_grp[1]/bh_rpt[1]/bh7","3","358"
"consented_grp[1]/bh_rpt[1]/bh8","17","361"
"consented_grp[1]/bh_rpt[1]/bh10","2","377"
"consented_grp[1]/bh_rpt[2]/bh1","10","379"
"consented_grp[1]/bh_rpt[2]/bh2","7","390"
"consented_grp[1]/bh_rpt[2]/bh3","4","397"
"consented_grp[1]/bh_rpt[2]/bh4_age_sel","6","400"
"consented_grp[1]/bh_rpt[2]/bh4_dob_dmy","12","407"
"consented_grp[1]/bh_rpt[2]/bh5","1","418"
"consented_grp[1]/bh_rpt[2]/bh6","6","420"
"consented_grp[1]/bh_rpt[2]/bh7","4","425"
"consented_grp[1]/bh_rpt[2]/bh8","6","430"
"consented_grp[1]/bh_rpt[2]/bh10","2","436"
"consented_grp[1]/db2","4","438"
"consented_grp[1]/db4_b","24","442"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn2","4","465"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn3","2","469"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn4_grp[1]/mn4_a","7","471"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn4_grp[1]/mn4_b","7","471"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn5","6","478"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn6_grp[1]/mn6_note","4","485"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn6_grp[1]/mn6_label","4","485"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn6_grp[1]/mn6_a","4","485"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn6_grp[1]/mn6_b","4","485"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn6_grp[1]/mn6_c","4","485"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn7","12","489"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn8","31","496"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn9","34","507"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn11","44","510"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn12","13","539"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn14a","11","600"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn16","3","633"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn17","6","636"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn18","3","641"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn19","3","644"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn20","4","648"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn21","2","652"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn23","35","654"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn25","5","689"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn26","67","692"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn30","5","746"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn31","10","765"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn32","17","775"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn33","5","778"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn35","10","797"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn36","11","801"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn36_grp[1]/mn37","11","818"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn36_grp[1]/mn37_units","11","818"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn38","8","829"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn_note","15","832"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn3_grp[1]/pn3","11","852"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn3_grp[1]/pn3_units","11","852"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn4_grp[1]/pn4_note","6","863"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn4_grp[1]/pn4","6","863"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn5_grp[1]/pm5_note","2","869"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn5_grp[1]/pn5","2","869"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn6_grp[1]/pn6_note","8","871"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn6_grp[1]/pn6","8","871"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn17","2","879"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn25_grp[1]/pn25_note","4","881"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn25_grp[1]/pn25_lab","4","881"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn25_grp[1]/pn25a","4","881"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn25_grp[1]/pn25b","4","881"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn25_grp[1]/pn25c","4","881"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn27","3","885"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn30","3","888"
"consented_grp[1]/cp1_grp[1]/cp1_note","9","891"
"consented_grp[1]/cp1_grp[1]/cp1","9","891"
"consented_grp[1]/cp2_grp[1]/cp2_note","10","897"
"consented_grp[1]/cp2_grp[1]/cp2","10","897"
"consented_grp[1]/cp4","2","910"
"consented_grp[1]/un7","3","911"
"consented_grp[1]/un8_grp[1]/un8","9","915"
"consented_grp[1]/un8_grp[1]/un8_units","9","915"
"consented_grp[1]/ma1","11","924"
"consented_grp[1]/ma2","9","935"
"consented_grp[1]/ma3","5","944"
"consented_grp[1]/ma7","13","949"
"consented_grp[1]/ma8a","60","962"
"consented_grp[1]/ma11a","15","1020"
"consented_grp[1]/af_grp[1]/af2","2","1036"
"consented_grp[1]/af_grp[1]/af3","1","1038"
"consented_grp[1]/af_grp[1]/af4","1","1039"
"consented_grp[1]/af_grp[1]/af6b","1","1040"
"consented_grp[1]/af_grp[1]/af8b","2","1041"
"consented_grp[1]/af_grp[1]/af9","1","1043"
"consented_grp[1]/af_grp[1]/af10","1","1044"
"consented_grp[1]/af_grp[1]/af11","1","1045"
"consented_grp[1]/af_grp[1]/af12","1","1046"
"consented_grp[1]/ls1_grp[1]/ls_note","15","1047"
"consented_grp[1]/ls1_grp[1]/ls1","15","1047"
"consented_grp[1]/ls2_grp[1]/ls2_note","13","1062"
"consented_grp[1]/ls2_grp[1]/ls2","13","1062"
"consented_grp[1]/ls3","4","1068"
"consented_grp[1]/ls4","1","1079"
"consented_grp[1]/survey_language","2","1080"
"consented_grp[1]/survey_accomp","1","1081"
"consented_grp[1]/survey_accomp_enum","8","1083"
"consented_grp[1]/comment","1","1091"
