"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","5"
"enum_id","6","6"
"enum_confirm_grp[1]/enum_details","1","12"
"enum_confirm_grp[1]/enum_confirm","1","12"
"community_id","10","13"
"comm_confirm_grp[1]/comm_details","1","24"
"comm_confirm_grp[1]/comm_confirm","1","24"
"iw_iden_grp[1]/iw_id","57","25"
"iw_iden_grp[1]/iw_fullname","57","25"
"iw_iden_grp[1]/iw_age","57","25"
"wm8","5","82"
"wm9_grp[1]/wm9b","6","87"
"wm9_grp[1]/consent","6","87"
"consented_grp[1]/wb3_age_sel","7","92"
"consented_grp[1]/wb4_age_est","3","99"
"consented_grp[1]/wb5","3","102"
"consented_grp[1]/wb14_grp[1]/wb14_note","6","105"
"consented_grp[1]/wb14_grp[1]/wb14","6","105"
"consented_grp[1]/wb15","27","111"
"consented_grp[1]/wb18","17","138"
"consented_grp[1]/mt1","5","155"
"consented_grp[1]/mt2","8","160"
"consented_grp[1]/mt3","4","168"
"consented_grp[1]/mt4","5","172"
"consented_grp[1]/mt9","3","177"
"consented_grp[1]/mt11","2","180"
"consented_grp[1]/mt12","24","182"
"consented_grp[1]/cm1","9","207"
"consented_grp[1]/cm2","9","216"
"consented_grp[1]/cm2_grp[1]/cm3","16","225"
"consented_grp[1]/cm2_grp[1]/cm4","16","225"
"consented_grp[1]/cm5","18","241"
"consented_grp[1]/cm5_grp[1]/cm6","6","258"
"consented_grp[1]/cm5_grp[1]/cm7","6","258"
"consented_grp[1]/cm8","15","264"
"consented_grp[1]/cm12","17","279"
"consented_grp[1]/bh0","2","296"
"consented_grp[1]/bh_rpt[1]/bh1","18","297"
"consented_grp[1]/bh_rpt[1]/bh2","2","316"
"consented_grp[1]/bh_rpt[1]/bh3","4","318"
"consented_grp[1]/bh_rpt[1]/bh4_age_sel","9","320"
"consented_grp[1]/bh_rpt[1]/bh4_dob_my","98","325"
"consented_grp[1]/bh_rpt[1]/bh4_dob_dmy","26","429"
"consented_grp[1]/bh_rpt[1]/bh5","3","455"
"consented_grp[1]/bh_rpt[1]/bh6","74","458"
"consented_grp[1]/bh_rpt[1]/bh7","4","532"
"consented_grp[1]/bh_rpt[1]/bh10","3","536"
"consented_grp[1]/bh_rpt[2]/bh1","35","539"
"consented_grp[1]/bh_rpt[2]/bh2","2","574"
"consented_grp[1]/bh_rpt[2]/bh3","2","576"
"consented_grp[1]/bh_rpt[2]/bh4_age_sel","3","578"
"consented_grp[1]/bh_rpt[2]/bh4_dob_dmy","35","581"
"consented_grp[1]/bh_rpt[2]/bh5","5","616"
"consented_grp[1]/bh_rpt[2]/bh6","7","621"
"consented_grp[1]/bh_rpt[2]/bh7","7","629"
"consented_grp[1]/bh_rpt[2]/bh8","39","632"
"consented_grp[1]/bh_rpt[2]/bh10","10","675"
"consented_grp[1]/bh_rpt[3]/bh1","17","685"
"consented_grp[1]/bh_rpt[3]/bh2","2","701"
"consented_grp[1]/bh_rpt[3]/bh3","2","703"
"consented_grp[1]/bh_rpt[3]/bh4_age_sel","1","706"
"consented_grp[1]/bh_rpt[3]/bh4_dob_dmy","37","707"
