"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","3","2"
"enum_id","9","5"
"enum_confirm_grp[1]/enum_details","2","11"
"enum_confirm_grp[1]/enum_confirm","2","11"
"community_id","10","12"
"comm_confirm_grp[1]/comm_details","3","20"
"comm_confirm_grp[1]/comm_confirm","3","20"
"hhid_grp[1]/hhid_instruction","12","22"
"hhid_grp[1]/hhid_struct_num","12","22"
"hhid_grp[1]/hhid_hh_num","12","22"
"hhid_confirm_grp[1]/hhid_details","3","30"
"hhid_confirm_grp[1]/hhid_confirm","3","30"
"consent_grp[1]/consent_instr","131","32"
"consent_grp[1]/consent","131","32"
"consented_grp[1]/hh_note","31","162"
"consented_grp[1]/hhm_cnt","6","191"
"consented_grp[1]/rooster_note","8","196"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","37","202"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","37","202"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","37","202"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl3","4","237"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl4","3","239"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl5_age_sel","3","241"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl5_dob_dmy","12","243"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl7","3","253"
"consented_grp[1]/hhm_rpt[1]/ed4","8","255"
"consented_grp[1]/hhm_rpt[1]/hhm_add_grp[1]/hhm_add_note","4","261"
"consented_grp[1]/hhm_rpt[1]/hhm_add_grp[1]/hhm_add_yn","4","261"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","20","263"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","20","263"
