"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","1"
"enum_id","5","2"
"enum_confirm_grp[1]/enum_details","1","7"
"enum_confirm_grp[1]/enum_confirm","1","7"
"community_id","5","8"
"comm_confirm_grp[1]/comm_details","1","13"
"comm_confirm_grp[1]/comm_confirm","1","13"
"u5_iden_grp[1]/u5_id","79","14"
"u5_iden_grp[1]/u5_fullname","79","14"
"u5_iden_grp[1]/u5_age","79","14"
"u5_iden_grp[1]/u5_ct_id","79","14"
"u5_iden_grp[1]/u5_ct_fullname","79","14"
"uf9","1","92"
"consent_grp[1]/consent","1","94"
"consented_grp[1]/ub0","1","95"
"consented_grp[1]/ub1_age_sel","1","96"
"consented_grp[1]/ub1_dob_dmy","17","97"
"consented_grp[1]/ub5","2","114"
"consented_grp[1]/ub9","2","116"
"consented_grp[1]/br1","21","118"
"consented_grp[1]/ec1","8","138"
"consented_grp[1]/ec2_grp[1]/generated_note_name_108","19","146"
"consented_grp[1]/ec2_grp[1]/ec2_label","19","146"
"consented_grp[1]/ec2_grp[1]/ec2a","19","146"
"consented_grp[1]/ec2_grp[1]/ec2b","19","146"
"consented_grp[1]/ec2_grp[1]/ec2c","19","146"
"consented_grp[1]/ec3_grp[1]/generated_note_name_115","20","165"
"consented_grp[1]/ec3_grp[1]/ec3a","20","165"
"consented_grp[1]/ec3_grp[1]/ec3b","20","165"
"consented_grp[1]/ec7","2","185"
"consented_grp[1]/ec8","1","187"
"consented_grp[1]/ec9","2","188"
"consented_grp[1]/ec10","9","190"
"consented_grp[1]/ec11","7","199"
"consented_grp[1]/ec12","2","206"
"consented_grp[1]/ec13","3","208"
"consented_grp[1]/ec14","5","211"
"consented_grp[1]/ec15","3","216"
"consented_grp[1]/ucd2_grp[1]/ucd2_note","92","219"
"consented_grp[1]/ucd2_grp[1]/ucb2_label","92","219"
"consented_grp[1]/ucd2_grp[1]/ucd2a","92","219"
"consented_grp[1]/ucd2_grp[1]/ucb2b","92","219"
"consented_grp[1]/ucd2_grp[1]/ucb2c","92","219"
"consented_grp[1]/ucd2_grp[1]/ucb2d","92","219"
"consented_grp[1]/ucd2_grp[1]/ucb2e","92","219"
"consented_grp[1]/ucd2_grp[1]/ucb2f","92","219"
"consented_grp[1]/ucd2_grp[1]/ucb2g","92","219"
"consented_grp[1]/ucd2_grp[1]/ucb2h","92","219"
"consented_grp[1]/ucd2_grp[1]/ucb2i","92","219"
"consented_grp[1]/ucd2_grp[1]/ucb2j","92","219"
"consented_grp[1]/ucd3","20","311"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf2_note","6","331"
