"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","7"
"enum_id","11","8"
"enum_confirm_grp[1]/enum_details","1","19"
"enum_confirm_grp[1]/enum_confirm","1","19"
"community_id","16","20"
"comm_confirm_grp[1]/comm_details","1","36"
"comm_confirm_grp[1]/comm_confirm","1","36"
"u5_iden_grp[1]/u5_id","63","37"
"u5_iden_grp[1]/u5_fullname","63","37"
"u5_iden_grp[1]/u5_age","63","37"
"u5_iden_grp[1]/u5_ct_id","63","37"
"u5_iden_grp[1]/u5_ct_fullname","63","37"
"gm1_a","14","101"
"gm1_b","6","115"
"gm2_rpt[1]/gm2_grp[1]/gm3","12","121"
"gm2_rpt[1]/gm2_grp[1]/gm4","2","133"
"gm2_rpt[1]/gm2_grp[1]/gm5","6","134"
"gm2_rpt[1]/gm2_grp[1]/gm6","11","140"
"gm2_rpt[1]/gm2_grp[1]/gm7","2","151"
"gmobs1","6","153"
"gmobs2","1","159"
"an8","12","161"
"an9","10","162"
"an11_grp[1]/an11_b","12","164"
"an11_grp[1]/an11","12","164"
"an12","3","166"
"an13","2","168"
"an15","2","169"
