"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","2"
"enum_id","6","3"
"enum_confirm_grp[1]/enum_details","1","9"
"enum_confirm_grp[1]/enum_confirm","1","9"
"community_id","7","11"
"comm_confirm_grp[1]/comm_details","2","17"
"comm_confirm_grp[1]/comm_confirm","2","17"
"u5_iden_grp[1]/u5_id","90","19"
"u5_iden_grp[1]/u5_fullname","90","19"
"u5_iden_grp[1]/u5_age","90","19"
"u5_iden_grp[1]/u5_ct_id","90","19"
"u5_iden_grp[1]/u5_ct_fullname","90","19"
"gm1_a","25","109"
"gm1_b","30","133"
"gmobs1","3","165"
"gmobs2","1","168"
"an8","39","169"
"an9","12","208"
"an11_grp[1]/an11_b","26","220"
"an11_grp[1]/an11","26","220"
"an12","10","246"
"an13","4","256"
"an15","10","261"
