"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","2"
"enum_id","6","3"
"enum_confirm_grp[1]/enum_details","1","9"
"enum_confirm_grp[1]/enum_confirm","1","9"
"community_id","6","10"
"comm_confirm_grp[1]/comm_details","1","16"
"comm_confirm_grp[1]/comm_confirm","1","16"
"hhid_grp[1]/hhid_instruction","5","17"
"hhid_grp[1]/hhid_struct_num","5","17"
"hhid_grp[1]/hhid_hh_num","5","17"
"hhid_confirm_grp[1]/hhid_details","7","22"
"hhid_confirm_grp[1]/hhid_confirm","7","22"
"consent_grp[1]/consent_instr","5","29"
"consent_grp[1]/consent","5","29"
"consented_grp[1]/hh_note","1","35"
"consented_grp[1]/hhm_cnt","4","36"
"consented_grp[1]/rooster_note","2","39"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","24","41"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","24","41"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","24","41"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl3","1","65"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl4","2","66"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl5_age_sel","2","68"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl5_dob_dmy","27","70"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl7","2","96"
"consented_grp[1]/hhm_rpt[1]/ed4","3","99"
"consented_grp[1]/hhm_rpt[1]/hhm_add_grp[1]/hhm_add_note","8","102"
"consented_grp[1]/hhm_rpt[1]/hhm_add_grp[1]/hhm_add_yn","8","102"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","40","110"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","40","110"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","40","110"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl3","2","150"
