"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","4"
"enum_id","5","5"
"enum_confirm_grp[1]/enum_details","1","10"
"enum_confirm_grp[1]/enum_confirm","1","10"
"community_id","8","11"
"comm_confirm_grp[1]/comm_details","1","18"
"comm_confirm_grp[1]/comm_confirm","1","18"
"iw_iden_grp[1]/iw_id","44","20"
"iw_iden_grp[1]/iw_fullname","44","20"
"iw_iden_grp[1]/iw_age","44","20"
"wm8","2","64"
"wm9_grp[1]/wm9b","1","66"
"wm9_grp[1]/consent","1","66"
"consented_grp[1]/wb3_age_sel","3","67"
"consented_grp[1]/wb3_dob_y","4","70"
"consented_grp[1]/wb5","2","74"
"consented_grp[1]/wb14_grp[1]/wb14_note","29","76"
"consented_grp[1]/wb14_grp[1]/wb14","29","76"
"consented_grp[1]/wb15","13","105"
"consented_grp[1]/wb16_grp[1]/wb16a","13","118"
"consented_grp[1]/wb16_grp[1]/wb16_note","13","118"
"consented_grp[1]/wb16_grp[1]/wb16b","13","118"
"consented_grp[1]/wb17a","9","131"
"consented_grp[1]/wb17b","7","140"
"consented_grp[1]/wb18","19","147"
"consented_grp[1]/mt1","10","166"
"consented_grp[1]/mt2","9","176"
"consented_grp[1]/mt3","4","185"
"consented_grp[1]/mt4","4","189"
"consented_grp[1]/mt9","3","193"
"consented_grp[1]/mt11","4","196"
"consented_grp[1]/mt12","9","200"
"consented_grp[1]/cm1","7","209"
"consented_grp[1]/cm2","13","216"
"consented_grp[1]/cm2_grp[1]/cm3","5","229"
"consented_grp[1]/cm2_grp[1]/cm4","5","229"
"consented_grp[1]/cm5","5","234"
"consented_grp[1]/cm5_grp[1]/cm6","19","239"
"consented_grp[1]/cm5_grp[1]/cm7","19","239"
"consented_grp[1]/cm8","10","246"
"consented_grp[1]/cm8_grp[1]/cm9","22","251"
"consented_grp[1]/cm8_grp[1]/cm10","22","251"
"consented_grp[1]/cm12","13","255"
"consented_grp[1]/bh0","1","303"
"consented_grp[1]/bh_rpt[1]/bh1","8","304"
"consented_grp[1]/bh_rpt[1]/bh2","6","312"
"consented_grp[1]/bh_rpt[1]/bh3","5","318"
"consented_grp[1]/bh_rpt[1]/bh4_age_sel","6","322"
"consented_grp[1]/bh_rpt[1]/bh4_dob_my","69","324"
"consented_grp[1]/bh_rpt[1]/bh5","26","338"
"consented_grp[1]/bh_rpt[1]/bh6","52","341"
"consented_grp[1]/bh_rpt[1]/bh7","4","476"
"consented_grp[1]/bh_rpt[1]/bh10","2","480"
"consented_grp[1]/bh_rpt[2]/bh1","11","482"
"consented_grp[1]/bh_rpt[2]/bh2","2","491"
"consented_grp[1]/bh_rpt[2]/bh3","2","496"
"consented_grp[1]/bh_rpt[2]/bh4_age_sel","1","498"
"consented_grp[1]/bh_rpt[2]/bh4_dob_my","27","499"
"consented_grp[1]/bh_rpt[2]/bh5","3","510"
"consented_grp[1]/bh_rpt[2]/bh6","2","528"
"consented_grp[1]/bh_rpt[2]/bh7","2","531"
"consented_grp[1]/bh_rpt[2]/bh10","2","533"
"consented_grp[1]/bh_rpt[3]/bh1","8","535"
"consented_grp[1]/bh_rpt[3]/bh2","3","543"
"consented_grp[1]/bh_rpt[3]/bh3","4","545"
"consented_grp[1]/bh_rpt[3]/bh4_age_sel","9","546"
"consented_grp[1]/bh_rpt[3]/bh4_dob_my","2","557"
"consented_grp[1]/bh_rpt[3]/bh4_dob_dmy","8","561"
"consented_grp[1]/bh_rpt[3]/bh5","2","569"
"consented_grp[1]/bh_rpt[3]/bh6","4","571"
"consented_grp[1]/bh_rpt[3]/bh7","1","574"
"consented_grp[1]/bh_rpt[3]/bh8","7","576"
"consented_grp[1]/bh_rpt[3]/bh10","1","583"
"consented_grp[1]/bh_rpt[4]/bh1","16","585"
"consented_grp[1]/bh_rpt[4]/bh2","3","601"
"consented_grp[1]/bh_rpt[4]/bh3","4","604"
"consented_grp[1]/bh_rpt[4]/bh4_age_sel","2","608"
"consented_grp[1]/bh_rpt[4]/bh4_dob_dmy","6","610"
"consented_grp[1]/bh_rpt[4]/bh5","2","616"
"consented_grp[1]/bh_rpt[4]/bh9_grp[1]/bh9_note","10","618"
"consented_grp[1]/bh_rpt[4]/bh9_grp[1]/bh9_a","10","618"
"consented_grp[1]/bh_rpt[4]/bh9_grp[1]/bh9_b","10","618"
"consented_grp[1]/bh_rpt[4]/bh10","2","628"
"consented_grp[1]/bh_rpt[5]/bh1","12","630"
"consented_grp[1]/bh_rpt[5]/bh2","3","642"
"consented_grp[1]/bh_rpt[5]/bh3","4","645"
"consented_grp[1]/bh_rpt[5]/bh4_age_sel","10","649"
"consented_grp[1]/bh_rpt[5]/bh4_dob_my","18","659"
"consented_grp[1]/bh_rpt[5]/bh5","4","677"
"consented_grp[1]/bh_rpt[5]/bh9_grp[1]/bh9_note","11","681"
"consented_grp[1]/bh_rpt[5]/bh9_grp[1]/bh9_a","11","681"
"consented_grp[1]/bh_rpt[5]/bh9_grp[1]/bh9_b","11","681"
"consented_grp[1]/bh_rpt[5]/bh10","2","692"
"consented_grp[1]/cp1_grp[1]/cp1_note","6","694"
"consented_grp[1]/cp1_grp[1]/cp1","6","694"
"consented_grp[1]/cp2_grp[1]/cp2_note","6","700"
"consented_grp[1]/cp2_grp[1]/cp2","6","700"
"consented_grp[1]/cp3","4","707"
"consented_grp[1]/un7","10","710"
"consented_grp[1]/un11","15","720"
"consented_grp[1]/ma1","5","735"
"consented_grp[1]/ma5","6","740"
"consented_grp[1]/ma6","2","746"
"consented_grp[1]/ma7","8","747"
"consented_grp[1]/ma8a","72","755"
"consented_grp[1]/ma11a","13","828"
"consented_grp[1]/af_grp[1]/af2","6","840"
"consented_grp[1]/af_grp[1]/af3","3","846"
"consented_grp[1]/af_grp[1]/af4","3","849"
"consented_grp[1]/af_grp[1]/af6b","4","852"
"consented_grp[1]/af_grp[1]/af8b","1","857"
"consented_grp[1]/af_grp[1]/af9","3","858"
"consented_grp[1]/af_grp[1]/af10","6","859"
"consented_grp[1]/af_grp[1]/af11","5","866"
"consented_grp[1]/af_grp[1]/af12","5","872"
"consented_grp[1]/ls1_grp[1]/ls_note","34","877"
"consented_grp[1]/ls1_grp[1]/ls1","34","877"
"consented_grp[1]/ls2_grp[1]/ls2_note","38","911"
"consented_grp[1]/ls2_grp[1]/ls2","38","911"
"consented_grp[1]/ls3","15","949"
"consented_grp[1]/ls4","10","964"
"consented_grp[1]/survey_language","1","974"
"consented_grp[1]/survey_accomp","4","975"
"consented_grp[1]/comment","3","979"
