"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","1"
"enum_id","6","2"
"enum_confirm_grp[1]/enum_details","1","8"
"enum_confirm_grp[1]/enum_confirm","1","8"
"community_id","7","9"
"comm_confirm_grp[1]/comm_details","1","17"
"comm_confirm_grp[1]/comm_confirm","1","17"
"u5_iden_grp[1]/u5_id","58","18"
"u5_iden_grp[1]/u5_fullname","58","18"
"u5_iden_grp[1]/u5_age","58","18"
"u5_iden_grp[1]/u5_ct_id","58","18"
"u5_iden_grp[1]/u5_ct_fullname","58","18"
"uf9","2","76"
"consent_grp[1]/consent","3","77"
"consented_grp[1]/ub0","1","80"
"consented_grp[1]/ub1_age_sel","1","81"
"consented_grp[1]/ub1_dob_dmy","11","83"
"consented_grp[1]/ub5","4","94"
"consented_grp[1]/ub9","8","97"
"consented_grp[1]/br1","13","105"
"consented_grp[1]/br2","2","118"
"consented_grp[1]/br3","7","121"
"consented_grp[1]/ec1","13","128"
"consented_grp[1]/ec2_grp[1]/generated_note_name_108","25","140"
"consented_grp[1]/ec2_grp[1]/ec2_label","25","140"
"consented_grp[1]/ec2_grp[1]/ec2a","25","140"
"consented_grp[1]/ec2_grp[1]/ec2b","25","140"
"consented_grp[1]/ec2_grp[1]/ec2c","25","140"
"consented_grp[1]/ec3_grp[1]/generated_note_name_115","28","165"
"consented_grp[1]/ec3_grp[1]/ec3a","28","165"
"consented_grp[1]/ec3_grp[1]/ec3b","28","165"
"consented_grp[1]/ec7","4","194"
"consented_grp[1]/ec8","1","198"
"consented_grp[1]/ec9","5","199"
"consented_grp[1]/ec10","6","204"
"consented_grp[1]/ec11","10","210"
"consented_grp[1]/ec12","1","220"
"consented_grp[1]/ec13","2","221"
"consented_grp[1]/ec14","4","223"
"consented_grp[1]/ec15","2","227"
"consented_grp[1]/ucd2_grp[1]/ucd2_note","60","230"
"consented_grp[1]/ucd2_grp[1]/ucb2_label","60","230"
"consented_grp[1]/ucd2_grp[1]/ucd2a","60","230"
"consented_grp[1]/ucd2_grp[1]/ucb2b","60","230"
"consented_grp[1]/ucd2_grp[1]/ucb2c","60","230"
"consented_grp[1]/ucd2_grp[1]/ucb2d","60","230"
"consented_grp[1]/ucd2_grp[1]/ucb2e","60","230"
"consented_grp[1]/ucd2_grp[1]/ucb2f","60","230"
"consented_grp[1]/ucd2_grp[1]/ucb2g","60","230"
"consented_grp[1]/ucd2_grp[1]/ucb2h","60","230"
