"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","3","4"
"enum_id","7","7"
"enum_confirm_grp[1]/enum_details","1","14"
"enum_confirm_grp[1]/enum_confirm","1","14"
"community_id","87","16"
"comm_confirm_grp[1]/comm_details","14","103"
"comm_confirm_grp[1]/comm_confirm","14","103"
"hhid_grp[1]/hhid_instruction","15","117"
"hhid_grp[1]/hhid_struct_num","15","117"
"hhid_grp[1]/hhid_hh_num","15","117"
"hhid_confirm_grp[1]/hhid_details","5","132"
"hhid_confirm_grp[1]/hhid_confirm","5","132"
"consent_grp[1]/consent_instr","549","137"
"consent_grp[1]/consent","549","137"
"consented_grp[1]/hh_note","2","686"
"consented_grp[1]/hhm_cnt","10","688"
"consented_grp[1]/rooster_note","5","692"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","55","694"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","55","694"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","55","694"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl3","4","746"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl4","4","748"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl5_age_sel","5","750"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl6_age_est","9","752"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl7","10","758"
"consented_grp[1]/hhm_rpt[1]/ed4","5","766"
"consented_grp[1]/hhm_rpt[1]/hhm_add_grp[1]/hhm_add_note","12","769"
"consented_grp[1]/hhm_rpt[1]/hhm_add_grp[1]/hhm_add_yn","12","769"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","28","771"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","28","771"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","28","771"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl3","5","795"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl4","4","798"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl5_age_sel","5","800"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl6_age_est","6","802"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl7","6","805"
"consented_grp[1]/hhm_rpt[2]/ed4","5","808"
"consented_grp[1]/hhm_rpt[2]/hhm_add_grp[1]/hhm_add_note","10","810"
"consented_grp[1]/hhm_rpt[2]/hhm_add_grp[1]/hhm_add_yn","10","810"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","100","812"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","100","812"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","100","812"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl3","2","977"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl4","2","979"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl5_age_sel","2","982"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl5_dob_dmy","22","984"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl7","3","1006"
"consented_grp[1]/hhm_rpt[3]/hhm_add_grp[1]/hhm_add_note","42","1009"
"consented_grp[1]/hhm_rpt[3]/hhm_add_grp[1]/hhm_add_yn","42","1009"
"consented_grp[1]/hhm_ch_intro","2","1051"
"consented_grp[1]/hhm_ch_rpt[1]/h12_grp[1]/hl12","6","1053"
"consented_grp[1]/hhm_ch_rpt[1]/h12_grp[1]/hl13a","2","1059"
"consented_grp[1]/hhm_ch_rpt[1]/h12_grp[1]/hl13b","5","1061"
"consented_grp[1]/hhm_ch_rpt[1]/h16_grp[1]/hl16","2","1067"
"consented_grp[1]/hhm_ch_rpt[1]/h16_grp[1]/hl17a","2","1068"
"consented_grp[1]/hhm_ch_rpt[1]/h16_grp[1]/hl17b","4","1070"
"consented_grp[1]/u5_rpt[1]/u5_note","120","1075"
"consented_grp[1]/hc_grp[1]/hc1a","6","1194"
"consented_grp[1]/hc_grp[1]/hc1b","6","1200"
"consented_grp[1]/hc_grp[1]/hc2","3","1206"
"consented_grp[1]/hc_grp[1]/hc3","59","1209"
"consented_grp[1]/hc_grp[1]/hc4","9","1268"
"consented_grp[1]/hc_grp[1]/hc5","3","1276"
"consented_grp[1]/hc_grp[1]/hc6","6","1279"
"consented_grp[1]/hc_grp[1]/hc7_grp[1]/hcf_note","34","1286"
"consented_grp[1]/hc_grp[1]/hc7_grp[1]/hc7_label","34","1286"
"consented_grp[1]/hc_grp[1]/hc7_grp[1]/hc7a","34","1286"
"consented_grp[1]/hc_grp[1]/hc7_grp[1]/hc7b","34","1286"
"consented_grp[1]/hc_grp[1]/hc7_grp[1]/hc7c","34","1286"
"consented_grp[1]/hc_grp[1]/hc7_grp[1]/hc7d","34","1286"
"consented_grp[1]/hc_grp[1]/hc7_grp[1]/hc7e","34","1286"
"consented_grp[1]/hc_grp[1]/hc7_grp[1]/hc7f","34","1286"
"consented_grp[1]/hc_grp[1]/hc7_grp[1]/hc7g","34","1286"
"consented_grp[1]/hc_grp[1]/hc8","2","1320"
"consented_grp[1]/hc_grp[1]/hc10_grp[1]/hc10_note","11","1322"
"consented_grp[1]/hc_grp[1]/hc10_grp[1]/hc10_labels","11","1322"
"consented_grp[1]/hc_grp[1]/hc10_grp[1]/hc10a","11","1322"
"consented_grp[1]/hc_grp[1]/hc10_grp[1]/hc10b","11","1322"
"consented_grp[1]/hc_grp[1]/hc10_grp[1]/hc10c","11","1322"
"consented_grp[1]/hc_grp[1]/hc10_grp[1]/hc10d","11","1322"
"consented_grp[1]/hc_grp[1]/hc10_grp[1]/hc10e","11","1322"
"consented_grp[1]/hc_grp[1]/hc10_grp[1]/hc10f","11","1322"
"consented_grp[1]/hc_grp[1]/hc10_grp[1]/hc10g","11","1322"
"consented_grp[1]/hc_grp[1]/hc11","4","1333"
"consented_grp[1]/hc_grp[1]/hc12","6","1337"
"consented_grp[1]/hc_grp[1]/hc13","3","1343"
"consented_grp[1]/hc_grp[1]/hc14","7","1346"
"consented_grp[1]/hc_grp[1]/hc15","12","1353"
"consented_grp[1]/hc_grp[1]/hc17","13","1364"
"consented_grp[1]/hc_grp[1]/hc19","7","1373"
"consented_grp[1]/st_intonote","91","1384"
"consented_grp[1]/st_rpt[1]/st1a","2","1476"
"consented_grp[1]/st_rpt[1]/st1b","7","1478"
"consented_grp[1]/st_rpt[2]/st1a","25","1485"
"consented_grp[1]/st_rpt[2]/st1b","2","1510"
"consented_grp[1]/st_rpt[3]/st1a","7","1512"
"consented_grp[1]/st_rpt[3]/st1b","2","1519"
"consented_grp[1]/st_rpt[4]/st1a","6","1521"
"consented_grp[1]/st_rpt[5]/st1a","2","1527"
"consented_grp[1]/st_rpt[5]/st1_add_yn","14","1529"
"consented_grp[1]/eu1","7","1543"
"consented_grp[1]/eu2","2","1550"
"consented_grp[1]/eu4_grp[1]/eu4","2","1552"
"consented_grp[1]/eu5_grp[1]/eu5","7","1554"
"consented_grp[1]/eu6","38","1561"
"consented_grp[1]/eu9","15","1599"
"consented_grp[1]/tn1","5","1614"
"consented_grp[1]/tn2","27","1619"
"consented_grp[1]/tn_rpt[1]/generated_note_name_438","6","1635"
"consented_grp[1]/tn_rpt[1]/tn3","5","1637"
"consented_grp[1]/tn_rpt[1]/tn4","8","1639"
"consented_grp[1]/tn_rpt[1]/tn5","3","1665"
"consented_grp[1]/tn_rpt[1]/tn10","12","1669"
"consented_grp[1]/tn_rpt[1]/tn12","17","1672"
"consented_grp[1]/tn_rpt[1]/tn13","9","1698"
"consented_grp[1]/tn_rpt[1]/tn15","6","1707"
"consented_grp[1]/irs1","3","1713"
"consented_grp[1]/ws1","16","1716"
"consented_grp[1]/ws3","3","1732"
"consented_grp[1]/ws4","64","1735"
"consented_grp[1]/ws5","5","1799"
"consented_grp[1]/ws6","62","1804"
"consented_grp[1]/ws7","7","1867"
"consented_grp[1]/ws9","10","1874"
"consented_grp[1]/ws11","9","1884"
"consented_grp[1]/ws14","3","1893"
"consented_grp[1]/ws15","16","1896"
"consented_grp[1]/ws16","6","1912"
"consented_grp[1]/hw1_grp[1]/hw1_note","4","1918"
"consented_grp[1]/hw1_grp[1]/hw1","4","1918"
"consented_grp[1]/hw5","2","1922"
"consented_grp[1]/death_note","14","1925"
"consented_grp[1]/dc0a","2","1938"
"consented_grp[1]/main_respondent","3","1940"
"consented_grp[1]/survey_language","2","1943"
"consented_grp[1]/survey_accomp","2","1945"
"gps_backup","2","1947"
"comments","30","1950"
