"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","1"
"enum_id","43","2"
"enum_confirm_grp[1]/enum_details","1","45"
"enum_confirm_grp[1]/enum_confirm","1","45"
"community_id","7","46"
"comm_confirm_grp[1]/comm_details","1","53"
"comm_confirm_grp[1]/comm_confirm","1","53"
"hhid_grp[1]/hhid_instruction","5","54"
"hhid_grp[1]/hhid_struct_num","5","54"
"hhid_grp[1]/hhid_hh_num","5","54"
"hhid_confirm_grp[1]/hhid_details","1","59"
"hhid_confirm_grp[1]/hhid_confirm","1","59"
"consent_grp[1]/consent_instr","4","60"
"consent_grp[1]/consent","4","60"
"consented_grp[1]/hh_note","21","64"
"consented_grp[1]/hhm_cnt","3","85"
"consented_grp[1]/rooster_note","1","88"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","22","89"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","22","89"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","22","89"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl3","1","111"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl4","4","112"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl5_age_sel","2","116"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl5_dob_dmy","7","118"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl7","13","124"
"consented_grp[1]/hhm_rpt[1]/ed4","2","137"
"consented_grp[1]/hhm_rpt[1]/hhm_add_grp[1]/hhm_add_note","1","140"
"consented_grp[1]/hhm_rpt[1]/hhm_add_grp[1]/hhm_add_yn","1","140"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","23","141"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","23","141"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","23","141"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl3","6","164"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl4","3","168"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl5_age_sel","52","169"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl6_age_est","4","176"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl7","15","179"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl5_dob_dmy","10","242"
"consented_grp[1]/hhm_rpt[2]/ed4","1","254"
"consented_grp[1]/hhm_rpt[2]/ed5_grp[1]/ed5a","3","255"
"consented_grp[1]/hhm_rpt[2]/ed5_grp[1]/ed5a_a","2","258"
"consented_grp[1]/hhm_rpt[2]/ed5_grp[1]/ed5b","1","259"
"consented_grp[1]/hhm_rpt[2]/ed5_grp[1]/ed6","2","261"
"consented_grp[1]/hhm_rpt[2]/ed9","2","263"
"consented_grp[1]/hhm_rpt[2]/ed9_grp[1]/ed10","1","265"
"consented_grp[1]/hhm_rpt[2]/ed9_grp[1]/ed11a","2","266"
"consented_grp[1]/hhm_rpt[2]/ed9_grp[1]/ed12","9","268"
"consented_grp[1]/hhm_rpt[2]/ed9_grp[1]/ed14","5","277"
"consented_grp[1]/hhm_rpt[2]/ed15","8","282"
