"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","11"
"enum_id","8","12"
"enum_confirm_grp[1]/enum_details","1","20"
"enum_confirm_grp[1]/enum_confirm","1","20"
"community_id","16","21"
"comm_confirm_grp[1]/comm_details","1","37"
"comm_confirm_grp[1]/comm_confirm","1","37"
"iw_iden_grp[1]/iw_id","95","38"
"iw_iden_grp[1]/iw_fullname","95","38"
"iw_iden_grp[1]/iw_age","95","38"
"wm8","2","134"
"wm9_grp[1]/wm9b","3","135"
"wm9_grp[1]/consent","3","135"
"consented_grp[1]/wb3_age_sel","9","138"
"consented_grp[1]/wb3_dob_dmy","32","147"
"consented_grp[1]/wb5","6","179"
"consented_grp[1]/wb5_grp[1]/wb6","4","184"
"consented_grp[1]/wb5_grp[1]/wb6a","2","188"
"consented_grp[1]/wb5_grp[1]/wb6b","10","190"
"consented_grp[1]/wb5_grp[1]/wb7","6","192"
"consented_grp[1]/wb5_grp[1]/wb10a","23","195"
"consented_grp[1]/wb5_grp[1]/wb10b","7","224"
"consented_grp[1]/wb5_grp[1]/wb12a","11","226"
"consented_grp[1]/wb5_grp[1]/wb12b","2","248"
"consented_grp[1]/wb14_grp[1]/wb14_note","27","250"
"consented_grp[1]/wb14_grp[1]/wb14","27","250"
"consented_grp[1]/wb15","99","277"
"consented_grp[1]/wb16_grp[1]/wb16a","32","339"
"consented_grp[1]/wb16_grp[1]/wb16_note","32","339"
"consented_grp[1]/wb16_grp[1]/wb16b","32","339"
"consented_grp[1]/wb17a","6","408"
"consented_grp[1]/wb17b","3","414"
"consented_grp[1]/wb18","10","417"
"consented_grp[1]/mt1","12","427"
"consented_grp[1]/mt2","28","439"
"consented_grp[1]/mt3","16","466"
"consented_grp[1]/mt4","8","483"
"consented_grp[1]/mt9","8","490"
"consented_grp[1]/mt11","4","499"
"consented_grp[1]/mt12","26","502"
"consented_grp[1]/cm1","27","525"
"consented_grp[1]/cm2","18","549"
"consented_grp[1]/cm2_grp[1]/cm3","31","565"
"consented_grp[1]/cm2_grp[1]/cm4","31","565"
"consented_grp[1]/cm5","15","577"
"consented_grp[1]/cm5_grp[1]/cm6","13","590"
"consented_grp[1]/cm5_grp[1]/cm7","13","590"
"consented_grp[1]/cm8","7","596"
"consented_grp[1]/cm8_grp[1]/cm9","37","600"
"consented_grp[1]/cm8_grp[1]/cm10","37","600"
"consented_grp[1]/cm12","61","620"
"consented_grp[1]/bh0","41","737"
"consented_grp[1]/bh_rpt[1]/bh1","122","777"
"consented_grp[1]/bh_rpt[1]/bh2","4","900"
"consented_grp[1]/bh_rpt[1]/bh3","2","904"
"consented_grp[1]/bh_rpt[1]/bh4_age_sel","12","906"
"consented_grp[1]/bh_rpt[1]/bh4_dob_my","49","918"
"consented_grp[1]/bh_rpt[1]/bh5","6","967"
"consented_grp[1]/bh_rpt[1]/bh9_grp[1]/bh9_note","9","973"
"consented_grp[1]/bh_rpt[1]/bh9_grp[1]/bh9_a","9","973"
"consented_grp[1]/bh_rpt[1]/bh9_grp[1]/bh9_b","9","973"
"consented_grp[1]/bh_rpt[1]/bh10","3","982"
"consented_grp[1]/bh_rpt[2]/bh1","20","985"
"consented_grp[1]/bh_rpt[2]/bh2","9","997"
"consented_grp[1]/bh_rpt[2]/bh3","4","1014"
"consented_grp[1]/bh_rpt[2]/bh4_age_sel","4","1018"
"consented_grp[1]/bh_rpt[2]/bh4_dob_my","48","1022"
"consented_grp[1]/bh_rpt[2]/bh5","4","1069"
"consented_grp[1]/bh_rpt[2]/bh6","63","1074"
"consented_grp[1]/bh_rpt[2]/bh7","8","1137"
"consented_grp[1]/bh_rpt[2]/bh10","4","1145"
"consented_grp[1]/bh_rpt[3]/bh1","22","1149"
"consented_grp[1]/bh_rpt[3]/bh2","2","1171"
"consented_grp[1]/bh_rpt[3]/bh3","2","1173"
"consented_grp[1]/bh_rpt[3]/bh4_age_sel","7","1175"
"consented_grp[1]/bh_rpt[3]/bh4_dob_my","57","1182"
"consented_grp[1]/bh_rpt[3]/bh5","4","1239"
"consented_grp[1]/bh_rpt[3]/bh6","21","1243"
"consented_grp[1]/bh_rpt[3]/bh7","10","1264"
"consented_grp[1]/bh_rpt[3]/bh10","2","1273"
"consented_grp[1]/bh_rpt[4]/bh1","25","1275"
"consented_grp[1]/bh_rpt[4]/bh2","5","1301"
"consented_grp[1]/bh_rpt[4]/bh3","2","1305"
"consented_grp[1]/bh_rpt[4]/bh4_age_sel","5","1307"
"consented_grp[1]/bh_rpt[4]/bh4_dob_my","50","1312"
"consented_grp[1]/bh_rpt[4]/bh5","3","1362"
"consented_grp[1]/bh_rpt[4]/bh6","26","1365"
"consented_grp[1]/bh_rpt[4]/bh7","4","1391"
"consented_grp[1]/bh_rpt[4]/bh10","1","1395"
"consented_grp[1]/bh_rpt[5]/bh1","20","1396"
