"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","9"
"enum_id","6","10"
"enum_confirm_grp[1]/enum_details","1","17"
"enum_confirm_grp[1]/enum_confirm","1","17"
"community_id","18","18"
"comm_confirm_grp[1]/comm_details","1","36"
"comm_confirm_grp[1]/comm_confirm","1","36"
"u5_iden_grp[1]/u5_id","42","37"
"u5_iden_grp[1]/u5_fullname","42","37"
"u5_iden_grp[1]/u5_age","42","37"
"u5_iden_grp[1]/u5_ct_id","42","37"
"u5_iden_grp[1]/u5_ct_fullname","42","37"
"uf9","2","79"
"consent_grp[1]/consent","3","81"
"consented_grp[1]/ub0","1","84"
"consented_grp[1]/ub1_age_sel","2","85"
"consented_grp[1]/ub1_dob_dmy","26","86"
"consented_grp[1]/ub5","4","112"
"consented_grp[1]/ub6","2","117"
"consented_grp[1]/ub9","12","119"
"consented_grp[1]/br1","7","131"
"consented_grp[1]/br2","11","138"
"consented_grp[1]/br3","2","149"
"consented_grp[1]/ec1","2","151"
"consented_grp[1]/ec2_grp[1]/generated_note_name_108","24","153"
"consented_grp[1]/ec2_grp[1]/ec2_label","24","153"
"consented_grp[1]/ec2_grp[1]/ec2a","24","153"
"consented_grp[1]/ec2_grp[1]/ec2b","24","153"
"consented_grp[1]/ec2_grp[1]/ec2c","24","153"
"consented_grp[1]/ec3_grp[1]/generated_note_name_115","6","177"
"consented_grp[1]/ec3_grp[1]/ec3a","6","177"
"consented_grp[1]/ec3_grp[1]/ec3b","6","177"
"consented_grp[1]/ec5_grp[1]/ec5","31","184"
"consented_grp[1]/ec5_grp[1]/ec5_label","31","184"
"consented_grp[1]/ec5_grp[1]/ec5a","31","184"
"consented_grp[1]/ec5_grp[1]/ec5b","31","184"
"consented_grp[1]/ec5_grp[1]/ec5c","31","184"
"consented_grp[1]/ec5_grp[1]/ec5d","31","184"
"consented_grp[1]/ec5_grp[1]/ec5e","31","184"
"consented_grp[1]/ec5_grp[1]/ec5f","31","184"
"consented_grp[1]/ec6_grp[1]/ec6_note","3","215"
"consented_grp[1]/ec6_grp[1]/ec6","3","215"
"consented_grp[1]/ec7","2","218"
