"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","2"
"enum_id","5","3"
"enum_confirm_grp[1]/enum_details","1","7"
"enum_confirm_grp[1]/enum_confirm","1","7"
"community_id","10","8"
"comm_confirm_grp[1]/comm_details","1","18"
"comm_confirm_grp[1]/comm_confirm","1","18"
"iw_iden_grp[1]/iw_id","52","19"
"iw_iden_grp[1]/iw_fullname","52","19"
"iw_iden_grp[1]/iw_age","52","19"
"wm8","2","71"
"wm9_grp[1]/wm9b","2","73"
"wm9_grp[1]/consent","2","73"
"consented_grp[1]/wb3_age_sel","5","75"
"consented_grp[1]/wb3_dob_dmy","34","80"
"consented_grp[1]/wb5","5","113"
"consented_grp[1]/wb5_grp[1]/wb6","2","119"
"consented_grp[1]/wb5_grp[1]/wb6a","2","121"
"consented_grp[1]/wb5_grp[1]/wb6b","2","123"
"consented_grp[1]/wb5_grp[1]/wb7","3","125"
"consented_grp[1]/wb5_grp[1]/wb9","2","128"
"consented_grp[1]/wb5_grp[1]/wb10a","5","130"
"consented_grp[1]/wb5_grp[1]/wb10b","2","135"
"consented_grp[1]/wb5_grp[1]/wb11","2","137"
"consented_grp[1]/wb5_grp[1]/wb12a","7","139"
"consented_grp[1]/wb5_grp[1]/wb12b","3","146"
"consented_grp[1]/wb14_grp[1]/wb14_note","6","149"
"consented_grp[1]/wb14_grp[1]/wb14","6","149"
"consented_grp[1]/wb15","17","154"
"consented_grp[1]/wb16_grp[1]/wb16a","20","163"
"consented_grp[1]/wb16_grp[1]/wb16_note","20","163"
"consented_grp[1]/wb16_grp[1]/wb16b","20","163"
"consented_grp[1]/wb18","3","192"
"consented_grp[1]/mt1","3","195"
"consented_grp[1]/mt2","5","198"
"consented_grp[1]/mt3","5","203"
"consented_grp[1]/mt4","11","209"
"consented_grp[1]/mt9","14","219"
"consented_grp[1]/mt11","7","233"
"consented_grp[1]/mt12","4","240"
"consented_grp[1]/cm1","4","244"
"consented_grp[1]/cm2","7","249"
"consented_grp[1]/cm2_grp[1]/cm3","7","256"
"consented_grp[1]/cm2_grp[1]/cm4","7","256"
"consented_grp[1]/cm5","8","263"
"consented_grp[1]/cm8","5","271"
"consented_grp[1]/cm12","3","276"
"consented_grp[1]/bh0","1","278"
"consented_grp[1]/bh_rpt[1]/bh1","20","280"
"consented_grp[1]/bh_rpt[1]/bh2","4","299"
"consented_grp[1]/bh_rpt[1]/bh3","9","303"
"consented_grp[1]/bh_rpt[1]/bh4_age_sel","21","312"
"consented_grp[1]/bh_rpt[1]/bh4_dob_dmy","22","333"
"consented_grp[1]/bh_rpt[1]/bh5","3","355"
"consented_grp[1]/bh_rpt[1]/bh6","4","358"
"consented_grp[1]/bh_rpt[1]/bh7","2","361"
"consented_grp[1]/bh_rpt[1]/bh8","18","363"
"consented_grp[1]/bh_rpt[1]/bh10","3","382"
"consented_grp[1]/db2","115","407"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn2","20","521"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn3","2","541"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn4_grp[1]/mn4_a","11","543"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn4_grp[1]/mn4_b","11","543"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn5","14","554"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn6_grp[1]/mn6_note","32","568"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn6_grp[1]/mn6_label","32","568"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn6_grp[1]/mn6_a","32","568"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn6_grp[1]/mn6_b","32","568"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn6_grp[1]/mn6_c","32","568"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn7","20","600"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn8","9","620"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn9","4","629"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn16","4","633"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn17","2","637"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn18","2","639"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn19","10","641"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn20","9","650"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn21","7","659"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn23","12","667"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn25","16","678"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn26","17","695"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn30","19","712"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn31","2","731"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn32","9","733"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn33","8","742"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn34_grp[1]/mn34_a","22","750"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn34_grp[1]/mn34_b","22","750"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn35","8","771"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn36","7","779"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn36_grp[1]/mn37","10","786"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn36_grp[1]/mn37_units","10","786"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn38","14","796"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn_note","1","809"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn3_grp[1]/pn3","9","811"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn3_grp[1]/pn3_units","9","811"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn4_grp[1]/pn4_note","27","820"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn4_grp[1]/pn4","27","820"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn5_grp[1]/pm5_note","18","846"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn5_grp[1]/pn5","18","846"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn6_grp[1]/pn6_note","5","864"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn6_grp[1]/pn6","5","864"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn17","4","869"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn25_grp[1]/pn25_note","5","874"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn25_grp[1]/pn25_lab","5","874"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn25_grp[1]/pn25a","5","874"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn25_grp[1]/pn25b","5","874"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn25_grp[1]/pn25c","5","874"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn27","4","878"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn29a","9","882"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn30","53","891"
"consented_grp[1]/cp1_grp[1]/cp1_note","6","944"
"consented_grp[1]/cp1_grp[1]/cp1","6","944"
"consented_grp[1]/cp2_grp[1]/cp2_note","7","950"
"consented_grp[1]/cp2_grp[1]/cp2","7","950"
"consented_grp[1]/cp4","3","957"
"consented_grp[1]/un7","10","960"
"consented_grp[1]/un8_grp[1]/un8","21","970"
"consented_grp[1]/un8_grp[1]/un8_units","21","970"
"consented_grp[1]/ma1","14","991"
"consented_grp[1]/ma2","5","1005"
"consented_grp[1]/ma3","6","1010"
"consented_grp[1]/ma7","6","1016"
"consented_grp[1]/ma8a","36","1023"
"consented_grp[1]/ma11a","14","1059"
"consented_grp[1]/af_grp[1]/af2","7","1072"
"consented_grp[1]/af_grp[1]/af3","9","1079"
"consented_grp[1]/af_grp[1]/af4","2","1088"
"consented_grp[1]/af_grp[1]/af6b","8","1090"
"consented_grp[1]/af_grp[1]/af8b","1","1098"
"consented_grp[1]/af_grp[1]/af9","1","1100"
"consented_grp[1]/af_grp[1]/af10","1","1101"
"consented_grp[1]/af_grp[1]/af11","1","1102"
"consented_grp[1]/af_grp[1]/af12","7","1104"
"consented_grp[1]/ls1_grp[1]/ls_note","88","1111"
"consented_grp[1]/ls1_grp[1]/ls1","88","1111"
"consented_grp[1]/ls2_grp[1]/ls2_note","74","1199"
"consented_grp[1]/ls2_grp[1]/ls2","74","1199"
"consented_grp[1]/ls3","44","1273"
"consented_grp[1]/ls4","2","1317"
"consented_grp[1]/survey_language","2","1318"
"consented_grp[1]/survey_accomp","3","1321"
"consented_grp[1]/survey_accomp_enum","6","1324"
"consented_grp[1]/comment","2","1330"
