"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","2"
"enum_id","5","3"
"enum_confirm_grp[1]/enum_details","2","8"
"enum_confirm_grp[1]/enum_confirm","2","8"
"community_id","10","10"
"comm_confirm_grp[1]/comm_details","1","20"
"comm_confirm_grp[1]/comm_confirm","1","20"
"u5_iden_grp[1]/u5_id","42","21"
"u5_iden_grp[1]/u5_fullname","42","21"
"u5_iden_grp[1]/u5_age","42","21"
"u5_iden_grp[1]/u5_ct_id","42","21"
"u5_iden_grp[1]/u5_ct_fullname","42","21"
"gm1_a","2","63"
"gm1_b","4","65"
"gm2_rpt[1]/gm2_grp[1]/gm3","7","69"
"gm2_rpt[1]/gm2_grp[1]/gm4","2","76"
"gm2_rpt[1]/gm2_grp[1]/gm5","4","78"
"gm2_rpt[1]/gm2_grp[1]/gm6","3","82"
"gm2_rpt[1]/gm2_grp[1]/gm7","1","85"
"gmobs1","1","86"
"gmobs2","1","88"
"an8","8","89"
"an9","2","97"
"an11_grp[1]/an11_b","5","100"
"an11_grp[1]/an11","5","100"
"an12","4","105"
"an13","1","109"
"an15","1","110"
