"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","10"
"enum_id","10","11"
"enum_confirm_grp[1]/enum_details","1","21"
"enum_confirm_grp[1]/enum_confirm","1","21"
"community_id","11","23"
"comm_confirm_grp[1]/comm_details","2","34"
"comm_confirm_grp[1]/comm_confirm","2","34"
"u5_iden_grp[1]/u5_id","115","36"
"u5_iden_grp[1]/u5_fullname","115","36"
"u5_iden_grp[1]/u5_age","115","36"
"u5_iden_grp[1]/u5_ct_id","115","36"
"u5_iden_grp[1]/u5_ct_fullname","115","36"
"gm1_a","7","151"
"gmobs1","4","158"
"gmobs2","3","162"
"an8","15","166"
"an9","2","180"
"an11_grp[1]/an11_b","11","183"
"an11_grp[1]/an11","11","183"
"an12","11","192"
"an13","2","204"
"an15","1","207"
