"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","1"
"enum_id","16","2"
"enum_confirm_grp[1]/enum_details","1","18"
"enum_confirm_grp[1]/enum_confirm","1","18"
"community_id","18","19"
"comm_confirm_grp[1]/comm_details","2","37"
"comm_confirm_grp[1]/comm_confirm","2","37"
"u5_iden_grp[1]/u5_id","143","38"
"u5_iden_grp[1]/u5_fullname","143","38"
"u5_iden_grp[1]/u5_age","143","38"
"u5_iden_grp[1]/u5_ct_id","143","38"
"u5_iden_grp[1]/u5_ct_fullname","143","38"
"u5_ct_check","6","172"
"uf9","1","189"
"consent_grp[1]/consent","9","190"
"consented_grp[1]/ub0","6","199"
"consented_grp[1]/ub1_age_sel","7","203"
"consented_grp[1]/ub1_dob_my","10","212"
"consented_grp[1]/ub5","1","222"
"consented_grp[1]/ub9","2","223"
"consented_grp[1]/br1","2","225"
"consented_grp[1]/br2","4","227"
"consented_grp[1]/br3","1","231"
"consented_grp[1]/ec1","5","232"
"consented_grp[1]/ec2_grp[1]/generated_note_name_108","23","234"
"consented_grp[1]/ec2_grp[1]/ec2_label","23","234"
"consented_grp[1]/ec2_grp[1]/ec2a","23","234"
"consented_grp[1]/ec2_grp[1]/ec2b","23","234"
"consented_grp[1]/ec2_grp[1]/ec2c","23","234"
"consented_grp[1]/ec3_grp[1]/generated_note_name_115","20","260"
"consented_grp[1]/ec3_grp[1]/ec3a","20","260"
"consented_grp[1]/ec3_grp[1]/ec3b","20","260"
"consented_grp[1]/ec7","2","280"
"consented_grp[1]/ec8","6","282"
"consented_grp[1]/ec9","9","283"
"consented_grp[1]/ec10","2","296"
"consented_grp[1]/ec11","6","298"
"consented_grp[1]/ec12","1","304"
"consented_grp[1]/ec13","9","306"
"consented_grp[1]/ec14","3","314"
"consented_grp[1]/ec15","4","317"
"consented_grp[1]/ucd2_grp[1]/ucd2_note","79","321"
"consented_grp[1]/ucd2_grp[1]/ucb2_label","79","321"
"consented_grp[1]/ucd2_grp[1]/ucd2a","79","321"
"consented_grp[1]/ucd2_grp[1]/ucb2b","79","321"
"consented_grp[1]/ucd2_grp[1]/ucb2c","79","321"
"consented_grp[1]/ucd2_grp[1]/ucb2d","79","321"
"consented_grp[1]/ucd2_grp[1]/ucb2e","79","321"
"consented_grp[1]/ucd2_grp[1]/ucb2f","79","321"
"consented_grp[1]/ucd2_grp[1]/ucb2g","79","321"
"consented_grp[1]/ucd2_grp[1]/ucb2h","79","321"
"consented_grp[1]/ucd2_grp[1]/ucb2i","79","321"
"consented_grp[1]/ucd2_grp[1]/ucb2j","79","321"
"consented_grp[1]/ucd3","8","401"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf2_note","9","409"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf2_label","9","409"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf2","9","409"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf3","9","409"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf4","9","409"
"consented_grp[1]/ucf_grp[1]/ucf5","18","418"
"consented_grp[1]/ucf_grp[1]/ucf7b","6","420"
"consented_grp[1]/ucf_grp[1]/ucf9b","5","441"
"consented_grp[1]/ucf_grp[1]/ucf13","3","446"
"consented_grp[1]/ucf_grp[1]/ucf14","7","450"
"consented_grp[1]/ucf_grp[1]/ucf15","12","457"
"consented_grp[1]/ucf_grp[1]/ucf16","4","469"
"consented_grp[1]/ucf_grp[1]/ucf17","11","473"
"consented_grp[1]/ucf_grp[1]/ucf18","7","484"
"consented_grp[1]/ucf_grp[1]/ucf19","40","491"
"consented_grp[1]/bd_grp[1]/bd2","4","530"
"consented_grp[1]/bd_grp[1]/bd3","2","534"
"consented_grp[1]/bd_grp[1]/bd4","7","536"
"consented_grp[1]/bd_grp[1]/bd5","3","553"
"consented_grp[1]/bd_grp[1]/bd6","4","556"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7","31","560"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7_label","31","560"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7a","31","560"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7b","31","560"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7c","31","560"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7d","31","560"
"consented_grp[1]/bd_grp[1]/bd7e_grp[1]/bd7e_label","2","591"
"consented_grp[1]/bd_grp[1]/bd7e_grp[1]/bd7e","2","591"
"consented_grp[1]/bd_grp[1]/bd7x_grp[1]/bd7x_label","2","593"
"consented_grp[1]/bd_grp[1]/bd7x_grp[1]/bd7x","2","593"
"consented_grp[1]/bd_grp[1]/bd8","6","595"
"consented_grp[1]/bd_grp[1]/bd8_grp[1]/bd8_note","7","600"
"consented_grp[1]/bd_grp[1]/bd8_grp[1]/bd8a1","4","608"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8b_note","1","611"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8b1","3","612"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8c1","7","616"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8c2","2","623"
