"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","4","3"
"enum_id","12","7"
"enum_confirm_grp[1]/enum_details","1","19"
"enum_confirm_grp[1]/enum_confirm","1","19"
"community_id","5","20"
"comm_confirm_grp[1]/comm_details","1","25"
"comm_confirm_grp[1]/comm_confirm","1","25"
"u5_iden_grp[1]/u5_id","88","26"
"u5_iden_grp[1]/u5_fullname","88","26"
"u5_iden_grp[1]/u5_age","88","26"
"u5_iden_grp[1]/u5_ct_id","88","26"
"u5_iden_grp[1]/u5_ct_fullname","88","26"
"gm1_a","8","108"
"gmobs1","1","122"
"gmobs2","1","123"
"an8","28","124"
"an9","2","152"
"an11_grp[1]/an11_b","8","154"
"an11_grp[1]/an11","8","154"
"an12","2","163"
"an13","2","165"
"an15","48","167"
