"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","2"
"enum_id","9","3"
"enum_confirm_grp[1]/enum_details","1","12"
"enum_confirm_grp[1]/enum_confirm","1","12"
"community_id","14","13"
"comm_confirm_grp[1]/comm_details","4","28"
"comm_confirm_grp[1]/comm_confirm","4","28"
"iw_iden_grp[1]/iw_id","77","31"
"iw_iden_grp[1]/iw_fullname","77","31"
"iw_iden_grp[1]/iw_age","77","31"
"wm8","3","108"
"wm9_grp[1]/wm9b","5","111"
"wm9_grp[1]/consent","5","111"
"consented_grp[1]/wb3_age_sel","4","116"
"consented_grp[1]/wb4_age_est","5","120"
"consented_grp[1]/wb5","5","125"
"consented_grp[1]/wb14_grp[1]/wb14_note","1","129"
"consented_grp[1]/wb14_grp[1]/wb14","1","129"
"consented_grp[1]/wb5_grp[1]/wb6","5","132"
"consented_grp[1]/wb5_grp[1]/wb6a","6","137"
"consented_grp[1]/wb5_grp[1]/wb6b","2","143"
"consented_grp[1]/wb5_grp[1]/wb7","3","145"
"consented_grp[1]/wb5_grp[1]/wb9","2","148"
"consented_grp[1]/wb5_grp[1]/wb10","3","150"
"consented_grp[1]/wb5_grp[1]/wb10a","2","153"
"consented_grp[1]/wb5_grp[1]/wb10b","2","155"
"consented_grp[1]/wb5_grp[1]/wb11","4","157"
"consented_grp[1]/wb5_grp[1]/wb12","2","161"
"consented_grp[1]/wb5_grp[1]/wb12a","3","163"
"consented_grp[1]/wb5_grp[1]/wb12b","5","166"
"consented_grp[1]/wb15","17","171"
"consented_grp[1]/wb16_grp[1]/wb16a","18","187"
"consented_grp[1]/wb16_grp[1]/wb16_note","18","187"
"consented_grp[1]/wb16_grp[1]/wb16b","18","187"
"consented_grp[1]/wb17a","9","205"
"consented_grp[1]/wb17b","2","214"
"consented_grp[1]/wb18","3","217"
"consented_grp[1]/mt1","2","219"
"consented_grp[1]/mt2","6","222"
"consented_grp[1]/mt3","3","228"
"consented_grp[1]/mt4","4","231"
"consented_grp[1]/mt9","2","235"
"consented_grp[1]/mt11","4","237"
"consented_grp[1]/mt12","4","240"
"consented_grp[1]/cm1","8","244"
"consented_grp[1]/cm2","8","252"
"consented_grp[1]/cm2_grp[1]/cm3","6","260"
"consented_grp[1]/cm2_grp[1]/cm4","6","260"
"consented_grp[1]/cm5","11","266"
"consented_grp[1]/cm5_grp[1]/cm6","8","275"
"consented_grp[1]/cm5_grp[1]/cm7","8","275"
"consented_grp[1]/cm8","2","284"
"consented_grp[1]/cm12","6","286"
"consented_grp[1]/bh0","2","292"
"consented_grp[1]/bh_rpt[1]/bh1","15","293"
"consented_grp[1]/bh_rpt[1]/bh2","2","308"
"consented_grp[1]/bh_rpt[1]/bh3","2","310"
"consented_grp[1]/bh_rpt[1]/bh4_age_sel","3","312"
"consented_grp[1]/bh_rpt[1]/bh4_dob_my","15","315"
"consented_grp[1]/bh_rpt[1]/bh5","3","330"
"consented_grp[1]/bh_rpt[1]/bh6","3","333"
"consented_grp[1]/bh_rpt[1]/bh7","4","336"
"consented_grp[1]/bh_rpt[1]/bh10","11","340"
"consented_grp[1]/bh_rpt[2]/bh1","13","351"
"consented_grp[1]/bh_rpt[2]/bh2","2","364"
"consented_grp[1]/bh_rpt[2]/bh3","4","366"
"consented_grp[1]/bh_rpt[2]/bh4_age_sel","11","370"
"consented_grp[1]/bh_rpt[2]/bh4_dob_my","12","381"
"consented_grp[1]/bh_rpt[2]/bh5","3","393"
"consented_grp[1]/bh_rpt[2]/bh6","3","395"
"consented_grp[1]/bh_rpt[2]/bh7","3","398"
"consented_grp[1]/bh_rpt[2]/bh10","2","402"
"consented_grp[1]/bh_rpt[3]/bh1","10","404"
