"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","2","2"
"enum_id","75","3"
"enum_confirm_grp[1]/enum_details","1","78"
"enum_confirm_grp[1]/enum_confirm","1","78"
"community_id","14","80"
"comm_confirm_grp[1]/comm_details","2","93"
"comm_confirm_grp[1]/comm_confirm","2","93"
"iw_iden_grp[1]/iw_id","81","95"
"iw_iden_grp[1]/iw_fullname","81","95"
"iw_iden_grp[1]/iw_age","81","95"
"wm8","6","176"
"wm9_grp[1]/wm9b","5","181"
"wm9_grp[1]/consent","5","181"
"consented_grp[1]/wb3_age_sel","4","186"
"consented_grp[1]/wb3_dob_dmy","23","191"
"consented_grp[1]/wb5","5","213"
"consented_grp[1]/wb5_grp[1]/wb6","3","218"
"consented_grp[1]/wb5_grp[1]/wb6a","3","220"
"consented_grp[1]/wb5_grp[1]/wb6b","8","223"
"consented_grp[1]/wb5_grp[1]/wb7","4","231"
"consented_grp[1]/wb5_grp[1]/wb9","4","236"
"consented_grp[1]/wb5_grp[1]/wb10","2","240"
"consented_grp[1]/wb5_grp[1]/wb10a","3","242"
"consented_grp[1]/wb5_grp[1]/wb10b","3","245"
"consented_grp[1]/wb5_grp[1]/wb11","5","248"
"consented_grp[1]/wb5_grp[1]/wb12","2","253"
"consented_grp[1]/wb5_grp[1]/wb12a","3","255"
"consented_grp[1]/wb5_grp[1]/wb12b","2","258"
"consented_grp[1]/wb15","22","260"
"consented_grp[1]/wb16_grp[1]/wb16a","21","281"
"consented_grp[1]/wb16_grp[1]/wb16_note","21","281"
"consented_grp[1]/wb16_grp[1]/wb16b","21","281"
"consented_grp[1]/wb17a","14","302"
"consented_grp[1]/wb17b","2","316"
"consented_grp[1]/wb18","4","319"
"consented_grp[1]/mt1","5","322"
"consented_grp[1]/mt2","24","327"
"consented_grp[1]/mt3","11","346"
"consented_grp[1]/mt4","6","362"
"consented_grp[1]/mt9","2","368"
"consented_grp[1]/mt11","3","370"
"consented_grp[1]/mt12","14","373"
"consented_grp[1]/cm1","6","387"
"consented_grp[1]/cm2","4","393"
"consented_grp[1]/cm2_grp[1]/cm3","6","397"
"consented_grp[1]/cm2_grp[1]/cm4","6","397"
"consented_grp[1]/cm5","8","403"
