"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","2"
"enum_id","5","3"
"enum_confirm_grp[1]/enum_details","1","8"
"enum_confirm_grp[1]/enum_confirm","1","8"
"community_id","10","9"
"comm_confirm_grp[1]/comm_details","18","19"
"comm_confirm_grp[1]/comm_confirm","18","19"
"u5_iden_grp[1]/u5_id","105","37"
"u5_iden_grp[1]/u5_fullname","105","37"
"u5_iden_grp[1]/u5_age","105","37"
"u5_iden_grp[1]/u5_ct_id","105","37"
"u5_iden_grp[1]/u5_ct_fullname","105","37"
"gm1_a","2","141"
"gmobs1","20","143"
"gmobs2","4","163"
"an8","15","166"
"an9","2","181"
"an11_grp[1]/an11_a","26","184"
"an11_grp[1]/an11","26","184"
"an12","2","210"
"an13","1","212"
"an15","1","213"
