"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","2"
"enum_id","6","3"
"enum_confirm_grp[1]/enum_details","4","8"
"enum_confirm_grp[1]/enum_confirm","4","8"
"community_id","6","12"
"comm_confirm_grp[1]/comm_details","1","18"
"comm_confirm_grp[1]/comm_confirm","1","18"
"hhid_grp[1]/hhid_instruction","85","20"
"hhid_grp[1]/hhid_struct_num","85","20"
"hhid_grp[1]/hhid_hh_num","85","20"
"hhid_confirm_grp[1]/hhid_details","1","105"
"hhid_confirm_grp[1]/hhid_confirm","1","105"
"consent_grp[1]/consent_instr","245","106"
"consent_grp[1]/consent","245","106"
"consented_grp[1]/hh_note","47","352"
"consented_grp[1]/hhm_cnt","13","398"
"consented_grp[1]/rooster_note","260","408"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","207","664"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","207","664"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","207","664"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl3","4","869"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl4","4","870"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl5_age_sel","3","872"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl5_dob_y","7","875"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl7","9","881"
"consented_grp[1]/hhm_rpt[1]/ed4","11","889"
"consented_grp[1]/hhm_rpt[1]/ed5_grp[1]/ed5a","2","897"
"consented_grp[1]/hhm_rpt[1]/ed5_grp[1]/ed5a_a","4","899"
"consented_grp[1]/hhm_rpt[1]/ed5_grp[1]/ed5b","2","901"
"consented_grp[1]/hhm_rpt[1]/ed5_grp[1]/ed6","6","902"
"consented_grp[1]/hhm_rpt[1]/ed9","6","908"
"consented_grp[1]/hhm_rpt[1]/ed15","4","913"
"consented_grp[1]/hhm_rpt[1]/hhm_add_grp[1]/hhm_add_note","22","917"
"consented_grp[1]/hhm_rpt[1]/hhm_add_grp[1]/hhm_add_yn","22","917"
