"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","2","2"
"enum_id","6","4"
"enum_confirm_grp[1]/enum_details","2","7"
"enum_confirm_grp[1]/enum_confirm","2","7"
"community_id","240","8"
"comm_confirm_grp[1]/comm_details","6","246"
"comm_confirm_grp[1]/comm_confirm","6","246"
"hhid_grp[1]/hhid_instruction","9","247"
"hhid_grp[1]/hhid_struct_num","9","247"
"hhid_grp[1]/hhid_hh_num","9","247"
"hhid_confirm_grp[1]/hhid_details","15","255"
"hhid_confirm_grp[1]/hhid_confirm","15","255"
"consent_grp[1]/consent_instr","398","268"
"consent_grp[1]/consent","398","268"
"consented_grp[1]/hh_note","3","671"
"consented_grp[1]/hhm_cnt","11","673"
"consented_grp[1]/rooster_note","2","683"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","25","684"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","25","684"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","25","684"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl3","2","707"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl4","2","709"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl5_age_sel","6","710"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl5_dob_dmy","20","715"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl7","3","734"
"consented_grp[1]/hhm_rpt[1]/ed4","3","735"
"consented_grp[1]/hhm_rpt[1]/hhm_add_grp[1]/hhm_add_note","18","738"
"consented_grp[1]/hhm_rpt[1]/hhm_add_grp[1]/hhm_add_yn","18","738"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","24","754"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","24","754"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","24","754"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl3","5","776"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl4","3","778"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl5_age_sel","4","779"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl5_dob_dmy","17","783"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl7","2","799"
"consented_grp[1]/hhm_rpt[2]/ed4","3","800"
"consented_grp[1]/hhm_rpt[2]/ed5_grp[1]/ed5a","3","802"
"consented_grp[1]/hhm_rpt[2]/ed5_grp[1]/ed5a_a","3","804"
"consented_grp[1]/hhm_rpt[2]/ed5_grp[1]/ed5b","2","806"
"consented_grp[1]/hhm_rpt[2]/ed5_grp[1]/ed6","5","807"
"consented_grp[1]/hhm_rpt[2]/hhm_add_grp[1]/hhm_add_note","10","809"
"consented_grp[1]/hhm_rpt[2]/hhm_add_grp[1]/hhm_add_yn","10","809"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","25","820"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","25","820"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","25","820"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl3","9","842"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl4","24","851"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl5_age_sel","5","874"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl5_dob_my","11","877"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl7","4","887"
"consented_grp[1]/hhm_rpt[3]/ed4","3","890"
"consented_grp[1]/hhm_rpt[3]/ed5_grp[1]/ed5a","11","892"
"consented_grp[1]/hhm_rpt[3]/ed5_grp[1]/ed5a_a","40","897"
"consented_grp[1]/hhm_rpt[3]/ed5_grp[1]/ed5b","44","913"
"consented_grp[1]/hhm_rpt[3]/ed5_grp[1]/ed6","7","917"
"consented_grp[1]/hhm_rpt[3]/ed9","5","918"
"consented_grp[1]/hhm_rpt[3]/ed9_grp[1]/ed10","7","921"
"consented_grp[1]/hhm_rpt[3]/ed9_grp[1]/ed11a","9","925"
"consented_grp[1]/hhm_rpt[3]/ed9_grp[1]/ed12","74","931"
"consented_grp[1]/hhm_rpt[3]/ed9_grp[1]/ed14","18","1002"
"consented_grp[1]/hhm_rpt[3]/ed15","5","1041"
"consented_grp[1]/hhm_rpt[3]/ed16_grp[1]/ed16a","39","1045"
"consented_grp[1]/hhm_rpt[3]/ed16_grp[1]/ed16b","25","1078"
"consented_grp[1]/hhm_rpt[3]/hhm_add_grp[1]/hhm_add_note","21","1081"
"consented_grp[1]/hhm_rpt[3]/hhm_add_grp[1]/hhm_add_yn","21","1081"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","19","1088"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","19","1088"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","19","1088"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/hl3","5","1105"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/hl4","2","1107"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/hl5_age_sel","3","1109"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/hl5_dob_my","22","1111"
