"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","1"
"enum_id","5","3"
"enum_confirm_grp[1]/enum_details","1","7"
"enum_confirm_grp[1]/enum_confirm","1","7"
"community_id","8","8"
"comm_confirm_grp[1]/comm_details","1","16"
"comm_confirm_grp[1]/comm_confirm","1","16"
"iw_iden_grp[1]/iw_id","35","18"
"iw_iden_grp[1]/iw_fullname","35","18"
"iw_iden_grp[1]/iw_age","35","18"
"wm8","1","53"
"wm9_grp[1]/wm9b","1","55"
"wm9_grp[1]/consent","1","55"
"consented_grp[1]/wb3_age_sel","3","56"
"consented_grp[1]/wb3_dob_dmy","12","59"
"consented_grp[1]/wb5","2","71"
"consented_grp[1]/wb14_grp[1]/wb14_note","3","73"
"consented_grp[1]/wb14_grp[1]/wb14","3","73"
"consented_grp[1]/wb15","35","76"
"consented_grp[1]/wb16_grp[1]/wb16a","19","111"
"consented_grp[1]/wb16_grp[1]/wb16_note","19","111"
"consented_grp[1]/wb16_grp[1]/wb16b","19","111"
"consented_grp[1]/wb17a","3","130"
"consented_grp[1]/wb17b","1","133"
"consented_grp[1]/wb18","2","134"
"consented_grp[1]/mt1","2","136"
"consented_grp[1]/mt2","1","137"
"consented_grp[1]/mt3","1","138"
"consented_grp[1]/mt4","2","139"
"consented_grp[1]/mt9","1","141"
"consented_grp[1]/mt11","1","142"
"consented_grp[1]/mt12","2","144"
"consented_grp[1]/cm1","4","145"
"consented_grp[1]/cm2","36","149"
"consented_grp[1]/cm2_grp[1]/cm3","18","185"
"consented_grp[1]/cm2_grp[1]/cm4","18","185"
"consented_grp[1]/cm5","3","202"
"consented_grp[1]/cm5_grp[1]/cm6","9","205"
"consented_grp[1]/cm5_grp[1]/cm7","9","205"
"consented_grp[1]/cm8","15","214"
"consented_grp[1]/cm12","7","229"
"consented_grp[1]/bh0","1","236"
"consented_grp[1]/bh_rpt[1]/bh1","211","237"
"consented_grp[1]/bh_rpt[1]/bh2","2","448"
"consented_grp[1]/bh_rpt[1]/bh3","1","450"
"consented_grp[1]/bh_rpt[1]/bh4_age_sel","13","452"
"consented_grp[1]/bh_rpt[1]/bh4_dob_my","20","465"
"consented_grp[1]/bh_rpt[1]/bh5","2","485"
"consented_grp[1]/bh_rpt[1]/bh6","6","487"
