"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","1"
"enum_id","5","2"
"enum_confirm_grp[1]/enum_details","1","7"
"enum_confirm_grp[1]/enum_confirm","1","7"
"community_id","9","8"
"comm_confirm_grp[1]/comm_details","1","16"
"comm_confirm_grp[1]/comm_confirm","1","16"
"u5_iden_grp[1]/u5_id","54","17"
"u5_iden_grp[1]/u5_fullname","54","17"
"u5_iden_grp[1]/u5_age","54","17"
"u5_iden_grp[1]/u5_ct_id","54","17"
"u5_iden_grp[1]/u5_ct_fullname","54","17"
"gm1_a","2","71"
"gmobs1","1","74"
"gmobs2","1","75"
"an8","45","76"
"an9","8","121"
"an11_grp[1]/an11_b","26","128"
"an11_grp[1]/an11","26","128"
"an12","2","155"
"an13","1","157"
"an15","1","158"
