"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","8"
"enum_id","6","9"
"enum_confirm_grp[1]/enum_details","5","15"
"enum_confirm_grp[1]/enum_confirm","5","15"
"community_id","12","19"
"comm_confirm_grp[1]/comm_details","2","32"
"comm_confirm_grp[1]/comm_confirm","2","32"
"u5_iden_grp[1]/u5_id","100","33"
"u5_iden_grp[1]/u5_fullname","100","33"
"u5_iden_grp[1]/u5_age","100","33"
"u5_iden_grp[1]/u5_ct_id","100","33"
"u5_iden_grp[1]/u5_ct_fullname","100","33"
"gm1_a","3","133"
"gmobs1","1","136"
"gmobs2","1","137"
"an8","7","139"
"an9","4","145"
"an11_grp[1]/an11_b","7","149"
"an11_grp[1]/an11","7","149"
"an12","2","156"
"an13","1","158"
"an15","1","159"
