"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","4"
"enum_id","5","5"
"enum_confirm_grp[1]/enum_details","1","10"
"enum_confirm_grp[1]/enum_confirm","1","10"
"community_id","6","11"
"comm_confirm_grp[1]/comm_details","1","17"
"comm_confirm_grp[1]/comm_confirm","1","17"
"u5_iden_grp[1]/u5_id","64","18"
"u5_iden_grp[1]/u5_fullname","64","18"
"u5_iden_grp[1]/u5_age","64","18"
"u5_iden_grp[1]/u5_ct_id","64","18"
"u5_iden_grp[1]/u5_ct_fullname","64","18"
"uf9","2","82"
"consent_grp[1]/consent","2","83"
"consented_grp[1]/ub0","5","85"
"consented_grp[1]/ub1_age_sel","3","91"
"consented_grp[1]/ub1_dob_dmy","14","93"
"consented_grp[1]/ub5","3","107"
"consented_grp[1]/ub6","3","110"
"consented_grp[1]/ub9","3","112"
"consented_grp[1]/br1","7","115"
"consented_grp[1]/br2","3","122"
"consented_grp[1]/br3","4","125"
"consented_grp[1]/ec1","4","129"
"consented_grp[1]/ec2_grp[1]/generated_note_name_108","25","132"
"consented_grp[1]/ec2_grp[1]/ec2_label","25","132"
"consented_grp[1]/ec2_grp[1]/ec2a","25","132"
"consented_grp[1]/ec2_grp[1]/ec2b","25","132"
"consented_grp[1]/ec2_grp[1]/ec2c","25","132"
"consented_grp[1]/ec3_grp[1]/generated_note_name_115","25","152"
"consented_grp[1]/ec3_grp[1]/ec3a","25","152"
"consented_grp[1]/ec3_grp[1]/ec3b","25","152"
"consented_grp[1]/ec5_grp[1]/ec5","42","182"
"consented_grp[1]/ec5_grp[1]/ec5_label","42","182"
"consented_grp[1]/ec5_grp[1]/ec5a","42","182"
"consented_grp[1]/ec5_grp[1]/ec5b","42","182"
"consented_grp[1]/ec5_grp[1]/ec5c","42","182"
"consented_grp[1]/ec5_grp[1]/ec5d","42","182"
"consented_grp[1]/ec5_grp[1]/ec5e","42","182"
"consented_grp[1]/ec5_grp[1]/ec5f","42","182"
"consented_grp[1]/ec6_grp[1]/ec6_note","4","224"
"consented_grp[1]/ec6_grp[1]/ec6","4","224"
"consented_grp[1]/ec7","2","228"
"consented_grp[1]/ec8","2","229"
"consented_grp[1]/ec9","4","231"
"consented_grp[1]/ec10","20","235"
"consented_grp[1]/ec11","14","255"
"consented_grp[1]/ec12","5","269"
"consented_grp[1]/ec13","6","274"
"consented_grp[1]/ec14","17","280"
"consented_grp[1]/ec15","13","297"
"consented_grp[1]/ucd2_grp[1]/ucd2_note","115","310"
"consented_grp[1]/ucd2_grp[1]/ucb2_label","115","310"
"consented_grp[1]/ucd2_grp[1]/ucd2a","115","310"
"consented_grp[1]/ucd2_grp[1]/ucb2b","115","310"
"consented_grp[1]/ucd2_grp[1]/ucb2c","115","310"
"consented_grp[1]/ucd2_grp[1]/ucb2d","115","310"
"consented_grp[1]/ucd2_grp[1]/ucb2e","115","310"
"consented_grp[1]/ucd2_grp[1]/ucb2f","115","310"
"consented_grp[1]/ucd2_grp[1]/ucb2g","115","310"
"consented_grp[1]/ucd2_grp[1]/ucb2h","115","310"
"consented_grp[1]/ucd2_grp[1]/ucb2i","115","310"
"consented_grp[1]/ucd2_grp[1]/ucb2j","115","310"
"consented_grp[1]/ucd3","13","425"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf2_note","16","438"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf2_label","16","438"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf2","16","438"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf3","16","438"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf4","16","438"
"consented_grp[1]/ucf_grp[1]/ucf5","2","454"
"consented_grp[1]/ucf_grp[1]/ucf7b","1","455"
"consented_grp[1]/ucf_grp[1]/ucf9b","1","457"
"consented_grp[1]/ucf_grp[1]/ucf13","4","458"
"consented_grp[1]/ucf_grp[1]/ucf14","2","462"
"consented_grp[1]/ucf_grp[1]/ucf15","20","464"
"consented_grp[1]/ucf_grp[1]/ucf16","3","484"
"consented_grp[1]/ucf_grp[1]/ucf17","12","487"
"consented_grp[1]/ucf_grp[1]/ucf18","1","499"
"consented_grp[1]/ucf_grp[1]/ucf19","3","500"
"consented_grp[1]/im2","2","503"
"consented_grp[1]/im5","2","505"
"consented_grp[1]/im6_note","1","507"
"consented_grp[1]/im6_rpt[1]/im6","7","508"
"consented_grp[1]/im6_rpt[1]/im6a","10","516"
"consented_grp[1]/im6_rpt[2]/im6","5","524"
"consented_grp[1]/im6_rpt[2]/im6a","21","528"
"consented_grp[1]/im6_rpt[3]/im6","11","537"
"consented_grp[1]/im6_rpt[3]/im6a","21","539"
"consented_grp[1]/im6_rpt[4]/im6","4","582"
"consented_grp[1]/im6_rpt[4]/im6a","21","584"
"consented_grp[1]/im6_rpt[5]/im6","3","610"
"consented_grp[1]/im6_rpt[5]/im6a","22","613"
"consented_grp[1]/im6_rpt[6]/im6","2","635"
"consented_grp[1]/im6_rpt[6]/im6a","58","637"
"consented_grp[1]/im6_rpt[7]/im6","7","689"
"consented_grp[1]/im6_rpt[7]/im6a","38","692"
"consented_grp[1]/im6_rpt[8]/im6","6","711"
"consented_grp[1]/im6_rpt[8]/im6a","29","712"
"consented_grp[1]/im6_rpt[9]/im6","6","726"
"consented_grp[1]/im6_rpt[9]/im6a","9","780"
"consented_grp[1]/im6_rpt[10]/im6","3","790"
"consented_grp[1]/im6_rpt[10]/im6a","9","793"
"consented_grp[1]/im6_rpt[11]/im6","2","802"
"consented_grp[1]/im6_rpt[11]/im6a","15","804"
"consented_grp[1]/im6_rpt[12]/im6","2","819"
"consented_grp[1]/im6_rpt[12]/im6a","11","821"
"consented_grp[1]/im6_rpt[13]/im6","2","832"
"consented_grp[1]/im6_rpt[13]/im6a","12","834"
"consented_grp[1]/im6_rpt[14]/im6","2","846"
"consented_grp[1]/im6_rpt[14]/im6a","15","848"
"consented_grp[1]/im6_rpt[15]/im6","7","863"
"consented_grp[1]/im6_rpt[15]/im6a","12","869"
"consented_grp[1]/im8_im27_grp[1]/im8_grp[1]/im8_note","32","882"
"consented_grp[1]/im8_im27_grp[1]/im8_grp[1]/im8_label","32","882"
"consented_grp[1]/im8_im27_grp[1]/im8_grp[1]/im8a","32","882"
"consented_grp[1]/im8_im27_grp[1]/im8_grp[1]/im8b","32","882"
"consented_grp[1]/im8_im27_grp[1]/im8_grp[1]/im8c","32","882"
"consented_grp[1]/im8_im27_grp[1]/im8_grp[1]/im8d","32","882"
"consented_grp[1]/im8_im27_grp[1]/im9","4","914"
"consented_grp[1]/ca1","12","917"
"consented_grp[1]/ca14","4","929"
"consented_grp[1]/ca16","5","933"
"consented_grp[1]/ca17","3","938"
"consented_grp[1]/gps_backup","41","940"
"comments","5","981"
