"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","2","5"
"enum_id","8","7"
"enum_confirm_grp[1]/enum_details","1","15"
"enum_confirm_grp[1]/enum_confirm","1","15"
"community_id","4","16"
"comm_confirm_grp[1]/comm_details","2","20"
"comm_confirm_grp[1]/comm_confirm","2","20"
"iw_iden_grp[1]/iw_id","72","21"
"iw_iden_grp[1]/iw_fullname","72","21"
"iw_iden_grp[1]/iw_age","72","21"
"wm8","1","93"
"wm9_grp[1]/wm9a","4","95"
"wm9_grp[1]/consent","4","95"
"consented_grp[1]/wb3_age_sel","1","99"
"consented_grp[1]/wb3_dob_dmy","62","100"
"consented_grp[1]/wb5","9","162"
"consented_grp[1]/wb14_grp[1]/wb14_note","12","171"
"consented_grp[1]/wb14_grp[1]/wb14","12","171"
"consented_grp[1]/wb15","20","183"
"consented_grp[1]/wb16_grp[1]/wb16a","58","203"
"consented_grp[1]/wb16_grp[1]/wb16_note","58","203"
"consented_grp[1]/wb16_grp[1]/wb16b","58","203"
"consented_grp[1]/wb17a","10","255"
"consented_grp[1]/wb17b","2","271"
"consented_grp[1]/wb18","2","273"
"consented_grp[1]/mt1","1","274"
"consented_grp[1]/mt2","11","275"
"consented_grp[1]/mt3","16","282"
"consented_grp[1]/mt4","5","290"
"consented_grp[1]/mt9","2","308"
"consented_grp[1]/mt11","8","309"
"consented_grp[1]/mt12","3","318"
"consented_grp[1]/cm1","2","321"
"consented_grp[1]/cm2","10","323"
"consented_grp[1]/cm2_grp[1]/cm3","10","333"
"consented_grp[1]/cm2_grp[1]/cm4","10","333"
"consented_grp[1]/cm5","18","343"
"consented_grp[1]/cm5_grp[1]/cm6","9","361"
"consented_grp[1]/cm5_grp[1]/cm7","9","361"
"consented_grp[1]/cm8","3","370"
"consented_grp[1]/cm8_grp[1]/cm9","19","373"
"consented_grp[1]/cm8_grp[1]/cm10","19","373"
"consented_grp[1]/cm12","2","393"
"consented_grp[1]/bh0","1","394"
"consented_grp[1]/bh_rpt[1]/bh1","12","395"
"consented_grp[1]/bh_rpt[1]/bh2","2","407"
"consented_grp[1]/bh_rpt[1]/bh3","1","409"
"consented_grp[1]/bh_rpt[1]/bh4_age_sel","5","410"
"consented_grp[1]/bh_rpt[1]/bh4_dob_my","10","416"
"consented_grp[1]/bh_rpt[1]/bh5","3","425"
"consented_grp[1]/bh_rpt[1]/bh9_grp[1]/bh9_note","43","428"
"consented_grp[1]/bh_rpt[1]/bh9_grp[1]/bh9_a","43","428"
"consented_grp[1]/bh_rpt[1]/bh9_grp[1]/bh9_b","43","428"
"consented_grp[1]/bh_rpt[1]/bh10","6","469"
"consented_grp[1]/bh_rpt[2]/bh1","16","471"
"consented_grp[1]/bh_rpt[2]/bh2","2","493"
"consented_grp[1]/bh_rpt[2]/bh3","2","495"
"consented_grp[1]/bh_rpt[2]/bh4_age_sel","4","497"
"consented_grp[1]/bh_rpt[2]/bh4_dob_my","35","501"
"consented_grp[1]/bh_rpt[2]/bh5","11","533"
"consented_grp[1]/bh_rpt[2]/bh6","5","542"
"consented_grp[1]/bh_rpt[2]/bh7","28","544"
"consented_grp[1]/bh_rpt[2]/bh10","1","581"
"consented_grp[1]/bh_rpt[3]/bh1","18","582"
"consented_grp[1]/bh_rpt[3]/bh2","1","601"
"consented_grp[1]/bh_rpt[3]/bh3","2","602"
"consented_grp[1]/bh_rpt[3]/bh4_age_sel","2","604"
"consented_grp[1]/bh_rpt[3]/bh4_dob_my","19","606"
"consented_grp[1]/bh_rpt[3]/bh5","5","621"
"consented_grp[1]/bh_rpt[3]/bh9_grp[1]/bh9_note","20","630"
"consented_grp[1]/bh_rpt[3]/bh9_grp[1]/bh9_a","20","630"
"consented_grp[1]/bh_rpt[3]/bh9_grp[1]/bh9_b","20","630"
"consented_grp[1]/bh_rpt[3]/bh10","2","650"
"consented_grp[1]/bh_rpt[4]/bh1","15","652"
"consented_grp[1]/bh_rpt[4]/bh2","1","667"
"consented_grp[1]/bh_rpt[4]/bh3","1","669"
"consented_grp[1]/bh_rpt[4]/bh4_age_sel","3","670"
"consented_grp[1]/bh_rpt[4]/bh4_dob_dmy","29","673"
"consented_grp[1]/bh_rpt[4]/bh5","2","701"
"consented_grp[1]/bh_rpt[4]/bh6","6","704"
"consented_grp[1]/bh_rpt[4]/bh7","2","710"
"consented_grp[1]/bh_rpt[4]/bh8","24","712"
"consented_grp[1]/bh_rpt[4]/bh10","1","736"
"consented_grp[1]/bh_rpt[5]/bh1","8","737"
"consented_grp[1]/bh_rpt[5]/bh2","2","745"
"consented_grp[1]/bh_rpt[5]/bh3","3","747"
"consented_grp[1]/bh_rpt[5]/bh4_age_sel","2","750"
"consented_grp[1]/bh_rpt[5]/bh4_dob_dmy","23","752"
"consented_grp[1]/bh_rpt[5]/bh5","6","775"
"consented_grp[1]/bh_rpt[5]/bh6","5","781"
"consented_grp[1]/bh_rpt[5]/bh7","2","785"
"consented_grp[1]/bh_rpt[5]/bh8","12","788"
"consented_grp[1]/bh_rpt[5]/bh10","2","799"
"consented_grp[1]/db2","22","802"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn2","26","824"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn3","8","845"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn4_grp[1]/mn4_a","10","858"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn4_grp[1]/mn4_b","10","858"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn5","20","868"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn6_grp[1]/mn6_note","13","888"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn6_grp[1]/mn6_label","13","888"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn6_grp[1]/mn6_a","13","888"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn6_grp[1]/mn6_b","13","888"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn6_grp[1]/mn6_c","13","888"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn7","6","901"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn8","11","906"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn9","15","915"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn16","5","934"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn17","7","939"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn18","2","946"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn19","23","947"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn20","3","970"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn21","8","973"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn23","19","981"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn25","5","1000"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn26","30","1005"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn30","22","1034"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn31","8","1057"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn32","9","1065"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn33","2","1073"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn34_grp[1]/mn34_a","7","1076"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn34_grp[1]/mn34_b","7","1076"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn35","8","1083"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn36","9","1090"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn36_grp[1]/mn37","30","1100"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn36_grp[1]/mn37_units","30","1100"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn38","3","1130"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn_note","18","1133"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn3_grp[1]/pn3","66","1141"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn3_grp[1]/pn3_units","66","1141"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn4_grp[1]/pn4_note","8","1217"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn4_grp[1]/pn4","8","1217"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn5_grp[1]/pm5_note","3","1225"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn5_grp[1]/pn5","3","1225"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn6_grp[1]/pn6_note","13","1227"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn6_grp[1]/pn6","13","1227"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn17","3","1238"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn25_grp[1]/pn25_note","5","1245"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn25_grp[1]/pn25_lab","5","1245"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn25_grp[1]/pn25a","5","1245"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn25_grp[1]/pn25b","5","1245"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn25_grp[1]/pn25c","5","1245"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn27","10","1250"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn29a","18","1258"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn30","37","1269"
"consented_grp[1]/cp1_grp[1]/cp1_note","6","1315"
"consented_grp[1]/cp1_grp[1]/cp1","6","1315"
"consented_grp[1]/cp2_grp[1]/cp2_note","22","1318"
"consented_grp[1]/cp2_grp[1]/cp2","22","1318"
"consented_grp[1]/cp4","2","1343"
"consented_grp[1]/un7","16","1345"
"consented_grp[1]/un8_grp[1]/un8","8","1350"
"consented_grp[1]/un8_grp[1]/un8_units","8","1350"
"consented_grp[1]/ma1","12","1368"
"consented_grp[1]/ma2","7","1381"
"consented_grp[1]/ma3","13","1387"
"consented_grp[1]/ma7","3","1401"
"consented_grp[1]/ma8b","120","1403"
"consented_grp[1]/ma11b","27","1524"
"consented_grp[1]/af_grp[1]/af2","3","1551"
"consented_grp[1]/af_grp[1]/af3","6","1553"
"consented_grp[1]/af_grp[1]/af4","1","1560"
"consented_grp[1]/af_grp[1]/af6b","1","1562"
"consented_grp[1]/af_grp[1]/af8b","1","1563"
"consented_grp[1]/af_grp[1]/af9","2","1564"
"consented_grp[1]/af_grp[1]/af10","11","1566"
"consented_grp[1]/af_grp[1]/af11","6","1577"
"consented_grp[1]/af_grp[1]/af12","26","1578"
"consented_grp[1]/ls1_grp[1]/ls_note","17","1609"
"consented_grp[1]/ls1_grp[1]/ls1","17","1609"
"consented_grp[1]/ls2_grp[1]/ls2_note","23","1624"
"consented_grp[1]/ls2_grp[1]/ls2","23","1624"
"consented_grp[1]/ls3","2","1648"
"consented_grp[1]/ls4","1","1650"
"consented_grp[1]/survey_language","2","1652"
"consented_grp[1]/survey_accomp","1","1654"
"consented_grp[1]/survey_accomp_enum","20","1655"
"consented_grp[1]/comment","4","1667"
