"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","2"
"enum_id","5","3"
"enum_confirm_grp[1]/enum_details","3","8"
"enum_confirm_grp[1]/enum_confirm","3","8"
"community_id","7","11"
"comm_confirm_grp[1]/comm_details","1","18"
"comm_confirm_grp[1]/comm_confirm","1","18"
"iw_iden_grp[1]/iw_id","42","19"
"iw_iden_grp[1]/iw_fullname","42","19"
"iw_iden_grp[1]/iw_age","42","19"
"wm8","2","61"
"wm9_grp[1]/wm9b","1","63"
"wm9_grp[1]/consent","1","63"
"consented_grp[1]/wb3_age_sel","3","64"
"consented_grp[1]/wb3_dob_dmy","18","67"
"consented_grp[1]/wb5","2","85"
"consented_grp[1]/wb14_grp[1]/wb14_note","3595","87"
"consented_grp[1]/wb14_grp[1]/wb14","3595","87"
"consented_grp[1]/wb15","23","3682"
"consented_grp[1]/wb16_grp[1]/wb16a","24","3705"
"consented_grp[1]/wb16_grp[1]/wb16_note","24","3705"
"consented_grp[1]/wb16_grp[1]/wb16b","24","3705"
"consented_grp[1]/wb17a","4","3729"
"consented_grp[1]/wb17b","2","3733"
"consented_grp[1]/wb18","2","3734"
"consented_grp[1]/mt1","2","3737"
"consented_grp[1]/mt2","1","3739"
"consented_grp[1]/mt3","1","3740"
"consented_grp[1]/mt4","2","3741"
"consented_grp[1]/mt9","1","3743"
"consented_grp[1]/mt11","1","3744"
"consented_grp[1]/mt12","1","3745"
"consented_grp[1]/cm1","2","3747"
"consented_grp[1]/cm2","2","3748"
"consented_grp[1]/cm2_grp[1]/cm3","4","3751"
"consented_grp[1]/cm2_grp[1]/cm4","4","3751"
"consented_grp[1]/cm5","5","3755"
"consented_grp[1]/cm5_grp[1]/cm6","17","3760"
"consented_grp[1]/cm5_grp[1]/cm7","17","3760"
"consented_grp[1]/cm8","5","3777"
"consented_grp[1]/cm12","5","3782"
"consented_grp[1]/bh0","1","3787"
"consented_grp[1]/bh_rpt[1]/bh1","23","3788"
"consented_grp[1]/bh_rpt[1]/bh2","3","3811"
"consented_grp[1]/bh_rpt[1]/bh3","208","3813"
"consented_grp[1]/bh_rpt[1]/bh4_age_sel","13","4021"
"consented_grp[1]/bh_rpt[1]/bh4_dob_my","37","4023"
"consented_grp[1]/bh_rpt[1]/bh5","12","4056"
"consented_grp[1]/bh_rpt[1]/bh6","22","4065"
"consented_grp[1]/bh_rpt[1]/bh7","4","4075"
"consented_grp[1]/bh_rpt[1]/bh10","3","4077"
"consented_grp[1]/bh_rpt[2]/bh1","16","4080"
"consented_grp[1]/bh_rpt[2]/bh2","3","4093"
"consented_grp[1]/bh_rpt[2]/bh3","3","4095"
"consented_grp[1]/bh_rpt[2]/bh4_age_sel","47","4096"
"consented_grp[1]/bh_rpt[2]/bh4_dob_my","9","4136"
"consented_grp[1]/bh_rpt[2]/bh5","6","4143"
"consented_grp[1]/bh_rpt[2]/bh6","27","4145"
"consented_grp[1]/bh_rpt[2]/bh7","11","4161"
"consented_grp[1]/bh_rpt[2]/bh10","4","4170"
"consented_grp[1]/bh_rpt[3]/bh1","15","4171"
"consented_grp[1]/bh_rpt[3]/bh2","5","4180"
"consented_grp[1]/bh_rpt[3]/bh3","3","4181"
"consented_grp[1]/bh_rpt[3]/bh4_age_sel","4","4183"
"consented_grp[1]/bh_rpt[3]/bh4_dob_dmy","11","4185"
"consented_grp[1]/bh_rpt[3]/bh5","3","4196"
"consented_grp[1]/bh_rpt[3]/bh6","3","4198"
"consented_grp[1]/bh_rpt[3]/bh7","2","4200"
"consented_grp[1]/bh_rpt[3]/bh8","12","4201"
"consented_grp[1]/bh_rpt[3]/bh10","2","4212"
"consented_grp[1]/bh_rpt[4]/bh1","14","4213"
"consented_grp[1]/bh_rpt[4]/bh2","3","4225"
"consented_grp[1]/bh_rpt[4]/bh3","4","4227"
"consented_grp[1]/bh_rpt[4]/bh4_age_sel","6","4229"
"consented_grp[1]/bh_rpt[4]/bh4_dob_dmy","14","4233"
"consented_grp[1]/bh_rpt[1]/bh4_dob_dmy","9","4269"
"consented_grp[1]/bh_rpt[2]/bh4_dob_dmy","25","4304"
"consented_grp[1]/bh_rpt[4]/bh5","2","4374"
"consented_grp[1]/bh_rpt[4]/bh6","2","4376"
"consented_grp[1]/bh_rpt[4]/bh7","2","4377"
"consented_grp[1]/bh_rpt[4]/bh8","8","4379"
"consented_grp[1]/bh_rpt[4]/bh10","5","4385"
"consented_grp[1]/db2","2","4391"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn2","4","4394"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn7","2","4395"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn3","2","4399"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn4_grp[1]/mn4_a","29","4401"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn4_grp[1]/mn4_b","29","4401"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn5","37","4430"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn6_grp[1]/mn6_note","7","4460"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn6_grp[1]/mn6_label","7","4460"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn6_grp[1]/mn6_a","7","4460"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn6_grp[1]/mn6_b","7","4460"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn6_grp[1]/mn6_c","7","4460"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn8","2","4476"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn9","7","4478"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn16","1","4484"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn17","3","4485"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn18","2","4488"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn19","1","4491"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn20","5","4492"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn21","5","4497"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn23","5","4502"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn24","8","4507"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn25","4","4514"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn26","8","4519"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn30","5","4527"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn31","1","4531"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn32","12","4532"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn33","2","4545"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn34_grp[1]/mn34_a","3","4547"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn34_grp[1]/mn34_b","3","4547"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn35","5","4550"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn36","3","4555"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn36_grp[1]/mn37","23","4558"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn36_grp[1]/mn37_units","23","4558"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn38","6","4581"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn_note","1","4587"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn3_grp[1]/pn3","11","4588"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn3_grp[1]/pn3_units","11","4588"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn4_grp[1]/pn4_note","8","4599"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn4_grp[1]/pn4","8","4599"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn5_grp[1]/pm5_note","2","4606"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn5_grp[1]/pn5","2","4606"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn6_grp[1]/pn6_note","8","4608"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn6_grp[1]/pn6","8","4608"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn17","1","4616"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn25_grp[1]/pn25_note","7","4617"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn25_grp[1]/pn25_lab","7","4617"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn25_grp[1]/pn25a","7","4617"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn25_grp[1]/pn25b","7","4617"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn25_grp[1]/pn25c","7","4617"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn27","3","4624"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn29a","9","4628"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn30","17","4637"
"consented_grp[1]/cp1_grp[1]/cp1_note","5","4653"
"consented_grp[1]/cp1_grp[1]/cp1","5","4653"
"consented_grp[1]/cp2_grp[1]/cp2_note","6","4659"
"consented_grp[1]/cp2_grp[1]/cp2","6","4659"
"consented_grp[1]/cp3","4","4665"
"consented_grp[1]/un7","7","4669"
"consented_grp[1]/un8_grp[1]/un8","11","4677"
"consented_grp[1]/un8_grp[1]/un8_units","11","4677"
"consented_grp[1]/ma1","5","4688"
"consented_grp[1]/ma2","4","4693"
"consented_grp[1]/ma3","5","4697"
"consented_grp[1]/ma4","4","4702"
"consented_grp[1]/ma7","7","4706"
"consented_grp[1]/ma8a","16","4713"
"consented_grp[1]/ma11a","10","4730"
"consented_grp[1]/af_grp[1]/af2","2","4739"
"consented_grp[1]/af_grp[1]/af3","1","4741"
"consented_grp[1]/af_grp[1]/af4","1","4743"
"consented_grp[1]/af_grp[1]/af6b","5","4744"
"consented_grp[1]/af_grp[1]/af8b","2","4745"
"consented_grp[1]/af_grp[1]/af9","1","4750"
"consented_grp[1]/af_grp[1]/af10","1","4751"
"consented_grp[1]/af_grp[1]/af11","1","4752"
"consented_grp[1]/af_grp[1]/af12","27","4754"
