"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","4"
"enum_id","5","5"
"enum_confirm_grp[1]/enum_details","1","11"
"enum_confirm_grp[1]/enum_confirm","1","11"
"community_id","15","12"
"comm_confirm_grp[1]/comm_details","1","27"
"comm_confirm_grp[1]/comm_confirm","1","27"
"u5_iden_grp[1]/u5_id","134","29"
"u5_iden_grp[1]/u5_fullname","134","29"
"u5_iden_grp[1]/u5_age","134","29"
"u5_iden_grp[1]/u5_ct_id","134","29"
"u5_iden_grp[1]/u5_ct_fullname","134","29"
"gm1_a","26","163"
"gmobs1","2","188"
"gmobs2","1","190"
"an8","9","192"
"an9","3","200"
"an11_grp[1]/an11_b","8","204"
"an11_grp[1]/an11","8","204"
"an12","3","212"
"an13","2","214"
"an15","1","216"
