"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","25","3"
"enum_id","7","28"
"enum_confirm_grp[1]/enum_details","1","35"
"enum_confirm_grp[1]/enum_confirm","1","35"
"community_id","17","36"
"comm_confirm_grp[1]/comm_details","1","53"
"comm_confirm_grp[1]/comm_confirm","1","53"
"u5_iden_grp[1]/u5_id","141","54"
"u5_iden_grp[1]/u5_fullname","141","54"
"u5_iden_grp[1]/u5_age","141","54"
"u5_iden_grp[1]/u5_ct_id","141","54"
"u5_iden_grp[1]/u5_ct_fullname","141","54"
"uf9","13","195"
"consent_grp[1]/consent","3","208"
"consented_grp[1]/ub0","10","211"
"consented_grp[1]/ub1_age_sel","8","221"
"consented_grp[1]/ub1_dob_dmy","40","229"
"consented_grp[1]/ub5","2","269"
"consented_grp[1]/ub9","2","271"
"consented_grp[1]/br1","36","273"
"consented_grp[1]/br2","12","309"
"consented_grp[1]/ec1","2","320"
"consented_grp[1]/ec2_grp[1]/generated_note_name_108","26","322"
"consented_grp[1]/ec2_grp[1]/ec2_label","26","322"
"consented_grp[1]/ec2_grp[1]/ec2a","26","322"
"consented_grp[1]/ec2_grp[1]/ec2b","26","322"
"consented_grp[1]/ec2_grp[1]/ec2c","26","322"
"consented_grp[1]/ec3_grp[1]/generated_note_name_115","43","347"
"consented_grp[1]/ec3_grp[1]/ec3a","43","347"
"consented_grp[1]/ec3_grp[1]/ec3b","43","347"
"consented_grp[1]/ec7","4","390"
"consented_grp[1]/ec8","4","394"
"consented_grp[1]/ec9","3","398"
"consented_grp[1]/ec10","8","400"
"consented_grp[1]/ec11","4","408"
"consented_grp[1]/ec12","4","411"
"consented_grp[1]/ec13","11","413"
"consented_grp[1]/ec14","12","417"
"consented_grp[1]/ec15","9","427"
"consented_grp[1]/bd_grp[1]/bd2","4","449"
"consented_grp[1]/bd_grp[1]/bd3","2","453"
"consented_grp[1]/bd_grp[1]/bd4","9","455"
"consented_grp[1]/bd_grp[1]/bd5","5","465"
"consented_grp[1]/bd_grp[1]/bd6","6","470"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7","29","476"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7_label","29","476"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7a","29","476"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7b","29","476"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7c","29","476"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7d","29","476"
"consented_grp[1]/bd_grp[1]/bd7e_grp[1]/bd7e_label","2","505"
"consented_grp[1]/bd_grp[1]/bd7e_grp[1]/bd7e","2","505"
