"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","2"
"enum_id","5","3"
"enum_confirm_grp[1]/enum_details","1","7"
"enum_confirm_grp[1]/enum_confirm","1","7"
"community_id","12","9"
"comm_confirm_grp[1]/comm_details","1","21"
"comm_confirm_grp[1]/comm_confirm","1","21"
"u5_iden_grp[1]/u5_id","142","22"
"u5_iden_grp[1]/u5_fullname","142","22"
"u5_iden_grp[1]/u5_age","142","22"
"u5_iden_grp[1]/u5_ct_id","142","22"
"u5_iden_grp[1]/u5_ct_fullname","142","22"
"u5_corr_check","4","142"
"gm1_a","4","168"
"gmobs1","7","172"
"gmobs2","3","180"
"an8","52","182"
"an9","4","235"
"an11_grp[1]/an11_b","27","237"
"an11_grp[1]/an11","27","237"
"an12","2","266"
"an13","1","268"
"an15","1","270"
