"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","1"
"enum_id","6","2"
"enum_confirm_grp[1]/enum_details","1","8"
"enum_confirm_grp[1]/enum_confirm","1","8"
"community_id","16","9"
"comm_confirm_grp[1]/comm_details","1","26"
"comm_confirm_grp[1]/comm_confirm","1","26"
"u5_iden_grp[1]/u5_id","86","27"
"u5_iden_grp[1]/u5_fullname","86","27"
"u5_iden_grp[1]/u5_age","86","27"
"u5_iden_grp[1]/u5_ct_id","86","27"
"u5_iden_grp[1]/u5_ct_fullname","86","27"
"gm1_a","4","113"
"gm1_b","2","116"
"gm2_rpt[1]/gm2_grp[1]/gm3","4","118"
"gm2_rpt[1]/gm2_grp[1]/gm4","2","122"
"gm2_rpt[1]/gm2_grp[1]/gm5","6","123"
"gm2_rpt[1]/gm2_grp[1]/gm6","2","130"
"gm2_rpt[1]/gm2_grp[1]/gm7","2","131"
"gmobs1","1","134"
"gmobs2","1","135"
"an8","10","136"
"an9","2","146"
"an11_grp[1]/an11_a","8","149"
"an11_grp[1]/an11","8","149"
"an12","5","156"
"an13","3","162"
"an15","1","164"
