"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","3","20"
"enum_id","35","23"
"enum_confirm_grp[1]/enum_details","1","58"
"enum_confirm_grp[1]/enum_confirm","1","58"
"community_id","11","59"
"comm_confirm_grp[1]/comm_details","2","70"
"comm_confirm_grp[1]/comm_confirm","2","70"
"iw_iden_grp[1]/iw_id","51","72"
"iw_iden_grp[1]/iw_fullname","51","72"
"iw_iden_grp[1]/iw_age","51","72"
"wm8","2","123"
"wm9_grp[1]/wm9b","2","125"
"wm9_grp[1]/consent","2","125"
"consented_grp[1]/wb3_age_sel","8","127"
"consented_grp[1]/wb4_age_est","2","135"
"consented_grp[1]/wb5","7","137"
"consented_grp[1]/wb5_grp[1]/wb6","2","144"
"consented_grp[1]/wb5_grp[1]/wb6a","3","146"
"consented_grp[1]/wb5_grp[1]/wb6b","3","149"
"consented_grp[1]/wb5_grp[1]/wb7","3","151"
"consented_grp[1]/wb5_grp[1]/wb9","2","155"
"consented_grp[1]/wb5_grp[1]/wb10a","5","157"
"consented_grp[1]/wb5_grp[1]/wb10b","2","162"
"consented_grp[1]/wb5_grp[1]/wb11","2","164"
"consented_grp[1]/wb5_grp[1]/wb12a","7","166"
"consented_grp[1]/wb5_grp[1]/wb12b","2","173"
"consented_grp[1]/wb15","15","175"
"consented_grp[1]/wb16_grp[1]/wb16a","21","189"
"consented_grp[1]/wb16_grp[1]/wb16_note","21","189"
"consented_grp[1]/wb16_grp[1]/wb16b","21","189"
"consented_grp[1]/wb17a","10","210"
"consented_grp[1]/wb17b","4","220"
"consented_grp[1]/wb18","5","224"
"consented_grp[1]/mt1","194","226"
"consented_grp[1]/mt2","21","238"
"consented_grp[1]/mt3","10","444"
"consented_grp[1]/mt4","9","454"
"consented_grp[1]/mt9","6","463"
"consented_grp[1]/mt11","15","469"
"consented_grp[1]/mt12","5","484"
"consented_grp[1]/cm1","6","489"
"consented_grp[1]/cm2","5","495"
"consented_grp[1]/cm2_grp[1]/cm3","18","499"
"consented_grp[1]/cm2_grp[1]/cm4","18","499"
"consented_grp[1]/cm5","19","517"
"consented_grp[1]/cm8","18","529"
"consented_grp[1]/cm8_grp[1]/cm9","12","536"
"consented_grp[1]/cm8_grp[1]/cm10","12","536"
"consented_grp[1]/cm12","11","544"
"consented_grp[1]/bh0","14","548"
"consented_grp[1]/bh_rpt[1]/bh1","38","559"
"consented_grp[1]/bh_rpt[1]/bh2","6","629"
"consented_grp[1]/bh_rpt[1]/bh3","4","635"
"consented_grp[1]/bh_rpt[1]/bh4_age_sel","6","639"
"consented_grp[1]/bh_rpt[1]/bh4_dob_dmy","28","645"
"consented_grp[1]/bh_rpt[1]/bh5","3","673"
"consented_grp[1]/bh_rpt[1]/bh6","7","675"
"consented_grp[1]/bh_rpt[1]/bh7","8","682"
"consented_grp[1]/bh_rpt[1]/bh8","17","690"
"consented_grp[1]/bh_rpt[1]/bh10","6","708"
"consented_grp[1]/db2","6","713"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn2","8","720"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn3","18","728"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn4_grp[1]/mn4_a","18","746"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn4_grp[1]/mn4_b","18","746"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn5","30","764"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn6_grp[1]/mn6_note","23","793"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn6_grp[1]/mn6_label","23","793"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn6_grp[1]/mn6_a","23","793"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn6_grp[1]/mn6_b","23","793"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn6_grp[1]/mn6_c","23","793"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn7","90","816"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn8","6","906"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn9","12","912"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn16","6","924"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn17","3","931"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn18","12","934"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn19","24","945"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn20","7","969"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn21","14","976"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn22","19","990"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn23","35","1009"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn24","13","1044"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn25","8","1057"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn26","19","1065"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn30","17","1085"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn31","11","1101"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn32","9","1113"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn33","3","1122"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn34_grp[1]/mn34_a","17","1125"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn34_grp[1]/mn34_b","17","1125"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn35","9","1143"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn36","4","1152"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn36_grp[1]/mn37","18","1156"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn36_grp[1]/mn37_units","18","1156"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn38","20","1174"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn_note","3","1184"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn3_grp[1]/pn3","10","1197"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn3_grp[1]/pn3_units","10","1197"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn4_grp[1]/pn4_note","15","1207"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn4_grp[1]/pn4","15","1207"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn5_grp[1]/pm5_note","19","1222"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn5_grp[1]/pn5","19","1222"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn6_grp[1]/pn6_note","119","1241"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn6_grp[1]/pn6","119","1241"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn17","3","1361"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn25_grp[1]/pn25_note","8","1363"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn25_grp[1]/pn25_lab","8","1363"
