"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","2","67"
"enum_id","4","68"
"enum_confirm_grp[1]/enum_details","2","70"
"enum_confirm_grp[1]/enum_confirm","2","70"
"community_id","41","71"
"comm_confirm_grp[1]/comm_details","2","111"
"comm_confirm_grp[1]/comm_confirm","2","111"
"u5_iden_grp[1]/u5_id","70","112"
"u5_iden_grp[1]/u5_fullname","70","112"
"u5_iden_grp[1]/u5_age","70","112"
"u5_iden_grp[1]/u5_ct_id","70","112"
"u5_iden_grp[1]/u5_ct_fullname","70","112"
"uf9","6","150"
"consent_grp[1]/consent","12","151"
"consented_grp[1]/ub0","3","153"
"consented_grp[1]/ub1_age_sel","3","154"
"consented_grp[1]/ub1_dob_dmy","9","155"
"consented_grp[1]/ub5","3","164"
"consented_grp[1]/ub9","4","166"
"consented_grp[1]/br1","9","167"
"consented_grp[1]/br2","2","169"
"consented_grp[1]/ec1","4","170"
"consented_grp[1]/ec2_grp[1]/generated_note_name_108","39","172"
"consented_grp[1]/ec2_grp[1]/ec2_label","39","172"
"consented_grp[1]/ec2_grp[1]/ec2a","39","172"
"consented_grp[1]/ec2_grp[1]/ec2b","39","172"
"consented_grp[1]/ec2_grp[1]/ec2c","39","172"
"consented_grp[1]/ec3_grp[1]/generated_note_name_115","18","208"
"consented_grp[1]/ec3_grp[1]/ec3a","18","208"
"consented_grp[1]/ec3_grp[1]/ec3b","18","208"
"consented_grp[1]/ec7","5","226"
"consented_grp[1]/ec8","2","228"
"consented_grp[1]/ec9","2","229"
"consented_grp[1]/ec10","3","230"
"consented_grp[1]/ec11","2","232"
"consented_grp[1]/ec12","2","234"
"consented_grp[1]/ec13","2","235"
"consented_grp[1]/ec14","16","238"
"consented_grp[1]/ec15","4","252"
"consented_grp[1]/ucd2_grp[1]/ucd2_note","50","254"
"consented_grp[1]/ucd2_grp[1]/ucb2_label","50","254"
"consented_grp[1]/ucd2_grp[1]/ucd2a","50","254"
"consented_grp[1]/ucd2_grp[1]/ucb2b","50","254"
"consented_grp[1]/ucd2_grp[1]/ucb2c","50","254"
"consented_grp[1]/ucd2_grp[1]/ucb2d","50","254"
"consented_grp[1]/ucd2_grp[1]/ucb2e","50","254"
"consented_grp[1]/ucd2_grp[1]/ucb2f","50","254"
"consented_grp[1]/ucd2_grp[1]/ucb2g","50","254"
"consented_grp[1]/ucd2_grp[1]/ucb2h","50","254"
"consented_grp[1]/ucd2_grp[1]/ucb2i","50","254"
"consented_grp[1]/ucd2_grp[1]/ucb2j","50","254"
"consented_grp[1]/ucd2_grp[1]/ucb2k","50","254"
"consented_grp[1]/ucd3","5","304"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf2_note","25","308"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf2_label","25","308"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf2","25","308"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf3","25","308"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf4","25","308"
"consented_grp[1]/ucf_grp[1]/ucf5","4","333"
"consented_grp[1]/ucf_grp[1]/ucf7b","3","336"
"consented_grp[1]/ucf_grp[1]/ucf9a","2","338"
"consented_grp[1]/ucf_grp[1]/ucf13","4","339"
"consented_grp[1]/ucf_grp[1]/ucf14","11","341"
"consented_grp[1]/ucf_grp[1]/ucf15","4","352"
"consented_grp[1]/ucf_grp[1]/ucf16","21","355"
"consented_grp[1]/ucf_grp[1]/ucf17","6","375"
"consented_grp[1]/ucf_grp[1]/ucf18","5","381"
"consented_grp[1]/ucf_grp[1]/ucf19","49","385"
"consented_grp[1]/bd_grp[1]/bd2","3","433"
"consented_grp[1]/bd_grp[1]/bd3","3","436"
"consented_grp[1]/bd_grp[1]/bd4","56","437"
"consented_grp[1]/bd_grp[1]/bd5","7","492"
"consented_grp[1]/bd_grp[1]/bd6","27","498"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7","50","525"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7_label","50","525"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7a","50","525"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7b","50","525"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7c","50","525"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7d","50","525"
"consented_grp[1]/bd_grp[1]/bd7e_grp[1]/bd7e_label","16","566"
"consented_grp[1]/bd_grp[1]/bd7e_grp[1]/bd7e","16","566"
"consented_grp[1]/bd_grp[1]/bd7e1","35","589"
"consented_grp[1]/bd_grp[1]/bd7x_grp[1]/bd7x_label","6","619"
"consented_grp[1]/bd_grp[1]/bd7x_grp[1]/bd7x","6","619"
"consented_grp[1]/bd_grp[1]/bd8","3","623"
"consented_grp[1]/bd_grp[1]/bd8_grp[1]/bd8_note","3","625"
"consented_grp[1]/bd_grp[1]/bd8_grp[1]/bd8a1","3","626"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8b_note","2","628"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8b1","4","629"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8c1","24","632"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8c2","2","655"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8d1","16","656"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8d2","4","669"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8e1","12","674"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8f1","16","685"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8g1","8","701"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8g2","2","708"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8h1","12","709"
