"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","1"
"enum_id","7","2"
"enum_confirm_grp[1]/enum_details","1","9"
"enum_confirm_grp[1]/enum_confirm","1","9"
"community_id","6","11"
"comm_confirm_grp[1]/comm_details","4","17"
"comm_confirm_grp[1]/comm_confirm","4","17"
"u5_iden_grp[1]/u5_id","122","21"
"u5_iden_grp[1]/u5_fullname","122","21"
"u5_iden_grp[1]/u5_age","122","21"
"u5_iden_grp[1]/u5_ct_id","122","21"
"u5_iden_grp[1]/u5_ct_fullname","122","21"
"gm1_a","21","143"
"gm1_b","4","164"
"gm2_rpt[1]/gm2_grp[1]/gm3","10","168"
"gm2_rpt[1]/gm2_grp[1]/gm4","3","176"
"gm2_rpt[1]/gm2_grp[1]/gm5","5","181"
"gm2_rpt[1]/gm2_grp[1]/gm6","3","186"
"gm2_rpt[1]/gm2_grp[1]/gm7","3","189"
"gmobs1","3","191"
"gmobs2","3","194"
"an8","7","196"
"an9","2","204"
"an11_grp[1]/an11_a","10","206"
"an11_grp[1]/an11","10","206"
"an12","5","213"
"an13","5","220"
"an15","1","225"
