"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","3"
"enum_id","6","4"
"enum_confirm_grp[1]/enum_details","1","10"
"enum_confirm_grp[1]/enum_confirm","1","10"
"community_id","7","12"
"comm_confirm_grp[1]/comm_details","3","19"
"comm_confirm_grp[1]/comm_confirm","3","19"
"iw_iden_grp[1]/iw_id","65","21"
"iw_iden_grp[1]/iw_fullname","65","21"
"iw_iden_grp[1]/iw_age","65","21"
"wm8","6","81"
"wm9_grp[1]/wm9b","12","85"
"wm9_grp[1]/consent","12","85"
"consented_grp[1]/wb3_age_sel","7","95"
"consented_grp[1]/wb4_age_est","4","112"
"consented_grp[1]/wb5","6","116"
"consented_grp[1]/wb5_grp[1]/wb6","17","119"
"consented_grp[1]/wb5_grp[1]/wb6a","6","123"
"consented_grp[1]/wb5_grp[1]/wb6b","13","126"
"consented_grp[1]/wb5_grp[1]/wb7","11","132"
"consented_grp[1]/wb5_grp[1]/wb10a","14","165"
"consented_grp[1]/wb5_grp[1]/wb10b","5","182"
"consented_grp[1]/wb5_grp[1]/wb12a","2","187"
"consented_grp[1]/wb5_grp[1]/wb12b","2","189"
"consented_grp[1]/wb15","23","191"
"consented_grp[1]/wb16_grp[1]/wb16a","124","204"
"consented_grp[1]/wb16_grp[1]/wb16_note","124","204"
"consented_grp[1]/wb16_grp[1]/wb16b","124","204"
"consented_grp[1]/wb17a","14","338"
"consented_grp[1]/wb17b","3","353"
"consented_grp[1]/wb17c","23","355"
"consented_grp[1]/wb18","29","379"
"consented_grp[1]/mt1","12","408"
"consented_grp[1]/mt2","8","420"
"consented_grp[1]/mt3","4","428"
"consented_grp[1]/mt4","4","433"
"consented_grp[1]/mt9","4","436"
"consented_grp[1]/mt11","7","440"
"consented_grp[1]/mt12","24","447"
"consented_grp[1]/cm1","132","471"
"consented_grp[1]/cm2","7","604"
"consented_grp[1]/cm2_grp[1]/cm3","19","610"
"consented_grp[1]/cm2_grp[1]/cm4","19","610"
"consented_grp[1]/cm5","8","629"
"consented_grp[1]/cm5_grp[1]/cm6","10","637"
"consented_grp[1]/cm5_grp[1]/cm7","10","637"
"consented_grp[1]/cm8","6","648"
"consented_grp[1]/cm8_grp[1]/cm9","7","654"
"consented_grp[1]/cm8_grp[1]/cm10","7","654"
"consented_grp[1]/cm12","19","661"
"consented_grp[1]/bh0","9","680"
"consented_grp[1]/bh_rpt[1]/bh1","18","689"
"consented_grp[1]/bh_rpt[1]/bh2","4","707"
"consented_grp[1]/bh_rpt[1]/bh3","2","711"
"consented_grp[1]/bh_rpt[1]/bh4_age_sel","11","713"
"consented_grp[1]/bh_rpt[1]/bh4_dob_dmy","18","723"
"consented_grp[1]/bh_rpt[1]/bh5","4","742"
"consented_grp[1]/bh_rpt[1]/bh9_grp[1]/bh9_note","31","745"
"consented_grp[1]/bh_rpt[1]/bh9_grp[1]/bh9_a","31","745"
"consented_grp[1]/bh_rpt[1]/bh9_grp[1]/bh9_b","31","745"
"consented_grp[1]/bh_rpt[1]/bh10","7","776"
"consented_grp[1]/bh_rpt[2]/bh1","16","783"
"consented_grp[1]/bh_rpt[2]/bh2","3","799"
