"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","3","3"
"enum_id","7","7"
"enum_confirm_grp[1]/enum_details","1","14"
"enum_confirm_grp[1]/enum_confirm","1","14"
"community_id","7","15"
"comm_confirm_grp[1]/comm_details","1","22"
"comm_confirm_grp[1]/comm_confirm","1","22"
"iw_iden_grp[1]/iw_id","36","23"
"iw_iden_grp[1]/iw_fullname","36","23"
"iw_iden_grp[1]/iw_age","36","23"
"wm8","2","59"
"wm9_grp[1]/wm9b","2","61"
"wm9_grp[1]/consent","2","61"
"consented_grp[1]/wb3_age_sel","2","62"
"consented_grp[1]/wb4_age_est","3","64"
"consented_grp[1]/wb5","4","67"
"consented_grp[1]/wb5_grp[1]/wb6","2","71"
"consented_grp[1]/wb5_grp[1]/wb6a","2","72"
"consented_grp[1]/wb5_grp[1]/wb6b","2","74"
"consented_grp[1]/wb5_grp[1]/wb7","2","76"
"consented_grp[1]/wb5_grp[1]/wb10a","10","78"
"consented_grp[1]/wb5_grp[1]/wb10b","10","88"
"consented_grp[1]/wb5_grp[1]/wb12a","2","97"
"consented_grp[1]/wb5_grp[1]/wb12b","1","99"
"consented_grp[1]/wb14_grp[1]/wb14_note","5","100"
"consented_grp[1]/wb14_grp[1]/wb14","5","100"
"consented_grp[1]/wb15","16","105"
"consented_grp[1]/wb16_grp[1]/wb16a","13","122"
"consented_grp[1]/wb16_grp[1]/wb16_note","13","122"
"consented_grp[1]/wb16_grp[1]/wb16b","13","122"
"consented_grp[1]/wb17a","4","135"
"consented_grp[1]/wb17b","2","139"
"consented_grp[1]/wb18","5","141"
"consented_grp[1]/mt1","6","146"
"consented_grp[1]/mt2","7","152"
"consented_grp[1]/mt3","6","159"
"consented_grp[1]/mt4","4","165"
"consented_grp[1]/mt9","3","169"
"consented_grp[1]/mt11","6","171"
"consented_grp[1]/mt12","16","177"
"consented_grp[1]/cm1","426","193"
"consented_grp[1]/cm2","8","617"
"consented_grp[1]/cm2_grp[1]/cm3","13","626"
"consented_grp[1]/cm2_grp[1]/cm4","13","626"
"consented_grp[1]/cm5","3","640"
"consented_grp[1]/cm5_grp[1]/cm6","12","643"
"consented_grp[1]/cm5_grp[1]/cm7","12","643"
"consented_grp[1]/cm8","3","654"
"consented_grp[1]/cm8_grp[1]/cm9","8","657"
"consented_grp[1]/cm8_grp[1]/cm10","8","657"
"consented_grp[1]/cm12","4","665"
"consented_grp[1]/bh0","2","668"
"consented_grp[1]/bh_rpt[1]/bh1","16","670"
"consented_grp[1]/bh_rpt[1]/bh2","8","678"
"consented_grp[1]/bh_rpt[1]/bh3","3","694"
"consented_grp[1]/bh_rpt[1]/bh4_age_sel","2","697"
"consented_grp[1]/bh_rpt[1]/bh4_dob_my","28","699"
"consented_grp[1]/bh_rpt[1]/bh5","5","727"
"consented_grp[1]/bh_rpt[1]/bh9_grp[1]/bh9_note","9","732"
"consented_grp[1]/bh_rpt[1]/bh9_grp[1]/bh9_a","9","732"
"consented_grp[1]/bh_rpt[1]/bh9_grp[1]/bh9_b","9","732"
"consented_grp[1]/bh_rpt[1]/bh10","3","742"
"consented_grp[1]/bh_rpt[2]/bh1","18","744"
"consented_grp[1]/bh_rpt[2]/bh2","4","761"
"consented_grp[1]/bh_rpt[2]/bh3","4","763"
"consented_grp[1]/bh_rpt[2]/bh4_age_sel","8","765"
"consented_grp[1]/bh_rpt[2]/bh4_dob_my","230","767"
"consented_grp[1]/bh_rpt[2]/bh5","5","1009"
"consented_grp[1]/bh_rpt[2]/bh6","3","1014"
"consented_grp[1]/bh_rpt[2]/bh7","3","1018"
"consented_grp[1]/bh_rpt[2]/bh10","2","1020"
"consented_grp[1]/bh_rpt[3]/bh1","11","1022"
"consented_grp[1]/bh_rpt[3]/bh2","5","1028"
"consented_grp[1]/bh_rpt[3]/bh3","2","1038"
"consented_grp[1]/bh_rpt[3]/bh4_age_sel","2","1040"
"consented_grp[1]/bh_rpt[3]/bh4_dob_my","22","1042"
"consented_grp[1]/bh_rpt[3]/bh5","4","1065"
"consented_grp[1]/bh_rpt[3]/bh6","5","1069"
"consented_grp[1]/bh_rpt[3]/bh7","5","1074"
"consented_grp[1]/bh_rpt[3]/bh10","7","1079"
"consented_grp[1]/bh_rpt[4]/bh1","10","1086"
"consented_grp[1]/bh_rpt[4]/bh2","4","1096"
"consented_grp[1]/bh_rpt[4]/bh3","2","1100"
"consented_grp[1]/bh_rpt[4]/bh4_age_sel","2","1102"
"consented_grp[1]/bh_rpt[4]/bh4_dob_my","22","1104"
"consented_grp[1]/bh_rpt[4]/bh5","4","1126"
"consented_grp[1]/bh_rpt[4]/bh6","3","1131"
"consented_grp[1]/bh_rpt[4]/bh7","3","1134"
"consented_grp[1]/bh_rpt[4]/bh10","4","1137"
"consented_grp[1]/bh_rpt[5]/bh1","5","1141"
