"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","2"
"enum_id","10","2"
"enum_confirm_grp[1]/enum_details","1","12"
"enum_confirm_grp[1]/enum_confirm","1","12"
"community_id","11","13"
"comm_confirm_grp[1]/comm_details","1","24"
"comm_confirm_grp[1]/comm_confirm","1","24"
"u5_iden_grp[1]/u5_id","66","25"
"u5_iden_grp[1]/u5_fullname","66","25"
"u5_iden_grp[1]/u5_age","66","25"
"u5_iden_grp[1]/u5_ct_id","66","25"
"u5_iden_grp[1]/u5_ct_fullname","66","25"
"uf9","1","91"
"consent_grp[1]/consent","2","92"
"consented_grp[1]/ub0","1","94"
"consented_grp[1]/ub1_age_sel","2","95"
"consented_grp[1]/ub1_dob_dmy","13","97"
"consented_grp[1]/ub5","3","110"
"consented_grp[1]/ub8b","2","114"
"consented_grp[1]/ub9","6","116"
"consented_grp[1]/br1","28","122"
"consented_grp[1]/br2","3","150"
"consented_grp[1]/br3","4","153"
"consented_grp[1]/ec1","10","157"
"consented_grp[1]/ec2_grp[1]/generated_note_name_108","19","167"
"consented_grp[1]/ec2_grp[1]/ec2_label","19","167"
"consented_grp[1]/ec2_grp[1]/ec2a","19","167"
"consented_grp[1]/ec2_grp[1]/ec2b","19","167"
"consented_grp[1]/ec2_grp[1]/ec2c","19","167"
"consented_grp[1]/ec3_grp[1]/generated_note_name_115","19","186"
"consented_grp[1]/ec3_grp[1]/ec3a","19","186"
"consented_grp[1]/ec3_grp[1]/ec3b","19","186"
"consented_grp[1]/ec5_grp[1]/ec5","94","206"
"consented_grp[1]/ec5_grp[1]/ec5_label","94","206"
"consented_grp[1]/ec5_grp[1]/ec5a","94","206"
"consented_grp[1]/ec5_grp[1]/ec5b","94","206"
"consented_grp[1]/ec5_grp[1]/ec5c","94","206"
"consented_grp[1]/ec5_grp[1]/ec5d","94","206"
"consented_grp[1]/ec5_grp[1]/ec5e","94","206"
"consented_grp[1]/ec5_grp[1]/ec5f","94","206"
"consented_grp[1]/ec6_grp[1]/ec6_note","6","300"
"consented_grp[1]/ec6_grp[1]/ec6","6","300"
"consented_grp[1]/ec7","12","306"
"consented_grp[1]/ec8","2","318"
"consented_grp[1]/ec9","5","320"
"consented_grp[1]/ec10","9","325"
"consented_grp[1]/ec11","17","334"
"consented_grp[1]/ec12","7","351"
"consented_grp[1]/ec13","5","358"
"consented_grp[1]/ec14","7","363"
"consented_grp[1]/ec15","7","370"
"consented_grp[1]/ucd2_grp[1]/ucd2_note","87","377"
"consented_grp[1]/ucd2_grp[1]/ucb2_label","87","377"
"consented_grp[1]/ucd2_grp[1]/ucd2a","87","377"
"consented_grp[1]/ucd2_grp[1]/ucb2b","87","377"
"consented_grp[1]/ucd2_grp[1]/ucb2c","87","377"
"consented_grp[1]/ucd2_grp[1]/ucb2d","87","377"
"consented_grp[1]/ucd2_grp[1]/ucb2e","87","377"
"consented_grp[1]/ucd2_grp[1]/ucb2f","87","377"
"consented_grp[1]/ucd2_grp[1]/ucb2g","87","377"
"consented_grp[1]/ucd2_grp[1]/ucb2h","87","377"
"consented_grp[1]/ucd2_grp[1]/ucb2i","87","377"
"consented_grp[1]/ucd2_grp[1]/ucb2j","87","377"
"consented_grp[1]/ucd3","9","464"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf2_note","16","473"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf2_label","16","473"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf2","16","473"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf3","16","473"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf4","16","473"
"consented_grp[1]/ucf_grp[1]/ucf5","2","489"
"consented_grp[1]/ucf_grp[1]/ucf7b","4","491"
"consented_grp[1]/ucf_grp[1]/ucf9b","16","495"
"consented_grp[1]/ucf_grp[1]/ucf13","7","511"
"consented_grp[1]/ucf_grp[1]/ucf14","9","518"
"consented_grp[1]/ucf_grp[1]/ucf15","5","527"
"consented_grp[1]/ucf_grp[1]/ucf16","1","531"
"consented_grp[1]/ucf_grp[1]/ucf17","22","533"
"consented_grp[1]/ucf_grp[1]/ucf18","6","554"
"consented_grp[1]/ucf_grp[1]/ucf19","21","561"
"consented_grp[1]/im2","26","582"
"consented_grp[1]/im5","122","590"
"consented_grp[1]/im6_note","1","711"
"consented_grp[1]/im6_rpt[1]/im6","1","712"
"consented_grp[1]/im3","11","727"
"consented_grp[1]/ca1","27","734"
"consented_grp[1]/ca14","4","770"
"consented_grp[1]/ca16","4","774"
"consented_grp[1]/ca17","6","777"
"consented_grp[1]/gps_backup","287","784"
"comments","4","1070"
