"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","1"
"enum_id","4","3"
"enum_confirm_grp[1]/enum_details","1","7"
"enum_confirm_grp[1]/enum_confirm","1","7"
"community_id","4","8"
"comm_confirm_grp[1]/comm_details","1","12"
"comm_confirm_grp[1]/comm_confirm","1","12"
"u5_iden_grp[1]/u5_id","71","13"
"u5_iden_grp[1]/u5_fullname","71","13"
"u5_iden_grp[1]/u5_age","71","13"
"u5_iden_grp[1]/u5_ct_id","71","13"
"u5_iden_grp[1]/u5_ct_fullname","71","13"
"gm1_a","1","84"
"gm1_b","1","85"
"gm2_rpt[1]/gm2_grp[1]/gm3","2","87"
"gm2_rpt[1]/gm2_grp[1]/gm4","2","88"
"gm2_rpt[1]/gm2_grp[1]/gm5","3","90"
"gm2_rpt[1]/gm2_grp[1]/gm6","2","93"
"gm2_rpt[1]/gm2_grp[1]/gm7","1","95"
"gmobs1","1","96"
"gmobs2","1","97"
"an8","8","98"
"an9","2","106"
"an11_grp[1]/an11_b","6","108"
"an11_grp[1]/an11","6","108"
"an12","1","113"
"an13","1","115"
"an15","1","116"
