"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","2"
"enum_id","7","3"
"enum_confirm_grp[1]/enum_details","1","10"
"enum_confirm_grp[1]/enum_confirm","1","10"
"community_id","7","11"
"comm_confirm_grp[1]/comm_details","1","19"
"comm_confirm_grp[1]/comm_confirm","1","19"
"hhid_grp[1]/hhid_instruction","6","20"
"hhid_grp[1]/hhid_struct_num","6","20"
"hhid_grp[1]/hhid_hh_num","6","20"
"hhid_confirm_grp[1]/hhid_details","2","26"
"hhid_confirm_grp[1]/hhid_confirm","2","26"
"consent_grp[1]/consent_instr","118","27"
"consent_grp[1]/consent","118","27"
"consented_grp[1]/hh_note","1","146"
"consented_grp[1]/hhm_cnt","2","147"
"consented_grp[1]/rooster_note","2","150"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","13","152"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","13","152"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","13","152"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl3","1","165"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl4","1","166"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl5_age_sel","2","167"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl6_age_est","4","169"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl7","1","173"
"consented_grp[1]/hhm_rpt[1]/ed4","2","174"
"consented_grp[1]/hhm_rpt[1]/hhm_add_grp[1]/hhm_add_note","2","176"
"consented_grp[1]/hhm_rpt[1]/hhm_add_grp[1]/hhm_add_yn","2","176"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","16","178"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","16","178"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","16","178"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl3","1","193"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl4","2","195"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl5_age_sel","1","197"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl5_dob_dmy","7","198"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl7","1","205"
"consented_grp[1]/hhm_rpt[2]/ed4","2","206"
"consented_grp[1]/hhm_rpt[2]/ed5_grp[1]/ed5a","2","208"
"consented_grp[1]/hhm_rpt[2]/ed5_grp[1]/ed5a_a","2","210"
"consented_grp[1]/hhm_rpt[2]/ed5_grp[1]/ed5b","1","212"
"consented_grp[1]/hhm_rpt[2]/ed5_grp[1]/ed6","1","213"
"consented_grp[1]/hhm_rpt[2]/hhm_add_grp[1]/hhm_add_note","3","214"
"consented_grp[1]/hhm_rpt[2]/hhm_add_grp[1]/hhm_add_yn","3","214"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","14","218"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","14","218"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","14","218"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl3","2","231"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl4","1","234"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl5_age_sel","1","235"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl5_dob_dmy","8","236"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl7","1","244"
"consented_grp[1]/hhm_rpt[3]/ed4","2","245"
"consented_grp[1]/hhm_rpt[3]/ed9","2","247"
"consented_grp[1]/hhm_rpt[3]/ed15","1","249"
"consented_grp[1]/hhm_rpt[3]/hhm_add_grp[1]/hhm_add_note","2","250"
"consented_grp[1]/hhm_rpt[3]/hhm_add_grp[1]/hhm_add_yn","2","250"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","15","252"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","15","252"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","15","252"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/hl3","1","267"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/hl4","2","268"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/hl5_age_sel","2","270"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/hl5_dob_dmy","11","272"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/hl7","1","283"
"consented_grp[1]/hhm_rpt[4]/hhm_add_grp[1]/hhm_add_note","8","284"
"consented_grp[1]/hhm_rpt[4]/hhm_add_grp[1]/hhm_add_yn","8","284"
"consented_grp[1]/hhm_ch_intro","1","292"
"consented_grp[1]/hhm_ch_rpt[1]/h12_grp[1]/hl12","1","294"
"consented_grp[1]/hhm_ch_rpt[1]/h12_grp[1]/hl13a","1","295"
"consented_grp[1]/hhm_ch_rpt[1]/h12_grp[1]/hl13b","2","296"
"consented_grp[1]/hhm_ch_rpt[1]/h16_grp[1]/hl16","9","298"
"consented_grp[1]/hhm_ch_rpt[1]/h16_grp[1]/hl17a","8","307"
"consented_grp[1]/hhm_ch_rpt[1]/h16_grp[1]/hl19","4","315"
"consented_grp[1]/hhm_ch_rpt[2]/h12_grp[1]/hl12","1","319"
"consented_grp[1]/hhm_ch_rpt[2]/h12_grp[1]/hl13a","2","320"
"consented_grp[1]/hhm_ch_rpt[2]/h12_grp[1]/hl13b","1","322"
"consented_grp[1]/hhm_ch_rpt[2]/h16_grp[1]/hl16","1","323"
"consented_grp[1]/hhm_ch_rpt[2]/h16_grp[1]/hl17a","4","324"
"consented_grp[1]/hhm_ch_rpt[2]/h16_grp[1]/hl17b","1","327"
"consented_grp[1]/u5_rpt[1]/u5_note","30","328"
"consented_grp[1]/u5_rpt[2]/u5_note","5","359"
"consented_grp[1]/hc_grp[1]/hc1a","5","364"
"consented_grp[1]/hc_grp[1]/hc1b","11","369"
"consented_grp[1]/hc_grp[1]/hc2","3","380"
"consented_grp[1]/hc_grp[1]/hc3","7","383"
"consented_grp[1]/hc_grp[1]/hc4","2","390"
"consented_grp[1]/hc_grp[1]/hc5","2","392"
"consented_grp[1]/hc_grp[1]/hc6","9","395"
"consented_grp[1]/hc_grp[1]/hc7_grp[1]/hcf_note","13","404"
"consented_grp[1]/hc_grp[1]/hc7_grp[1]/hc7_label","13","404"
"consented_grp[1]/hc_grp[1]/hc7_grp[1]/hc7a","13","404"
"consented_grp[1]/hc_grp[1]/hc7_grp[1]/hc7b","13","404"
"consented_grp[1]/hc_grp[1]/hc7_grp[1]/hc7c","13","404"
"consented_grp[1]/hc_grp[1]/hc7_grp[1]/hc7d","13","404"
"consented_grp[1]/hc_grp[1]/hc7_grp[1]/hc7e","13","404"
"consented_grp[1]/hc_grp[1]/hc7_grp[1]/hc7f","13","404"
"consented_grp[1]/hc_grp[1]/hc7_grp[1]/hc7g","13","404"
"consented_grp[1]/hc_grp[1]/hc8","2","417"
"consented_grp[1]/hc_grp[1]/hc10_grp[1]/hc10_note","11","419"
"consented_grp[1]/hc_grp[1]/hc10_grp[1]/hc10_labels","11","419"
"consented_grp[1]/hc_grp[1]/hc10_grp[1]/hc10a","11","419"
"consented_grp[1]/hc_grp[1]/hc10_grp[1]/hc10b","11","419"
"consented_grp[1]/hc_grp[1]/hc10_grp[1]/hc10c","11","419"
"consented_grp[1]/hc_grp[1]/hc10_grp[1]/hc10d","11","419"
"consented_grp[1]/hc_grp[1]/hc10_grp[1]/hc10e","11","419"
"consented_grp[1]/hc_grp[1]/hc10_grp[1]/hc10f","11","419"
"consented_grp[1]/hc_grp[1]/hc10_grp[1]/hc10g","11","419"
"consented_grp[1]/hc_grp[1]/hc11","2","430"
"consented_grp[1]/hc_grp[1]/hc12","3","432"
"consented_grp[1]/hc_grp[1]/hc13","15","435"
"consented_grp[1]/hc_grp[1]/hc14","6","451"
"consented_grp[1]/hc_grp[1]/hc15","12","457"
"consented_grp[1]/hc_grp[1]/hc16_grp[1]/hc16a","3","468"
"consented_grp[1]/hc_grp[1]/hc16_grp[1]/hc16b","3","468"
"consented_grp[1]/hc_grp[1]/hc17","7","471"
"consented_grp[1]/hc_grp[1]/hc19","13","478"
"consented_grp[1]/st_intonote","2","491"
"consented_grp[1]/st_rpt[1]/st1a","74","493"
"consented_grp[1]/st_rpt[2]/st1a","11","567"
"consented_grp[1]/st_rpt[3]/st1a","8","578"
"consented_grp[1]/st_rpt[3]/st1b","3","585"
"consented_grp[1]/st_rpt[4]/st1a","3","588"
"consented_grp[1]/st_rpt[4]/st1b","2","591"
"consented_grp[1]/st_rpt[5]/st1a","6","593"
"consented_grp[1]/st_rpt[5]/st1_add_yn","10","599"
"consented_grp[1]/eu1","3","609"
"consented_grp[1]/eu2","13","612"
"consented_grp[1]/eu4_grp[1]/eu4","2","625"
"consented_grp[1]/eu5_grp[1]/eu5","3","627"
"consented_grp[1]/eu6","10","629"
"consented_grp[1]/eu9","10","639"
"consented_grp[1]/tn1","6","649"
"consented_grp[1]/irs1","1","655"
"consented_grp[1]/ws1","3","656"
"consented_grp[1]/ws3","6","659"
"consented_grp[1]/ws4","5","666"
"consented_grp[1]/ws5","7","668"
"consented_grp[1]/ws6","13","678"
"consented_grp[1]/ws7","9","687"
"consented_grp[1]/ws8","6","700"
"consented_grp[1]/ws9","7","706"
"consented_grp[1]/ws11","8","712"
"consented_grp[1]/ws12","2","721"
"consented_grp[1]/ws14","8","723"
"consented_grp[1]/ws15","3","731"
"consented_grp[1]/ws16","2","734"
"consented_grp[1]/hw1_grp[1]/hw1_note","6","735"
"consented_grp[1]/hw1_grp[1]/hw1","6","735"
"consented_grp[1]/hw5","7","742"
"consented_grp[1]/hw6","2","749"
"consented_grp[1]/hw7","1","751"
"consented_grp[1]/death_note","11","752"
"consented_grp[1]/dc0a","3","763"
"consented_grp[1]/main_respondent","2","766"
"consented_grp[1]/survey_language","2","768"
"consented_grp[1]/survey_accomp","2","770"
"gps_backup","140","772"
"comments","3","912"
