"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","1"
"enum_id","5","2"
"enum_confirm_grp[1]/enum_details","1","7"
"enum_confirm_grp[1]/enum_confirm","1","7"
"community_id","6","9"
"comm_confirm_grp[1]/comm_details","2","15"
"comm_confirm_grp[1]/comm_confirm","2","15"
"u5_iden_grp[1]/u5_id","37","17"
"u5_iden_grp[1]/u5_fullname","37","17"
"u5_iden_grp[1]/u5_age","37","17"
"u5_iden_grp[1]/u5_ct_id","37","17"
"u5_iden_grp[1]/u5_ct_fullname","37","17"
"gm1_a","17","54"
"gmobs1","3","71"
"gmobs2","3","74"
"an8","10","77"
"an9","3","80"
"an11_grp[1]/an11_b","7","82"
"an11_grp[1]/an11","7","82"
"an12","3","84"
"an13","3","85"
"an15","2","87"
