"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","2","1"
"enum_id","4","2"
"enum_confirm_grp[1]/enum_details","2","5"
"enum_confirm_grp[1]/enum_confirm","2","5"
"community_id","7","5"
"comm_confirm_grp[1]/comm_details","3","11"
"comm_confirm_grp[1]/comm_confirm","3","11"
"u5_iden_grp[1]/u5_id","74","12"
"u5_iden_grp[1]/u5_fullname","74","12"
"u5_iden_grp[1]/u5_age","74","12"
"u5_iden_grp[1]/u5_ct_id","74","12"
"u5_iden_grp[1]/u5_ct_fullname","74","12"
"uf9","2","75"
"consent_grp[1]/consent","2","76"
"consented_grp[1]/ub0","2","78"
"consented_grp[1]/ub1_age_sel","3","79"
"consented_grp[1]/ub1_dob_dmy","15","80"
"consented_grp[1]/ub5","2","87"
"consented_grp[1]/ub9","2","88"
"consented_grp[1]/br1","212","89"
"consented_grp[1]/ec1","3","300"
"consented_grp[1]/ec2_grp[1]/generated_note_name_108","22","302"
"consented_grp[1]/ec2_grp[1]/ec2_label","22","302"
"consented_grp[1]/ec2_grp[1]/ec2a","22","302"
"consented_grp[1]/ec2_grp[1]/ec2b","22","302"
"consented_grp[1]/ec2_grp[1]/ec2c","22","302"
"consented_grp[1]/ec3_grp[1]/generated_note_name_115","16","320"
"consented_grp[1]/ec3_grp[1]/ec3a","16","320"
"consented_grp[1]/ec3_grp[1]/ec3b","16","320"
"consented_grp[1]/ec7","2","336"
"consented_grp[1]/ec8","4","338"
"consented_grp[1]/ec9","7","342"
"consented_grp[1]/ec10","7","348"
"consented_grp[1]/ec11","2","355"
"consented_grp[1]/ec12","1","358"
"consented_grp[1]/ec13","2","359"
"consented_grp[1]/ec14","2","361"
"consented_grp[1]/ec15","2","363"
"consented_grp[1]/bd_grp[1]/bd2","2","365"
"consented_grp[1]/bd_grp[1]/bd3","1","367"
"consented_grp[1]/bd_grp[1]/bd4","16","368"
"consented_grp[1]/bd_grp[1]/bd5","4","381"
"consented_grp[1]/bd_grp[1]/bd6","8","385"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7","17","392"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7_label","17","392"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7a","17","392"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7b","17","392"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7c","17","392"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7d","17","392"
"consented_grp[1]/bd_grp[1]/bd7e_grp[1]/bd7e_label","3","409"
"consented_grp[1]/bd_grp[1]/bd7e_grp[1]/bd7e","3","409"
"consented_grp[1]/bd_grp[1]/bd7x_grp[1]/bd7x_label","2","412"
"consented_grp[1]/bd_grp[1]/bd7x_grp[1]/bd7x","2","412"
"consented_grp[1]/bd_grp[1]/bd8","1","413"
"consented_grp[1]/bd_grp[1]/bd8_grp[1]/bd8_note","1","415"
"consented_grp[1]/bd_grp[1]/bd8_grp[1]/bd8a1","1","416"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8b_note","1","417"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8b1","3","418"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8c1","3","421"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8c2","1","425"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8d1","2","426"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8e1","2","428"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8f1","1","430"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8g1","3","431"
