"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","11","1"
"enum_id","26","3"
"enum_confirm_grp[1]/enum_details","6","20"
"enum_confirm_grp[1]/enum_confirm","6","20"
"community_id","12","23"
"comm_confirm_grp[1]/comm_details","58","29"
"comm_confirm_grp[1]/comm_confirm","58","29"
"iw_iden_grp[1]/iw_id","122","31"
"iw_iden_grp[1]/iw_fullname","122","31"
"iw_iden_grp[1]/iw_age","122","31"
"wm8","11","236"
"wm9_grp[1]/wm9a","494","246"
"wm9_grp[1]/consent","494","246"
"consented_grp[1]/wb3_age_sel","8","740"
"consented_grp[1]/wb3_dob_dmy","43","748"
"consented_grp[1]/wb5","9","791"
"consented_grp[1]/wb5_grp[1]/wb6","12","800"
"consented_grp[1]/wb5_grp[1]/wb6a","7","812"
"consented_grp[1]/wb5_grp[1]/wb6b","4","819"
"consented_grp[1]/wb5_grp[1]/wb7","18","822"
"consented_grp[1]/wb5_grp[1]/wb9","29","834"
"consented_grp[1]/wb5_grp[1]/wb10a","34","844"
"consented_grp[1]/wb5_grp[1]/wb10b","17","860"
"consented_grp[1]/wb5_grp[1]/wb11","5","921"
"consented_grp[1]/wb5_grp[1]/wb12a","3","927"
"consented_grp[1]/wb5_grp[1]/wb12b","15","930"
"consented_grp[1]/wb14_grp[1]/wb14_note","168","938"
"consented_grp[1]/wb14_grp[1]/wb14","168","938"
"consented_grp[1]/wb15","46","1112"
"consented_grp[1]/wb16_grp[1]/wb16a","83","1159"
"consented_grp[1]/wb16_grp[1]/wb16_note","83","1159"
"consented_grp[1]/wb16_grp[1]/wb16b","83","1159"
"consented_grp[1]/wb17a","61","1240"
"consented_grp[1]/wb17b","8","1290"
"consented_grp[1]/wb17c","27","1295"
"consented_grp[1]/wb18","9","1338"
"consented_grp[1]/mt1","13","1347"
"consented_grp[1]/mt2","15","1360"
"consented_grp[1]/mt3","24","1375"
"consented_grp[1]/mt4","12","1399"
"consented_grp[1]/mt9","13","1411"
"consented_grp[1]/mt11","5","1424"
"consented_grp[1]/mt12","46","1429"
"consented_grp[1]/cm1","50","1476"
"consented_grp[1]/cm2","12","1526"
"consented_grp[1]/cm2_grp[1]/cm3","15","1537"
"consented_grp[1]/cm2_grp[1]/cm4","15","1537"
"consented_grp[1]/cm5","20","1552"
"consented_grp[1]/cm8","28","1573"
"consented_grp[1]/cm12","17","1600"
"consented_grp[1]/bh0","23","1618"
"consented_grp[1]/bh_rpt[1]/bh1","15","1641"
"consented_grp[1]/bh_rpt[1]/bh2","6","1656"
"consented_grp[1]/bh_rpt[1]/bh3","6","1662"
"consented_grp[1]/bh_rpt[1]/bh4_age_sel","9","1668"
"consented_grp[1]/bh_rpt[1]/bh4_dob_dmy","69","1677"
"consented_grp[1]/bh_rpt[1]/bh5","6","1747"
"consented_grp[1]/bh_rpt[1]/bh6","11","1753"
"consented_grp[1]/bh_rpt[1]/bh7","5","1764"
"consented_grp[1]/bh_rpt[1]/bh8","69","1769"
"consented_grp[1]/bh_rpt[1]/bh10","18","1838"
"consented_grp[1]/db2","26","1855"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn2","12","1881"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn3","29","1893"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn4_grp[1]/mn4_a","20","1923"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn4_grp[1]/mn4_b","20","1923"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn5","38","1943"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn6_grp[1]/mn6_note","57","1980"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn6_grp[1]/mn6_label","57","1980"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn6_grp[1]/mn6_a","57","1980"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn6_grp[1]/mn6_b","57","1980"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn6_grp[1]/mn6_c","57","1980"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn7","30","2037"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn8","19","2067"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn9","14","2086"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn11","56","2101"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn12","37","2157"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn14a","38","2194"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn16","12","2231"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn17","27","2243"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn18","27","2271"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn19","62","2298"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn20","37","2343"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn21","14","2396"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn23","20","2410"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn24","12","2430"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn25","15","2442"
