"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","2"
"enum_id","5","4"
"enum_confirm_grp[1]/enum_details","1","9"
"enum_confirm_grp[1]/enum_confirm","1","9"
"community_id","6","10"
"comm_confirm_grp[1]/comm_details","1","16"
"comm_confirm_grp[1]/comm_confirm","1","16"
"hhid_grp[1]/hhid_instruction","9","17"
"hhid_grp[1]/hhid_struct_num","9","17"
"hhid_grp[1]/hhid_hh_num","9","17"
"hhid_confirm_grp[1]/hhid_details","29","26"
"hhid_confirm_grp[1]/hhid_confirm","29","26"
"consent_grp[1]/consent_instr","193","33"
"consent_grp[1]/consent","193","33"
"consented_grp[1]/hh_note","1","248"
"consented_grp[1]/hhm_cnt","13","250"
"consented_grp[1]/rooster_note","2","263"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","35","264"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","35","264"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","35","264"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl3","1","300"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl4","1","301"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl5_age_sel","1","302"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl5_dob_dmy","11","303"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl7","11","313"
"consented_grp[1]/hhm_rpt[1]/ed4","2","325"
"consented_grp[1]/hhm_rpt[1]/ed5_grp[1]/ed5a","1","327"
"consented_grp[1]/hhm_rpt[1]/ed5_grp[1]/ed5a_a","2","329"
"consented_grp[1]/hhm_rpt[1]/ed5_grp[1]/ed5b","2","330"
"consented_grp[1]/hhm_rpt[1]/ed5_grp[1]/ed6","1","332"
"consented_grp[1]/hhm_rpt[1]/hhm_add_grp[1]/hhm_add_note","12","334"
"consented_grp[1]/hhm_rpt[1]/hhm_add_grp[1]/hhm_add_yn","12","334"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","29","346"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","29","346"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","29","346"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl3","2","375"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl4","1","376"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl5_age_sel","1","378"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl5_dob_dmy","9","379"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl7","2","388"
"consented_grp[1]/hhm_rpt[2]/ed4","2","390"
"consented_grp[1]/hhm_rpt[2]/hhm_add_grp[1]/hhm_add_note","12","392"
"consented_grp[1]/hhm_rpt[2]/hhm_add_grp[1]/hhm_add_yn","12","392"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","19","404"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","19","404"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","19","404"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl3","2","423"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl4","1","425"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl5_age_sel","1","426"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl5_dob_dmy","11","427"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl7","4","438"
"consented_grp[1]/hhm_rpt[3]/ed4","1","442"
"consented_grp[1]/hhm_rpt[3]/ed5_grp[1]/ed5a","2","444"
"consented_grp[1]/hhm_rpt[3]/ed5_grp[1]/ed5a_a","4","445"
"consented_grp[1]/hhm_rpt[3]/ed5_grp[1]/ed5b","4","448"
"consented_grp[1]/hhm_rpt[3]/ed5_grp[1]/ed6","5","453"
"consented_grp[1]/hhm_rpt[3]/ed9","2","458"
"consented_grp[1]/hhm_rpt[3]/ed9_grp[1]/ed10","2","460"
"consented_grp[1]/hhm_rpt[3]/ed9_grp[1]/ed11a","2","463"
"consented_grp[1]/hhm_rpt[3]/ed9_grp[1]/ed12","3","465"
"consented_grp[1]/hhm_rpt[3]/ed9_grp[1]/ed13","1","468"
"consented_grp[1]/hhm_rpt[3]/ed9_grp[1]/ed14","14","469"
"consented_grp[1]/hhm_rpt[3]/ed15","4","481"
"consented_grp[1]/hhm_rpt[3]/ed16_grp[1]/ed16a","2","486"
"consented_grp[1]/hhm_rpt[3]/ed16_grp[1]/ed16b","2","488"
"consented_grp[1]/hhm_rpt[3]/hhm_add_grp[1]/hhm_add_note","13","489"
"consented_grp[1]/hhm_rpt[3]/hhm_add_grp[1]/hhm_add_yn","13","489"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","23","502"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","23","502"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","23","502"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/hl3","2","525"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/hl4","2","528"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/hl5_age_sel","1","529"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/hl5_dob_dmy","8","530"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/hl7","2","538"
"consented_grp[1]/hhm_rpt[4]/ed4","1","540"
"consented_grp[1]/hhm_rpt[4]/ed5_grp[1]/ed5a","1","542"
"consented_grp[1]/hhm_rpt[4]/ed5_grp[1]/ed5a_a","2","543"
"consented_grp[1]/hhm_rpt[4]/ed5_grp[1]/ed5b","1","545"
"consented_grp[1]/hhm_rpt[4]/ed5_grp[1]/ed6","1","546"
"consented_grp[1]/hhm_rpt[4]/ed9","2","548"
"consented_grp[1]/hhm_rpt[4]/ed9_grp[1]/ed10","1","549"
"consented_grp[1]/hhm_rpt[4]/ed9_grp[1]/ed11a","2","551"
"consented_grp[1]/hhm_rpt[4]/ed9_grp[1]/ed12","1","553"
"consented_grp[1]/hhm_rpt[4]/ed9_grp[1]/ed13","1","554"
"consented_grp[1]/hhm_rpt[4]/ed9_grp[1]/ed14","3","555"
"consented_grp[1]/hhm_rpt[4]/ed15","2","558"
"consented_grp[1]/hhm_rpt[4]/ed16_grp[1]/ed16a","2","559"
"consented_grp[1]/hhm_rpt[4]/ed16_grp[1]/ed16b","2","561"
"consented_grp[1]/hhm_rpt[4]/hhm_add_grp[1]/hhm_add_note","10","563"
"consented_grp[1]/hhm_rpt[4]/hhm_add_grp[1]/hhm_add_yn","10","563"
"consented_grp[1]/hhm_rpt[5]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","25","572"
"consented_grp[1]/hhm_rpt[5]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","25","572"
"consented_grp[1]/hhm_rpt[5]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","25","572"
"consented_grp[1]/hhm_rpt[5]/hhmemb_info[1]/hl3","2","598"
"consented_grp[1]/hhm_rpt[5]/hhmemb_info[1]/hl4","2","600"
"consented_grp[1]/hhm_rpt[5]/hhmemb_info[1]/hl5_age_sel","1","602"
"consented_grp[1]/hhm_rpt[5]/hhmemb_info[1]/hl5_dob_dmy","12","603"
"consented_grp[1]/hhm_rpt[5]/hhmemb_info[1]/hl7","2","615"
"consented_grp[1]/hhm_rpt[5]/hhm_add_grp[1]/hhm_add_note","2","617"
"consented_grp[1]/hhm_rpt[5]/hhm_add_grp[1]/hhm_add_yn","2","617"
"consented_grp[1]/hhm_ch_intro","1","620"
"consented_grp[1]/hhm_ch_rpt[1]/h12_grp[1]/hl12","2","621"
"consented_grp[1]/hhm_ch_rpt[1]/h12_grp[1]/hl13a","1","623"
"consented_grp[1]/hhm_ch_rpt[1]/h12_grp[1]/hl13b","1","624"
"consented_grp[1]/hhm_ch_rpt[1]/h16_grp[1]/hl16","1","625"
"consented_grp[1]/hhm_ch_rpt[1]/h16_grp[1]/hl17a","1","626"
