"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","1"
"enum_id","5","3"
"enum_confirm_grp[1]/enum_details","1","8"
"enum_confirm_grp[1]/enum_confirm","1","8"
"community_id","6","9"
"comm_confirm_grp[1]/comm_details","1","15"
"comm_confirm_grp[1]/comm_confirm","1","15"
"u5_iden_grp[1]/u5_id","73","16"
"u5_iden_grp[1]/u5_fullname","73","16"
"u5_iden_grp[1]/u5_age","73","16"
"u5_iden_grp[1]/u5_ct_id","73","16"
"u5_iden_grp[1]/u5_ct_fullname","73","16"
"uf9","2","89"
"consent_grp[1]/consent","4","91"
"consented_grp[1]/ub0","2","94"
"consented_grp[1]/ub1_age_sel","7","96"
"consented_grp[1]/ub1_dob_dmy","19","103"
"consented_grp[1]/ub5","3","122"
"consented_grp[1]/ub9","2","125"
"consented_grp[1]/br1","95","126"
"consented_grp[1]/br2","11","222"
"consented_grp[1]/br3","2","232"
"consented_grp[1]/ec1","5","234"
"consented_grp[1]/ec2_grp[1]/generated_note_name_108","4","240"
"consented_grp[1]/ec2_grp[1]/ec2_label","4","240"
"consented_grp[1]/ec2_grp[1]/ec2a","4","240"
"consented_grp[1]/ec2_grp[1]/ec2b","4","240"
"consented_grp[1]/ec2_grp[1]/ec2c","4","240"
"consented_grp[1]/ec3_grp[1]/generated_note_name_115","8","244"
"consented_grp[1]/ec3_grp[1]/ec3a","8","244"
"consented_grp[1]/ec3_grp[1]/ec3b","8","244"
"consented_grp[1]/ec7","3","252"
"consented_grp[1]/ec8","1","255"
"consented_grp[1]/ec9","14","256"
"consented_grp[1]/ec10","3","270"
"consented_grp[1]/ec11","7","273"
"consented_grp[1]/ec12","4","280"
"consented_grp[1]/ec13","3","284"
"consented_grp[1]/ec14","3","287"
"consented_grp[1]/ec15","10","290"
"consented_grp[1]/ucd2_grp[1]/ucd2_note","44","300"
"consented_grp[1]/ucd2_grp[1]/ucb2_label","44","300"
"consented_grp[1]/ucd2_grp[1]/ucd2a","44","300"
"consented_grp[1]/ucd2_grp[1]/ucb2b","44","300"
"consented_grp[1]/ucd2_grp[1]/ucb2c","44","300"
"consented_grp[1]/ucd2_grp[1]/ucb2d","44","300"
"consented_grp[1]/ucd2_grp[1]/ucb2e","44","300"
"consented_grp[1]/ucd2_grp[1]/ucb2f","44","300"
