"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","2"
"enum_id","6","4"
"enum_confirm_grp[1]/enum_details","1","9"
"enum_confirm_grp[1]/enum_confirm","1","9"
"community_id","5","10"
"comm_confirm_grp[1]/comm_details","1","16"
"comm_confirm_grp[1]/comm_confirm","1","16"
"hhid_grp[1]/hhid_instruction","4","17"
"hhid_grp[1]/hhid_struct_num","4","17"
"hhid_grp[1]/hhid_hh_num","4","17"
"hhid_confirm_grp[1]/hhid_details","1","21"
"hhid_confirm_grp[1]/hhid_confirm","1","21"
"consent_grp[1]/consent_instr","94","22"
"consent_grp[1]/consent","94","22"
"consented_grp[1]/hh_note","1","115"
"consented_grp[1]/hhm_cnt","2","117"
"consented_grp[1]/rooster_note","5","119"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","22","120"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","22","120"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","22","120"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl3","1","145"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl4","2","147"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl5_age_sel","3","149"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl5_dob_dmy","16","151"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl7","78","168"
"consented_grp[1]/hhm_rpt[1]/ed4","5","170"
"consented_grp[1]/hhm_rpt[1]/hhm_add_grp[1]/hhm_add_note","5","251"
"consented_grp[1]/hhm_rpt[1]/hhm_add_grp[1]/hhm_add_yn","5","251"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","171","255"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","171","255"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","171","255"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl3","2","426"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl4","2","428"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl5_age_sel","2","430"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl5_dob_dmy","9","432"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl7","2","441"
"consented_grp[1]/hhm_rpt[2]/ed4","2","443"
"consented_grp[1]/hhm_rpt[2]/hhm_add_grp[1]/hhm_add_note","3","445"
"consented_grp[1]/hhm_rpt[2]/hhm_add_grp[1]/hhm_add_yn","3","445"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","17","448"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","17","448"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","17","448"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl3","2","465"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl4","3","467"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl5_age_sel","1","470"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl5_dob_dmy","18","472"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl7","5","490"
"consented_grp[1]/hhm_rpt[3]/ed4","6","492"
"consented_grp[1]/hhm_rpt[3]/ed5_grp[1]/ed5a","4","496"
"consented_grp[1]/hhm_rpt[3]/ed5_grp[1]/ed5a_a","3","497"
"consented_grp[1]/hhm_rpt[3]/ed5_grp[1]/ed5b","5","499"
"consented_grp[1]/hhm_rpt[3]/ed5_grp[1]/ed6","4","503"
"consented_grp[1]/hhm_rpt[3]/ed9","3","506"
"consented_grp[1]/hhm_rpt[3]/ed9_grp[1]/ed10","6","508"
"consented_grp[1]/hhm_rpt[3]/ed9_grp[1]/ed11a","9","509"
"consented_grp[1]/hhm_rpt[3]/ed9_grp[1]/ed12","4","514"
"consented_grp[1]/hhm_rpt[3]/ed9_grp[1]/ed13","3","516"
"consented_grp[1]/hhm_rpt[3]/ed9_grp[1]/ed14","15","518"
"consented_grp[1]/hhm_rpt[3]/ed15","5","531"
"consented_grp[1]/hhm_rpt[3]/ed16_grp[1]/ed16a","6","534"
"consented_grp[1]/hhm_rpt[3]/ed16_grp[1]/ed16b","4","536"
"consented_grp[1]/hhm_rpt[3]/hhm_add_grp[1]/hhm_add_note","10","537"
"consented_grp[1]/hhm_rpt[3]/hhm_add_grp[1]/hhm_add_yn","10","537"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","23","540"
