"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","2"
"enum_id","7","3"
"enum_confirm_grp[1]/enum_details","2","10"
"enum_confirm_grp[1]/enum_confirm","2","10"
"community_id","6","12"
"comm_confirm_grp[1]/comm_details","1","18"
"comm_confirm_grp[1]/comm_confirm","1","18"
"u5_iden_grp[1]/u5_id","69","19"
"u5_iden_grp[1]/u5_fullname","69","19"
"u5_iden_grp[1]/u5_age","69","19"
"u5_iden_grp[1]/u5_ct_id","69","19"
"u5_iden_grp[1]/u5_ct_fullname","69","19"
"uf9","2","88"
"consent_grp[1]/consent","10","91"
"consented_grp[1]/ub0","1","100"
"consented_grp[1]/ub1_age_sel","5","102"
"consented_grp[1]/ub1_dob_dmy","35","106"
"consented_grp[1]/ub5","3","141"
"consented_grp[1]/ub9","3","144"
"consented_grp[1]/br1","38","147"
"consented_grp[1]/br2","3","185"
"consented_grp[1]/br3","6","188"
"consented_grp[1]/ec1","2","194"
"consented_grp[1]/ec2_grp[1]/generated_note_name_108","44","196"
"consented_grp[1]/ec2_grp[1]/ec2_label","44","196"
"consented_grp[1]/ec2_grp[1]/ec2a","44","196"
"consented_grp[1]/ec2_grp[1]/ec2b","44","196"
"consented_grp[1]/ec2_grp[1]/ec2c","44","196"
"consented_grp[1]/ec3_grp[1]/generated_note_name_115","8","240"
"consented_grp[1]/ec3_grp[1]/ec3a","8","240"
"consented_grp[1]/ec3_grp[1]/ec3b","8","240"
"consented_grp[1]/ec7","4","248"
"consented_grp[1]/ec8","5","252"
"consented_grp[1]/ec9","3","257"
"consented_grp[1]/ec10","11","259"
"consented_grp[1]/ec11","17","270"
"consented_grp[1]/ec12","3","287"
"consented_grp[1]/ec13","5","290"
"consented_grp[1]/ec14","8","295"
"consented_grp[1]/ec15","6","303"
"consented_grp[1]/ucd2_grp[1]/ucd2_note","96","309"
"consented_grp[1]/ucd2_grp[1]/ucb2_label","96","309"
"consented_grp[1]/ucd2_grp[1]/ucd2a","96","309"
"consented_grp[1]/ucd2_grp[1]/ucb2b","96","309"
"consented_grp[1]/ucd2_grp[1]/ucb2c","96","309"
"consented_grp[1]/ucd2_grp[1]/ucb2d","96","309"
"consented_grp[1]/ucd2_grp[1]/ucb2e","96","309"
"consented_grp[1]/ucd2_grp[1]/ucb2f","96","309"
"consented_grp[1]/ucd2_grp[1]/ucb2g","96","309"
"consented_grp[1]/ucd2_grp[1]/ucb2h","96","309"
"consented_grp[1]/ucd2_grp[1]/ucb2i","96","309"
"consented_grp[1]/ucd2_grp[1]/ucb2j","96","309"
"consented_grp[1]/ucd3","8","406"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf2_note","16","413"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf2_label","16","413"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf2","16","413"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf3","16","413"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf4","16","413"
"consented_grp[1]/ucf_grp[1]/ucf5","2","429"
"consented_grp[1]/ucf_grp[1]/ucf7b","4","431"
"consented_grp[1]/ucf_grp[1]/ucf9b","3","436"
"consented_grp[1]/ucf_grp[1]/ucf13","10","438"
"consented_grp[1]/ucf_grp[1]/ucf14","5","449"
"consented_grp[1]/ucf_grp[1]/ucf15","11","454"
"consented_grp[1]/ucf_grp[1]/ucf16","6","465"
"consented_grp[1]/ucf_grp[1]/ucf17","9","471"
"consented_grp[1]/ucf_grp[1]/ucf18","5","480"
"consented_grp[1]/ucf_grp[1]/ucf19","19","485"
"consented_grp[1]/bd_grp[1]/bd2","12","493"
"consented_grp[1]/bd_grp[1]/bd3","5","516"
"consented_grp[1]/bd_grp[1]/bd4","12","521"
"consented_grp[1]/bd_grp[1]/bd5","7","533"
"consented_grp[1]/bd_grp[1]/bd6","9","540"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7","12","549"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7_label","12","549"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7a","12","549"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7b","12","549"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7c","12","549"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7d","12","549"
"consented_grp[1]/bd_grp[1]/bd7e_grp[1]/bd7e_label","2","561"
"consented_grp[1]/bd_grp[1]/bd7e_grp[1]/bd7e","2","561"
"consented_grp[1]/bd_grp[1]/bd7x_grp[1]/bd7x_label","16","563"
"consented_grp[1]/bd_grp[1]/bd7x_grp[1]/bd7x","16","563"
"consented_grp[1]/bd_grp[1]/bd8","3","579"
"consented_grp[1]/bd_grp[1]/bd8_grp[1]/bd8_note","1","582"
"consented_grp[1]/bd_grp[1]/bd8_grp[1]/bd8a1","3","583"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8b_note","1","586"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8b1","4","587"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8c1","5","591"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8c2","3","596"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8d1","7","600"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8e1","8","607"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8e2","2","615"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8f1","6","617"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8f2","2","623"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8g1","4","625"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8h1","6","629"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8i1","2","635"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8j1","4","637"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8k1","5","641"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8l1","10","646"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8l2","2","657"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8m1","6","659"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8n1","3","665"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8x1","2","668"
"consented_grp[1]/im2","3","670"
"consented_grp[1]/im5","2","673"
"consented_grp[1]/im6_note","1","675"
"consented_grp[1]/im6_rpt[1]/im6","110","676"
"consented_grp[1]/im6_rpt[1]/im6a","20","787"
"consented_grp[1]/im6_rpt[2]/im6","2","807"
"consented_grp[1]/im6_rpt[3]/im6","5","809"
"consented_grp[1]/im6_rpt[3]/im6a","13","813"
"consented_grp[1]/im6_rpt[4]/im6","2","826"
"consented_grp[1]/im6_rpt[4]/im6a","9","828"
"consented_grp[1]/im6_rpt[5]/im6","2","837"
"consented_grp[1]/im6_rpt[5]/im6a","8","839"
"consented_grp[1]/im6_rpt[6]/im6","2","846"
"consented_grp[1]/im6_rpt[6]/im6a","9","848"
"consented_grp[1]/im6_rpt[7]/im6","3","858"
"consented_grp[1]/im6_rpt[7]/im6a","10","860"
"consented_grp[1]/im6_rpt[8]/im6","4","871"
"consented_grp[1]/im6_rpt[8]/im6a","7","874"
"consented_grp[1]/im6_rpt[9]/im6","3","881"
"consented_grp[1]/im6_rpt[9]/im6a","8","884"
"consented_grp[1]/im6_rpt[10]/im6","5","893"
"consented_grp[1]/im6_rpt[10]/im6a","22","898"
"consented_grp[1]/im6_rpt[11]/im6","4","920"
"consented_grp[1]/im6_rpt[11]/im6a","37","924"
"consented_grp[1]/im6_rpt[12]/im6","15","961"
"consented_grp[1]/im6_rpt[12]/im6a","9","976"
"consented_grp[1]/im6_rpt[13]/im6","3","985"
"consented_grp[1]/im6_rpt[13]/im6a","9","988"
"consented_grp[1]/im6_rpt[14]/im6","3","997"
"consented_grp[1]/im6_rpt[14]/im6a","17","1000"
"consented_grp[1]/im6_rpt[15]/im6","2","1018"
"consented_grp[1]/im6_rpt[15]/im6a","7","1020"
"consented_grp[1]/ca1","39","1027"
"consented_grp[1]/ca14","5","1066"
"consented_grp[1]/ca15","7","1071"
"consented_grp[1]/ca16","6","1079"
"consented_grp[1]/ca17","16","1085"
"consented_grp[1]/ca20","12","1100"
"consented_grp[1]/ca22","4","1112"
"consented_grp[1]/ca31","7","1117"
"consented_grp[1]/gps_backup","554","1124"
"comments","17","1678"
