"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","2"
"enum_id","5","2"
"enum_confirm_grp[1]/enum_details","1","7"
"enum_confirm_grp[1]/enum_confirm","1","7"
"community_id","6","8"
"comm_confirm_grp[1]/comm_details","1","14"
"comm_confirm_grp[1]/comm_confirm","1","14"
"iw_iden_grp[1]/iw_id","29","15"
"iw_iden_grp[1]/iw_fullname","29","15"
"iw_iden_grp[1]/iw_age","29","15"
"wm8","2","44"
"wm9_grp[1]/wm9b","3","46"
"wm9_grp[1]/consent","3","46"
"consented_grp[1]/wb3_age_sel","5","49"
"consented_grp[1]/wb3_dob_y","8","54"
"consented_grp[1]/wb5","1","62"
"consented_grp[1]/wb14_grp[1]/wb14_note","3","63"
"consented_grp[1]/wb14_grp[1]/wb14","3","63"
"consented_grp[1]/wb15","12","66"
"consented_grp[1]/wb16_grp[1]/wb16a","10","78"
"consented_grp[1]/wb16_grp[1]/wb16_note","10","78"
"consented_grp[1]/wb16_grp[1]/wb16b","10","78"
"consented_grp[1]/wb17a","6","88"
"consented_grp[1]/wb17b","2","94"
"consented_grp[1]/wb18","3","96"
"consented_grp[1]/mt1","2","100"
"consented_grp[1]/mt2","5","102"
"consented_grp[1]/mt3","2","106"
"consented_grp[1]/mt4","2","108"
"consented_grp[1]/mt9","2","110"
"consented_grp[1]/mt11","3","112"
"consented_grp[1]/mt12","6","115"
"consented_grp[1]/cm1","2","120"
"consented_grp[1]/cm2","4","122"
"consented_grp[1]/cm2_grp[1]/cm3","23","126"
"consented_grp[1]/cm2_grp[1]/cm4","23","126"
"consented_grp[1]/cm5","2","148"
"consented_grp[1]/cm5_grp[1]/cm6","12","150"
"consented_grp[1]/cm5_grp[1]/cm7","12","150"
"consented_grp[1]/cm8","2","162"
"consented_grp[1]/cm8_grp[1]/cm9","3","164"
"consented_grp[1]/cm8_grp[1]/cm10","3","164"
"consented_grp[1]/cm12","3","167"
"consented_grp[1]/bh0","1","170"
"consented_grp[1]/bh_rpt[1]/bh1","7","171"
"consented_grp[1]/bh_rpt[1]/bh2","2","178"
"consented_grp[1]/bh_rpt[1]/bh3","4","180"
"consented_grp[1]/bh_rpt[1]/bh4_age_sel","2","184"
"consented_grp[1]/bh_rpt[1]/bh4_dob_my","13","185"
"consented_grp[1]/bh_rpt[1]/bh5","2","199"
"consented_grp[1]/bh_rpt[1]/bh6","3","200"
"consented_grp[1]/bh_rpt[1]/bh7","2","204"
"consented_grp[1]/bh_rpt[1]/bh10","1","206"
"consented_grp[1]/bh_rpt[2]/bh1","7","207"
"consented_grp[1]/bh_rpt[2]/bh2","4","214"
"consented_grp[1]/bh_rpt[2]/bh3","2","218"
"consented_grp[1]/bh_rpt[2]/bh4_age_sel","2","220"
"consented_grp[1]/bh_rpt[2]/bh4_dob_my","44","222"
"consented_grp[1]/bh_rpt[2]/bh5","2","265"
"consented_grp[1]/bh_rpt[2]/bh6","2","267"
"consented_grp[1]/bh_rpt[2]/bh7","2","269"
"consented_grp[1]/bh_rpt[2]/bh10","2","271"
"consented_grp[1]/bh_rpt[3]/bh1","7","274"
"consented_grp[1]/bh_rpt[3]/bh2","2","280"
"consented_grp[1]/bh_rpt[3]/bh3","2","282"
"consented_grp[1]/bh_rpt[3]/bh4_age_sel","2","283"
"consented_grp[1]/bh_rpt[3]/bh4_dob_my","30","285"
"consented_grp[1]/bh_rpt[3]/bh5","2","315"
"consented_grp[1]/bh_rpt[3]/bh6","2","317"
"consented_grp[1]/bh_rpt[3]/bh7","3","319"
"consented_grp[1]/bh_rpt[3]/bh10","1","322"
"consented_grp[1]/bh_rpt[4]/bh1","7","323"
"consented_grp[1]/bh_rpt[4]/bh2","3","331"
"consented_grp[1]/bh_rpt[4]/bh3","2","333"
"consented_grp[1]/bh_rpt[4]/bh4_age_sel","2","335"
"consented_grp[1]/bh_rpt[4]/bh4_dob_dmy","15","338"
"consented_grp[1]/bh_rpt[4]/bh5","2","349"
"consented_grp[1]/bh_rpt[4]/bh9_grp[1]/bh9_note","11","351"
"consented_grp[1]/bh_rpt[4]/bh9_grp[1]/bh9_a","11","351"
"consented_grp[1]/bh_rpt[4]/bh9_grp[1]/bh9_b","11","351"
"consented_grp[1]/bh_rpt[4]/bh10","4","357"
"consented_grp[1]/bh_rpt[5]/bh1","13","359"
"consented_grp[1]/bh_rpt[5]/bh2","2","379"
"consented_grp[1]/bh_rpt[5]/bh3","2","381"
"consented_grp[1]/bh_rpt[5]/bh4_age_sel","2","382"
"consented_grp[1]/bh_rpt[5]/bh4_dob_dmy","8","384"
"consented_grp[1]/bh_rpt[5]/bh5","6","392"
"consented_grp[1]/bh_rpt[5]/bh6","5","402"
"consented_grp[1]/bh_rpt[5]/bh7","2","407"
"consented_grp[1]/bh_rpt[5]/bh8","5","409"
"consented_grp[1]/bh_rpt[5]/bh10","29","414"
"consented_grp[1]/db2","24","443"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn2","4","467"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn3","12","471"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn4_grp[1]/mn4_a","15","483"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn4_grp[1]/mn4_b","15","483"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn5","29","498"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn6_grp[1]/mn6_note","10","528"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn6_grp[1]/mn6_label","10","528"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn6_grp[1]/mn6_a","10","528"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn6_grp[1]/mn6_b","10","528"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn6_grp[1]/mn6_c","10","528"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn7","4","537"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn8","3","541"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn9","9","545"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn16","3","553"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn17","2","556"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn18","2","558"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn19","38","560"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn20","5","596"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn21","3","603"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn23","5","606"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn24","6","611"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn25","6","617"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn26","9","623"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn30","11","632"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn32","26","642"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn31","2","646"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn33","2","671"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn34_grp[1]/mn34_a","3","673"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn34_grp[1]/mn34_b","3","673"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn35","5","676"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn36","9","681"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn36_grp[1]/mn37","4","690"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn36_grp[1]/mn37_units","4","690"
"consented_grp[1]/mn_rpt[1]/mn_grp[1]/mn38","7","694"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn_note","9","700"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn3_grp[1]/pn3","11","709"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn3_grp[1]/pn3_units","11","709"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn4_grp[1]/pn4_note","20","720"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn4_grp[1]/pn4","20","720"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn5_grp[1]/pm5_note","3","740"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn5_grp[1]/pn5","3","740"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn6_grp[1]/pn6_note","11","743"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn6_grp[1]/pn6","11","743"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn17","1","754"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn25_grp[1]/pn25_note","15","756"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn25_grp[1]/pn25_lab","15","756"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn25_grp[1]/pn25a","15","756"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn25_grp[1]/pn25b","15","756"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn25_grp[1]/pn25c","15","756"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn27","8","770"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn29a","11","776"
"consented_grp[1]/pn_rpt[1]/pn_grp[1]/pn30","12","790"
"consented_grp[1]/cp1_grp[1]/cp1_note","4","802"
"consented_grp[1]/cp1_grp[1]/cp1","4","802"
"consented_grp[1]/cp2_grp[1]/cp2_note","4","806"
"consented_grp[1]/cp2_grp[1]/cp2","4","806"
"consented_grp[1]/cp4","9","810"
"consented_grp[1]/un7","18","819"
"consented_grp[1]/ma1","4","837"
"consented_grp[1]/ma2","2","841"
"consented_grp[1]/ma3","4","843"
"consented_grp[1]/ma7","32","848"
"consented_grp[1]/ma8a","16","880"
"consented_grp[1]/ma11a","27","895"
"consented_grp[1]/af_grp[1]/af2","5","922"
"consented_grp[1]/af_grp[1]/af3","1","927"
"consented_grp[1]/af_grp[1]/af4","0","928"
"consented_grp[1]/af_grp[1]/af6b","2","929"
"consented_grp[1]/af_grp[1]/af8b","1","931"
"consented_grp[1]/af_grp[1]/af9","2","932"
"consented_grp[1]/af_grp[1]/af10","5","933"
"consented_grp[1]/af_grp[1]/af11","6","938"
"consented_grp[1]/af_grp[1]/af12","6","944"
"consented_grp[1]/ls1_grp[1]/ls_note","56","950"
"consented_grp[1]/ls1_grp[1]/ls1","56","950"
"consented_grp[1]/ls2_grp[1]/ls2_note","44","1005"
"consented_grp[1]/ls2_grp[1]/ls2","44","1005"
"consented_grp[1]/ls3","10","1049"
"consented_grp[1]/ls4","10","1059"
"consented_grp[1]/survey_language","2","1069"
"consented_grp[1]/survey_accomp","2","1071"
"consented_grp[1]/comment","3","1073"
