"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","4","2"
"enum_id","8","6"
"enum_confirm_grp[1]/enum_details","1","14"
"enum_confirm_grp[1]/enum_confirm","1","14"
"community_id","9","15"
"comm_confirm_grp[1]/comm_details","1","23"
"comm_confirm_grp[1]/comm_confirm","1","23"
"hhid_grp[1]/hhid_instruction","37","24"
"hhid_grp[1]/hhid_struct_num","37","24"
"hhid_grp[1]/hhid_hh_num","37","24"
"hhid_confirm_grp[1]/hhid_details","1","61"
"hhid_confirm_grp[1]/hhid_confirm","1","61"
"consent_grp[1]/consent_instr","178","62"
"consent_grp[1]/consent","178","62"
"consented_grp[1]/hh_note","2","240"
"consented_grp[1]/hhm_cnt","2","242"
"consented_grp[1]/rooster_note","2","244"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","24","246"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","24","246"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","24","246"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl3","2","270"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl4","2","272"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl5_age_sel","3","274"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl5_dob_y","15","277"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl7","8","292"
"consented_grp[1]/hhm_rpt[1]/ed4","2","300"
"consented_grp[1]/hhm_rpt[1]/ed5_grp[1]/ed5a","2","302"
"consented_grp[1]/hhm_rpt[1]/ed5_grp[1]/ed5a_a","2","304"
"consented_grp[1]/hhm_rpt[1]/ed5_grp[1]/ed5b","2","306"
"consented_grp[1]/hhm_rpt[1]/ed5_grp[1]/ed6","2","308"
"consented_grp[1]/hhm_rpt[1]/hhm_add_grp[1]/hhm_add_note","6","310"
"consented_grp[1]/hhm_rpt[1]/hhm_add_grp[1]/hhm_add_yn","6","310"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","16","316"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","16","316"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","16","316"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl3","4","332"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl4","2","336"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl5_age_sel","3","338"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl5_dob_y","17","341"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl7","4","357"
"consented_grp[1]/hhm_rpt[2]/ed4","3","361"
"consented_grp[1]/hhm_rpt[2]/hhm_add_grp[1]/hhm_add_note","6","364"
"consented_grp[1]/hhm_rpt[2]/hhm_add_grp[1]/hhm_add_yn","6","364"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","19","370"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","19","370"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","19","370"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl3","8","388"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl4","3","393"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl5_age_sel","2","396"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl5_dob_dmy","14","398"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl7","25","412"
"consented_grp[1]/hhm_rpt[3]/ed4","6","437"
"consented_grp[1]/hhm_rpt[3]/ed9","1","442"
"consented_grp[1]/hhm_rpt[3]/ed15","1","443"
"consented_grp[1]/hhm_rpt[3]/hhm_add_grp[1]/hhm_add_note","14","444"
"consented_grp[1]/hhm_rpt[3]/hhm_add_grp[1]/hhm_add_yn","14","444"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","24","456"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","24","456"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","24","456"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/hl3","10","482"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/hl4","2","498"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/hl5_age_sel","2","499"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/hl5_dob_dmy","10","501"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/hl7","4","511"
"consented_grp[1]/hhm_rpt[4]/hhm_add_grp[1]/hhm_add_note","6","515"
"consented_grp[1]/hhm_rpt[4]/hhm_add_grp[1]/hhm_add_yn","6","515"
"consented_grp[1]/hhm_ch_intro","1","521"
"consented_grp[1]/hhm_ch_rpt[1]/h12_grp[1]/hl12","3","522"
"consented_grp[1]/hhm_ch_rpt[1]/h12_grp[1]/hl13a","2","525"
"consented_grp[1]/hhm_ch_rpt[1]/h12_grp[1]/hl13b","2","527"
"consented_grp[1]/hhm_ch_rpt[1]/h16_grp[1]/hl16","28","529"
"consented_grp[1]/hhm_ch_rpt[1]/h16_grp[1]/hl17a","2","557"
