"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","2"
"enum_id","13","3"
"enum_confirm_grp[1]/enum_details","4","16"
"enum_confirm_grp[1]/enum_confirm","4","16"
"community_id","124","17"
"comm_confirm_grp[1]/comm_details","5","139"
"comm_confirm_grp[1]/comm_confirm","5","139"
"u5_iden_grp[1]/u5_id","1032","140"
"u5_iden_grp[1]/u5_fullname","1032","140"
"u5_iden_grp[1]/u5_age","1032","140"
"u5_iden_grp[1]/u5_ct_id","1032","140"
"u5_iden_grp[1]/u5_ct_fullname","1032","140"
"gm1_a","103","1157"
"gm1_b","8","1246"
"gmobs1","15","1250"
"gmobs2","12","1255"
"an8","65","1276"
"an9","20","1338"
"an11_grp[1]/an11_a","49","1373"
"an11_grp[1]/an11","49","1373"
"an12","18","1421"
"an13","29","1440"
"an15","12","1462"
