"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","2"
"enum_id","6","3"
"enum_confirm_grp[1]/enum_details","1","9"
"enum_confirm_grp[1]/enum_confirm","1","9"
"community_id","76","10"
"comm_confirm_grp[1]/comm_details","1","86"
"comm_confirm_grp[1]/comm_confirm","1","86"
"hhid_grp[1]/hhid_instruction","11","87"
"hhid_grp[1]/hhid_struct_num","11","87"
"hhid_grp[1]/hhid_hh_num","11","87"
"hhid_confirm_grp[1]/hhid_details","1","97"
"hhid_confirm_grp[1]/hhid_confirm","1","97"
"consent_grp[1]/consent_instr","152","99"
"consent_grp[1]/consent","152","99"
"consented_grp[1]/hh_note","2","251"
"consented_grp[1]/hhm_cnt","4","252"
"consented_grp[1]/rooster_note","2","256"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","17","258"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","17","258"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","17","258"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl3","2","275"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl4","2","277"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl5_age_sel","2","278"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl5_dob_dmy","90","280"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl7","2","370"
"consented_grp[1]/hhm_rpt[1]/ed4","2","371"
"consented_grp[1]/hhm_rpt[1]/ed5_grp[1]/ed5a","2","373"
"consented_grp[1]/hhm_rpt[1]/ed5_grp[1]/ed5a_a","2","375"
"consented_grp[1]/hhm_rpt[1]/ed5_grp[1]/ed5b","2","377"
"consented_grp[1]/hhm_rpt[1]/ed5_grp[1]/ed6","2","378"
"consented_grp[1]/hhm_rpt[1]/hhm_add_grp[1]/hhm_add_note","8","380"
"consented_grp[1]/hhm_rpt[1]/hhm_add_grp[1]/hhm_add_yn","8","380"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","13","388"
