"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","4"
"enum_id","18","6"
"enum_confirm_grp[1]/enum_details","1","23"
"enum_confirm_grp[1]/enum_confirm","1","23"
"community_id","7","25"
"comm_confirm_grp[1]/comm_details","1","31"
"comm_confirm_grp[1]/comm_confirm","1","31"
"u5_iden_grp[1]/u5_id","41","33"
"u5_iden_grp[1]/u5_fullname","41","33"
"u5_iden_grp[1]/u5_age","41","33"
"u5_iden_grp[1]/u5_ct_id","41","33"
"u5_iden_grp[1]/u5_ct_fullname","41","33"
"gm1_a","3","74"
"gm1_b","9","76"
"gm2_rpt[1]/gm2_grp[1]/gm3","6","83"
"gm2_rpt[1]/gm2_grp[1]/gm4","5","87"
"gm2_rpt[1]/gm2_grp[1]/gm5","5","93"
"gm2_rpt[1]/gm2_grp[1]/gm6","18","97"
"gm2_rpt[1]/gm2_grp[1]/gm7","14","114"
"gmobs1","6","128"
"gmobs2","4","132"
"an8","13","135"
"an9","5","138"
"an11_grp[1]/an11_b","17","142"
"an11_grp[1]/an11","17","142"
"an12","5","147"
"an13","5","150"
"an15","2","151"
