"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","3"
"enum_id","16","4"
"enum_confirm_grp[1]/enum_details","1","20"
"enum_confirm_grp[1]/enum_confirm","1","20"
"community_id","8","22"
"comm_confirm_grp[1]/comm_details","3","30"
"comm_confirm_grp[1]/comm_confirm","3","30"
"u5_iden_grp[1]/u5_id","374","32"
"u5_iden_grp[1]/u5_fullname","374","32"
"u5_iden_grp[1]/u5_age","374","32"
"u5_iden_grp[1]/u5_ct_id","374","32"
"u5_iden_grp[1]/u5_ct_fullname","374","32"
"gm1_a","49","117"
"gmobs1","15","136"
"gmobs2","13","142"
"an8","136","144"
"gm1_b","10","160"
"an9","22","632"
"an11_grp[1]/an11_b","17","654"
"an11_grp[1]/an11","17","654"
"an12","6","667"
"an13","16","676"
"an15","4","692"
