"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","1"
"enum_id","8","3"
"enum_confirm_grp[1]/enum_details","1","10"
"enum_confirm_grp[1]/enum_confirm","1","10"
"community_id","8","12"
"comm_confirm_grp[1]/comm_details","2","20"
"comm_confirm_grp[1]/comm_confirm","2","20"
"u5_iden_grp[1]/u5_id","56","22"
"u5_iden_grp[1]/u5_fullname","56","22"
"u5_iden_grp[1]/u5_age","56","22"
"u5_iden_grp[1]/u5_ct_id","56","22"
"u5_iden_grp[1]/u5_ct_fullname","56","22"
"gm1_a","38","71"
"gm1_b","4","107"
"gm2_rpt[1]/gm2_grp[1]/gm3","6","110"
"gm2_rpt[1]/gm2_grp[1]/gm4","4","115"
"gm2_rpt[1]/gm2_grp[1]/gm5","22","118"
"gm2_rpt[1]/gm2_grp[1]/gm6","9","137"
"gm2_rpt[1]/gm2_grp[1]/gm7","7","141"
"gmobs1","9","142"
"gmobs2","6","157"
"an8","17","162"
"an9","4","163"
"an11_grp[1]/an11_b","6","165"
"an11_grp[1]/an11","6","165"
"an12","3","166"
"an13","2","167"
"an15","2","168"
