"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","2","2"
"enum_id","7","4"
"enum_confirm_grp[1]/enum_details","1","10"
"enum_confirm_grp[1]/enum_confirm","1","10"
"community_id","6","11"
"comm_confirm_grp[1]/comm_details","1","17"
"comm_confirm_grp[1]/comm_confirm","1","17"
"hhid","17","18"
"hh_confirm_grp[1]/hh_details","4","36"
"hh_confirm_grp[1]/hh_confirm","4","36"
"consent_grp[1]/consent_instr","40","40"
"consent_grp[1]/consent","40","40"
"consented_grp[1]/hh_note","117","80"
"consented_grp[1]/hhm_cnt","2","197"
"consented_grp[1]/rooster_note","1","199"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","29","200"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","29","200"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","29","200"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl3","2","229"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl4","2","231"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl5_age_sel","2","233"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl6_age_est","2","235"
"consented_grp[1]/hhm_rpt[1]/ed4","3","237"
"consented_grp[1]/hhm_rpt[1]/hhm_add_grp[1]/hhm_add_note","5","240"
"consented_grp[1]/hhm_rpt[1]/hhm_add_grp[1]/hhm_add_yn","5","240"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","22","246"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","22","246"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","22","246"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl3","5","267"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl4","6","272"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl5_age_sel","2","279"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl6_age_est","2","281"
"consented_grp[1]/hhm_rpt[2]/ed4","2","283"
"consented_grp[1]/hhm_rpt[2]/hhm_add_grp[1]/hhm_add_note","2","285"
"consented_grp[1]/hhm_rpt[2]/hhm_add_grp[1]/hhm_add_yn","2","285"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","13","287"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","13","287"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","13","287"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl3","4","299"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl4","5","301"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl5_age_sel","29","307"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl5_dob_dmy","20","309"
"consented_grp[1]/hhm_rpt[3]/ed4","10","321"
"consented_grp[1]/hhm_rpt[3]/ed5_grp[1]/ed5a","29","324"
"consented_grp[1]/hhm_rpt[3]/ed5_grp[1]/ed5a_a","15","331"
"consented_grp[1]/hhm_rpt[3]/ed5_grp[1]/ed5b","11","335"
"consented_grp[1]/hhm_rpt[3]/ed5_grp[1]/ed6","15","341"
"consented_grp[1]/hhm_rpt[3]/ed9","9","369"
"consented_grp[1]/hhm_rpt[3]/ed9_grp[1]/ed10","8","400"
"consented_grp[1]/hhm_rpt[3]/ed15","6","405"
