"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","1"
"enum_id","8","2"
"enum_confirm_grp[1]/enum_details","1","10"
"enum_confirm_grp[1]/enum_confirm","1","10"
"community_id","4","11"
"comm_confirm_grp[1]/comm_details","1","15"
"comm_confirm_grp[1]/comm_confirm","1","15"
"u5_iden_grp[1]/u5_id","54","17"
"u5_iden_grp[1]/u5_fullname","54","17"
"u5_iden_grp[1]/u5_age","54","17"
"u5_iden_grp[1]/u5_ct_id","54","17"
"u5_iden_grp[1]/u5_ct_fullname","54","17"
"uf9","2","70"
"consent_grp[1]/consent","1","73"
"consented_grp[1]/ub0","1","74"
"consented_grp[1]/ub1_age_sel","3","75"
"consented_grp[1]/ub1_dob_dmy","13","78"
"consented_grp[1]/ub5","3","91"
"consented_grp[1]/ub9","16","94"
"consented_grp[1]/br1","2","111"
"consented_grp[1]/br2","2","113"
"consented_grp[1]/br3","9","114"
"consented_grp[1]/ec1","2","123"
"consented_grp[1]/ec2_grp[1]/generated_note_name_108","20","125"
"consented_grp[1]/ec2_grp[1]/ec2_label","20","125"
"consented_grp[1]/ec2_grp[1]/ec2a","20","125"
"consented_grp[1]/ec2_grp[1]/ec2b","20","125"
"consented_grp[1]/ec2_grp[1]/ec2c","20","125"
"consented_grp[1]/ec3_grp[1]/generated_note_name_115","19","145"
"consented_grp[1]/ec3_grp[1]/ec3a","19","145"
"consented_grp[1]/ec3_grp[1]/ec3b","19","145"
"consented_grp[1]/ec7","3","164"
"consented_grp[1]/ec8","1","167"
"consented_grp[1]/ec9","5","169"
"consented_grp[1]/ec10","8","173"
"consented_grp[1]/ec11","7","181"
"consented_grp[1]/ec12","1","188"
"consented_grp[1]/ec13","6","190"
"consented_grp[1]/ec14","5","196"
"consented_grp[1]/ec15","2","201"
"consented_grp[1]/bd_grp[1]/bd2","4","203"
"consented_grp[1]/bd_grp[1]/bd3","2","207"
"consented_grp[1]/bd_grp[1]/bd4","9","208"
"consented_grp[1]/bd_grp[1]/bd5","5","218"
"consented_grp[1]/bd_grp[1]/bd6","11","223"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7","20","233"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7_label","20","233"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7a","20","233"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7b","20","233"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7c","20","233"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7d","20","233"
"consented_grp[1]/bd_grp[1]/bd7d1","15","253"
"consented_grp[1]/bd_grp[1]/bd7e_grp[1]/bd7e_label","7","268"
"consented_grp[1]/bd_grp[1]/bd7e_grp[1]/bd7e","7","268"
"consented_grp[1]/bd_grp[1]/bd7x_grp[1]/bd7x_label","6","275"
"consented_grp[1]/bd_grp[1]/bd7x_grp[1]/bd7x","6","275"
"consented_grp[1]/bd_grp[1]/bd8","2","280"
"consented_grp[1]/bd_grp[1]/bd8_grp[1]/bd8_note","1","282"
"consented_grp[1]/bd_grp[1]/bd8_grp[1]/bd8a1","6","283"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8b_note","1","289"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8b1","9","290"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8c1","14","299"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8d1","5","312"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8e1","7","317"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8f1","4","324"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8g1","4","327"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8h1","17","332"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8i1","6","348"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8j1","22","354"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8k1","3","376"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8l1","3","379"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8m1","4","382"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8n1","5","386"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8x1","6","391"
"consented_grp[1]/im2","2","397"
"consented_grp[1]/im5","1","399"
"consented_grp[1]/im6_note","2","400"
"consented_grp[1]/im6_rpt[1]/im6","15","402"
"consented_grp[1]/im6_rpt[1]/im6a","12","416"
"consented_grp[1]/im6_rpt[2]/im6","2","427"
"consented_grp[1]/im6_rpt[2]/im6a","12","428"
"consented_grp[1]/im6_rpt[3]/im6","3","437"
"consented_grp[1]/im6_rpt[3]/im6a","13","439"
"consented_grp[1]/im6_rpt[4]/im6","3","447"
"consented_grp[1]/im6_rpt[4]/im6a","11","448"
"consented_grp[1]/im6_rpt[5]/im6","2","462"
"consented_grp[1]/im6_rpt[5]/im6a","7","463"
"consented_grp[1]/im6_rpt[6]/im6","2","468"
"consented_grp[1]/im6_rpt[6]/im6a","11","470"
"consented_grp[1]/im6_rpt[7]/im6","3","475"
"consented_grp[1]/im6_rpt[7]/im6a","14","476"
"consented_grp[1]/im6_rpt[8]/im6","5","487"
"consented_grp[1]/im6_rpt[8]/im6a","16","488"
"consented_grp[1]/im6_rpt[9]/im6","3","499"
"consented_grp[1]/im6_rpt[9]/im6a","9","501"
"consented_grp[1]/im6_rpt[10]/im6","3","506"
"consented_grp[1]/im6_rpt[10]/im6a","15","507"
"consented_grp[1]/im6_rpt[11]/im6","7","514"
"consented_grp[1]/im6_rpt[11]/im6a","23","520"
"consented_grp[1]/im6_rpt[12]/im6","7","535"
"consented_grp[1]/im6_rpt[12]/im6a","12","539"
"consented_grp[1]/im6_rpt[13]/im6","5","544"
"consented_grp[1]/im6_rpt[13]/im6a","16","546"
"consented_grp[1]/im6_rpt[14]/im6","6","551"
"consented_grp[1]/im6_rpt[14]/im6a","1","616"
"consented_grp[1]/im6_rpt[15]/im6","3","640"
"consented_grp[1]/ca1","8","644"
"consented_grp[1]/ca14","4","652"
"consented_grp[1]/ca16","4","656"
"consented_grp[1]/ca17","5","660"
"consented_grp[1]/ca31","29","666"
"consented_grp[1]/gps_backup","3","694"
"comments","4","698"
