"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","2","2"
"enum_id","6","4"
"enum_confirm_grp[1]/enum_details","1","10"
"enum_confirm_grp[1]/enum_confirm","1","10"
"community_id","49","11"
"comm_confirm_grp[1]/comm_details","1","60"
"comm_confirm_grp[1]/comm_confirm","1","60"
"hhid_grp[1]/hhid_instruction","5","61"
"hhid_grp[1]/hhid_struct_num","5","61"
"hhid_grp[1]/hhid_hh_num","5","61"
"hhid_confirm_grp[1]/hhid_details","1","66"
"hhid_confirm_grp[1]/hhid_confirm","1","66"
"consent_grp[1]/consent_instr","67","67"
"consent_grp[1]/consent","67","67"
"consented_grp[1]/hh_note","1","134"
"consented_grp[1]/hhm_cnt","3","135"
"consented_grp[1]/rooster_note","1","138"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","16","139"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","16","139"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","16","139"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl3","1","155"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl4","2","156"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl5_age_sel","2","158"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl5_dob_dmy","8","160"
"consented_grp[1]/hhm_rpt[1]/hhmemb_info[1]/hl7","1","167"
"consented_grp[1]/hhm_rpt[1]/ed4","2","168"
"consented_grp[1]/hhm_rpt[1]/ed5_grp[1]/ed5a","17","170"
"consented_grp[1]/hhm_rpt[1]/ed5_grp[1]/ed5a_a","9","177"
"consented_grp[1]/hhm_rpt[1]/ed5_grp[1]/ed5b","3","179"
"consented_grp[1]/hhm_rpt[1]/ed5_grp[1]/ed6","3","186"
"consented_grp[1]/hhm_rpt[1]/hhm_add_grp[1]/hhm_add_note","3","194"
"consented_grp[1]/hhm_rpt[1]/hhm_add_grp[1]/hhm_add_yn","3","194"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","9","205"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","9","205"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","9","205"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl3","1","214"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl4","2","215"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl5_age_sel","1","217"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl5_dob_dmy","9","218"
"consented_grp[1]/hhm_rpt[2]/hhmemb_info[1]/hl7","1","228"
"consented_grp[1]/hhm_rpt[2]/ed4","2","229"
"consented_grp[1]/hhm_rpt[2]/hhm_add_grp[1]/hhm_add_note","9","231"
"consented_grp[1]/hhm_rpt[2]/hhm_add_grp[1]/hhm_add_yn","9","231"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","10","240"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","10","240"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","10","240"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl3","1","250"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl4","1","251"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl5_age_sel","1","252"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl5_dob_dmy","11","254"
"consented_grp[1]/hhm_rpt[3]/hhmemb_info[1]/hl7","1","265"
"consented_grp[1]/hhm_rpt[3]/ed4","1","266"
"consented_grp[1]/hhm_rpt[3]/ed5_grp[1]/ed5a","2","267"
"consented_grp[1]/hhm_rpt[3]/ed5_grp[1]/ed5a_a","2","269"
"consented_grp[1]/hhm_rpt[3]/ed5_grp[1]/ed5b","2","271"
"consented_grp[1]/hhm_rpt[3]/ed5_grp[1]/ed6","2","272"
"consented_grp[1]/hhm_rpt[3]/ed9","1","274"
"consented_grp[1]/hhm_rpt[3]/ed9_grp[1]/ed10","2","275"
"consented_grp[1]/hhm_rpt[3]/ed9_grp[1]/ed11a","8","277"
"consented_grp[1]/hhm_rpt[3]/ed9_grp[1]/ed12","6","285"
"consented_grp[1]/hhm_rpt[3]/ed9_grp[1]/ed14","4","291"
"consented_grp[1]/hhm_rpt[3]/ed15","3","295"
"consented_grp[1]/hhm_rpt[3]/ed16_grp[1]/ed16a","1","297"
"consented_grp[1]/hhm_rpt[3]/ed16_grp[1]/ed16b","2","299"
"consented_grp[1]/hhm_rpt[3]/hhm_add_grp[1]/hhm_add_note","10","301"
"consented_grp[1]/hhm_rpt[3]/hhm_add_grp[1]/hhm_add_yn","10","301"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_fn","11","311"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_sn","11","311"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/fmemb_name_grp[1]/fmemb_popn","11","311"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/hl3","2","322"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/hl4","1","324"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/hl5_age_sel","1","325"
"consented_grp[1]/hhm_rpt[4]/hhmemb_info[1]/hl5_dob_dmy","8","326"
