"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","19","2"
"enum_id","5","20"
"enum_confirm_grp[1]/enum_details","1","26"
"enum_confirm_grp[1]/enum_confirm","1","26"
"community_id","15","27"
"comm_confirm_grp[1]/comm_details","1","41"
"comm_confirm_grp[1]/comm_confirm","1","41"
"iw_iden_grp[1]/iw_id","21","42"
"iw_iden_grp[1]/iw_fullname","21","42"
"iw_iden_grp[1]/iw_age","21","42"
"wm8","2","63"
"wm9_grp[1]/wm9b","1","65"
"wm9_grp[1]/consent","1","65"
"consented_grp[1]/wb3_age_sel","2","66"
"consented_grp[1]/wb3_dob_dmy","21","68"
"consented_grp[1]/wb5","3","89"
"consented_grp[1]/wb5_grp[1]/wb6","5","92"
"consented_grp[1]/wb5_grp[1]/wb6a","6","95"
"consented_grp[1]/wb5_grp[1]/wb6b","3","100"
"consented_grp[1]/wb5_grp[1]/wb7","5","102"
"consented_grp[1]/wb5_grp[1]/wb9","10","104"
"consented_grp[1]/wb5_grp[1]/wb10a","4","108"
"consented_grp[1]/wb5_grp[1]/wb10b","2","110"
"consented_grp[1]/wb5_grp[1]/wb11","4","111"
"consented_grp[1]/wb5_grp[1]/wb12a","1","113"
"consented_grp[1]/wb5_grp[1]/wb12b","2","115"
"consented_grp[1]/wb14_grp[1]/wb14_note","17","116"
"consented_grp[1]/wb14_grp[1]/wb14","17","116"
"consented_grp[1]/wb15","37","132"
"consented_grp[1]/wb16_grp[1]/wb16a","38","168"
"consented_grp[1]/wb16_grp[1]/wb16_note","38","168"
"consented_grp[1]/wb16_grp[1]/wb16b","38","168"
"consented_grp[1]/wb17a","3","205"
"consented_grp[1]/wb17b","5","206"
"consented_grp[1]/wb18","3","210"
"consented_grp[1]/mt1","2","212"
"consented_grp[1]/mt2","15","214"
"consented_grp[1]/mt3","18","229"
"consented_grp[1]/mt4","17","235"
"consented_grp[1]/mt9","4","237"
"consented_grp[1]/mt11","8","260"
"consented_grp[1]/mt12","21","268"
"consented_grp[1]/cm1","3","289"
"consented_grp[1]/cm2","2","292"
"consented_grp[1]/cm2_grp[1]/cm3","5","294"
"consented_grp[1]/cm2_grp[1]/cm4","5","294"
"consented_grp[1]/cm5","1","300"
"consented_grp[1]/cm8","1","301"
"consented_grp[1]/cm12","4","302"
"consented_grp[1]/bh0","1","306"
"consented_grp[1]/bh_rpt[1]/bh1","8","307"
"consented_grp[1]/bh_rpt[1]/bh2","1","315"
"consented_grp[1]/bh_rpt[1]/bh3","2","317"
"consented_grp[1]/bh_rpt[1]/bh4_age_sel","2","318"
"consented_grp[1]/bh_rpt[1]/bh4_dob_dmy","20","320"
"consented_grp[1]/bh_rpt[1]/bh5","2","340"
"consented_grp[1]/bh_rpt[1]/bh6","4","342"
"consented_grp[1]/bh_rpt[1]/bh7","2","346"
"consented_grp[1]/bh_rpt[1]/bh8","5","348"
"consented_grp[1]/bh_rpt[1]/bh10","5","352"
"consented_grp[1]/bh_rpt[2]/bh1","6","357"
"consented_grp[1]/bh_rpt[2]/bh2","2","363"
"consented_grp[1]/bh_rpt[2]/bh3","5","365"
"consented_grp[1]/bh_rpt[2]/bh4_age_sel","2","370"
"consented_grp[1]/bh_rpt[2]/bh4_dob_dmy","10","371"
"consented_grp[1]/bh_rpt[2]/bh5","4","381"
"consented_grp[1]/bh_rpt[2]/bh6","2","385"
