"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","2"
"enum_id","5","3"
"enum_confirm_grp[1]/enum_details","1","9"
"enum_confirm_grp[1]/enum_confirm","1","9"
"community_id","7","9"
"comm_confirm_grp[1]/comm_details","1","17"
"comm_confirm_grp[1]/comm_confirm","1","17"
"u5_iden_grp[1]/u5_id","54","17"
"u5_iden_grp[1]/u5_fullname","54","17"
"u5_iden_grp[1]/u5_age","54","17"
"u5_iden_grp[1]/u5_ct_id","54","17"
"u5_iden_grp[1]/u5_ct_fullname","54","17"
"uf9","2","72"
"consent_grp[1]/consent","4","74"
"consented_grp[1]/ub0","1","78"
"consented_grp[1]/ub1_age_sel","2","79"
"consented_grp[1]/ub1_dob_dmy","14","81"
"consented_grp[1]/ub5","3","95"
"consented_grp[1]/ub8b","2","97"
"consented_grp[1]/ub9","4","99"
"consented_grp[1]/br1","6","103"
"consented_grp[1]/br2","7","109"
"consented_grp[1]/ec1","6","116"
"consented_grp[1]/ec2_grp[1]/generated_note_name_108","20","122"
"consented_grp[1]/ec2_grp[1]/ec2_label","20","122"
"consented_grp[1]/ec2_grp[1]/ec2a","20","122"
"consented_grp[1]/ec2_grp[1]/ec2b","20","122"
"consented_grp[1]/ec2_grp[1]/ec2c","20","122"
"consented_grp[1]/ec3_grp[1]/generated_note_name_115","18","142"
"consented_grp[1]/ec3_grp[1]/ec3a","18","142"
"consented_grp[1]/ec3_grp[1]/ec3b","18","142"
"consented_grp[1]/ec5_grp[1]/ec5","174","160"
"consented_grp[1]/ec5_grp[1]/ec5_label","174","160"
"consented_grp[1]/ec5_grp[1]/ec5a","174","160"
"consented_grp[1]/ec5_grp[1]/ec5b","174","160"
"consented_grp[1]/ec5_grp[1]/ec5c","174","160"
"consented_grp[1]/ec5_grp[1]/ec5d","174","160"
"consented_grp[1]/ec5_grp[1]/ec5e","174","160"
"consented_grp[1]/ec5_grp[1]/ec5f","174","160"
"consented_grp[1]/ec6_grp[1]/ec6_note","7","333"
"consented_grp[1]/ec6_grp[1]/ec6","7","333"
"consented_grp[1]/ec7","1","340"
"consented_grp[1]/ec8","3","342"
"consented_grp[1]/ec9","4","345"
"consented_grp[1]/ec10","4","349"
"consented_grp[1]/ec11","7","353"
"consented_grp[1]/ec12","1","359"
"consented_grp[1]/ec13","5","360"
"consented_grp[1]/ec14","6","365"
"consented_grp[1]/ec15","11","371"
"consented_grp[1]/ucd2_grp[1]/ucd2_note","54","380"
"consented_grp[1]/ucd2_grp[1]/ucb2_label","54","380"
"consented_grp[1]/ucd2_grp[1]/ucd2a","54","380"
"consented_grp[1]/ucd2_grp[1]/ucb2b","54","380"
"consented_grp[1]/ucd2_grp[1]/ucb2c","54","380"
"consented_grp[1]/ucd2_grp[1]/ucb2d","54","380"
"consented_grp[1]/ucd2_grp[1]/ucb2e","54","380"
"consented_grp[1]/ucd2_grp[1]/ucb2f","54","380"
"consented_grp[1]/ucd2_grp[1]/ucb2g","54","380"
"consented_grp[1]/ucd2_grp[1]/ucb2h","54","380"
"consented_grp[1]/ucd2_grp[1]/ucb2i","54","380"
"consented_grp[1]/ucd2_grp[1]/ucb2j","54","380"
"consented_grp[1]/ucd3","10","436"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf2_note","13","445"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf2_label","13","445"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf2","13","445"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf3","13","445"
"consented_grp[1]/ucf_grp[1]/ucf2_grp[1]/ucf4","13","445"
"consented_grp[1]/ucf_grp[1]/ucf5","1","459"
"consented_grp[1]/ucf_grp[1]/ucf7b","4","460"
"consented_grp[1]/ucf_grp[1]/ucf9b","1","464"
"consented_grp[1]/ucf_grp[1]/ucf13","1","465"
"consented_grp[1]/ucf_grp[1]/ucf14","1","466"
"consented_grp[1]/ucf_grp[1]/ucf15","2","467"
"consented_grp[1]/ucf_grp[1]/ucf16","2","469"
"consented_grp[1]/ucf_grp[1]/ucf17","2","471"
"consented_grp[1]/ucf_grp[1]/ucf18","12","473"
"consented_grp[1]/ucf_grp[1]/ucf19","19","485"
"consented_grp[1]/im2","5","504"
"consented_grp[1]/im3","3","508"
"consented_grp[1]/ca1","8","512"
"consented_grp[1]/ca14","3","520"
"consented_grp[1]/ca16","5","523"
"consented_grp[1]/ca17","5","527"
"consented_grp[1]/gps_backup","87","533"
"comments","4","537"
