"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","2","7"
"enum_id","3","8"
"enum_confirm_grp[1]/enum_details","2","10"
"enum_confirm_grp[1]/enum_confirm","2","10"
"community_id","21","11"
"comm_confirm_grp[1]/comm_details","3","31"
"comm_confirm_grp[1]/comm_confirm","3","31"
"u5_iden_grp[1]/u5_id","43","32"
"u5_iden_grp[1]/u5_fullname","43","32"
"u5_iden_grp[1]/u5_age","43","32"
"u5_iden_grp[1]/u5_ct_id","43","32"
"u5_iden_grp[1]/u5_ct_fullname","43","32"
"uf9","2","69"
"consent_grp[1]/consent","2","70"
"consented_grp[1]/ub0","2","71"
"consented_grp[1]/ub1_age_sel","2","72"
"consented_grp[1]/ub1_dob_dmy","14","73"
"consented_grp[1]/ub5","4","82"
"consented_grp[1]/ub9","2","85"
"consented_grp[1]/br1","3","86"
"consented_grp[1]/ec1","4","88"
"consented_grp[1]/ec2_grp[1]/generated_note_name_108","31","90"
"consented_grp[1]/ec2_grp[1]/ec2_label","31","90"
"consented_grp[1]/ec2_grp[1]/ec2a","31","90"
"consented_grp[1]/ec2_grp[1]/ec2b","31","90"
"consented_grp[1]/ec2_grp[1]/ec2c","31","90"
"consented_grp[1]/ec3_grp[1]/generated_note_name_115","8","120"
"consented_grp[1]/ec3_grp[1]/ec3a","8","120"
"consented_grp[1]/ec3_grp[1]/ec3b","8","120"
"consented_grp[1]/ec7","2","126"
"consented_grp[1]/ec8","1","127"
"consented_grp[1]/ec9","2","129"
"consented_grp[1]/ec10","4","130"
"consented_grp[1]/ec11","5","133"
"consented_grp[1]/ec12","1","136"
"consented_grp[1]/ec13","2","137"
"consented_grp[1]/ec14","2","139"
"consented_grp[1]/ec15","4","141"
"consented_grp[1]/bd_grp[1]/bd2","1","145"
"consented_grp[1]/bd_grp[1]/bd3","2","147"
"consented_grp[1]/bd_grp[1]/bd4","11","148"
"consented_grp[1]/bd_grp[1]/bd5","5","160"
"consented_grp[1]/bd_grp[1]/bd6","3","164"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7","15","167"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7_label","15","167"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7a","15","167"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7b","15","167"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7c","15","167"
"consented_grp[1]/bd_grp[1]/bd7_grp[1]/bd7d","15","167"
"consented_grp[1]/bd_grp[1]/bd7e_grp[1]/bd7e_label","5","182"
"consented_grp[1]/bd_grp[1]/bd7e_grp[1]/bd7e","5","182"
"consented_grp[1]/bd_grp[1]/bd7x_grp[1]/bd7x_label","3","187"
"consented_grp[1]/bd_grp[1]/bd7x_grp[1]/bd7x","3","187"
"consented_grp[1]/bd_grp[1]/bd8","2","189"
"consented_grp[1]/bd_grp[1]/bd8_grp[1]/bd8_note","6","191"
"consented_grp[1]/bd_grp[1]/bd8_grp[1]/bd8a1","2","192"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8b_note","1","194"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8b1","4","195"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8c1","1","199"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8d1","1","200"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8e1","1","201"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8f1","1","202"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8g1","1","203"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8h1","1","204"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8i1","1","205"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8j1","1","207"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8k1","1","208"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8l1","1","209"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8m1","1","211"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8n1","1","212"
"consented_grp[1]/bd_grp[1]/bd8b_grp[1]/bd8x1","1","213"
"consented_grp[1]/im2","2","214"
"consented_grp[1]/im5","12","216"
"consented_grp[1]/im6_note","2","228"
"consented_grp[1]/im6_rpt[1]/im6","5","229"
"consented_grp[1]/im6_rpt[1]/im6a","13","231"
"consented_grp[1]/im6_rpt[2]/im6","5","238"
"consented_grp[1]/im6_rpt[2]/im6a","6","240"
"consented_grp[1]/im6_rpt[3]/im6","8","245"
"consented_grp[1]/im6_rpt[4]/im6","2","251"
"consented_grp[1]/im6_rpt[5]/im6","2","252"
"consented_grp[1]/im6_rpt[6]/im6","2","254"
"consented_grp[1]/im6_rpt[7]/im6","2","255"
"consented_grp[1]/im6_rpt[8]/im6","2","256"
"consented_grp[1]/im6_rpt[9]/im6","2","257"
"consented_grp[1]/im6_rpt[10]/im6","2","259"
"consented_grp[1]/im6_rpt[11]/im6","2","260"
"consented_grp[1]/im6_rpt[12]/im6","3","261"
"consented_grp[1]/im6_rpt[13]/im6","2","262"
"consented_grp[1]/im6_rpt[14]/im6","2","264"
"consented_grp[1]/im6_rpt[15]/im6","4","265"
"consented_grp[1]/ca1","231","267"
"consented_grp[1]/ca14","4","274"
"consented_grp[1]/ca16","16","277"
"consented_grp[1]/ca17","5","292"
"consented_grp[1]/ca31","10","296"
"consented_grp[1]/gps_backup","13","303"
"comments","5","633"
