"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","2"
"enum_id","2","3"
"enum_confirm_grp[1]/enum_details","1","6"
"enum_confirm_grp[1]/enum_confirm","1","6"
"community_id","6","7"
"comm_confirm_grp[1]/comm_details","1","12"
"comm_confirm_grp[1]/comm_confirm","1","12"
"u5_iden_grp[1]/u5_id","65","14"
"u5_iden_grp[1]/u5_fullname","65","14"
"u5_iden_grp[1]/u5_age","65","14"
"u5_iden_grp[1]/u5_ct_id","65","14"
"u5_iden_grp[1]/u5_ct_fullname","65","14"
"gm1_a","2","78"
"gmobs1","2","80"
"gmobs2","2","82"
"an8","11","85"
"an9","2","96"
"an11_grp[1]/an11_b","8","98"
"an11_grp[1]/an11","8","98"
"an12","5","105"
"an13","13","110"
"an15","2","123"
