"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","2"
"enum_id","11","3"
"enum_confirm_grp[1]/enum_details","1","14"
"enum_confirm_grp[1]/enum_confirm","1","14"
"community_id","8","15"
"comm_confirm_grp[1]/comm_details","1","23"
"comm_confirm_grp[1]/comm_confirm","1","23"
"u5_iden_grp[1]/u5_id","87","25"
"u5_iden_grp[1]/u5_fullname","87","25"
"u5_iden_grp[1]/u5_age","87","25"
"u5_iden_grp[1]/u5_ct_id","87","25"
"u5_iden_grp[1]/u5_ct_fullname","87","25"
"gm1_a","6","112"
"gmobs1","4","117"
"gmobs2","3","121"
"an8","55","124"
"an9","3","180"
"an11_grp[1]/an11_b","11","182"
"an11_grp[1]/an11","11","182"
"an12","4","194"
"an13","1","198"
"an15","1","199"
