"Field name","Total duration (seconds)","First appeared (seconds into survey)"
"intro_note","1","1"
"enum_id","5","2"
"enum_confirm_grp[1]/enum_details","1","7"
"enum_confirm_grp[1]/enum_confirm","1","7"
"community_id","6","8"
"comm_confirm_grp[1]/comm_details","1","14"
"comm_confirm_grp[1]/comm_confirm","1","14"
"iw_iden_grp[1]/iw_id","26","16"
"iw_iden_grp[1]/iw_fullname","26","16"
"iw_iden_grp[1]/iw_age","26","16"
"wm8","3","41"
"wm9_grp[1]/wm9b","2","45"
"wm9_grp[1]/consent","2","45"
"consented_grp[1]/wb3_age_sel","3","46"
"consented_grp[1]/wb4_age_est","2","49"
"consented_grp[1]/wb5","3","51"
"consented_grp[1]/wb14_grp[1]/wb14_note","3","54"
"consented_grp[1]/wb14_grp[1]/wb14","3","54"
"consented_grp[1]/wb15","4","57"
"consented_grp[1]/wb18","2","61"
"consented_grp[1]/mt1","3","63"
"consented_grp[1]/mt2","5","66"
"consented_grp[1]/mt3","3","72"
"consented_grp[1]/mt4","3","75"
"consented_grp[1]/mt9","4","78"
"consented_grp[1]/mt11","2","82"
"consented_grp[1]/mt12","23","84"
"consented_grp[1]/cm1","2","107"
"consented_grp[1]/cm2","4","110"
"consented_grp[1]/cm2_grp[1]/cm3","8","113"
"consented_grp[1]/cm2_grp[1]/cm4","8","113"
"consented_grp[1]/cm5","4","121"
"consented_grp[1]/cm5_grp[1]/cm6","5","126"
"consented_grp[1]/cm5_grp[1]/cm7","5","126"
"consented_grp[1]/cm8","2","130"
"consented_grp[1]/cm8_grp[1]/cm9","7","133"
"consented_grp[1]/cm8_grp[1]/cm10","7","133"
"consented_grp[1]/cm12","4","140"
"consented_grp[1]/bh0","1","144"
"consented_grp[1]/bh_rpt[1]/bh1","28","146"
"consented_grp[1]/bh_rpt[1]/bh2","8","172"
"consented_grp[1]/bh_rpt[1]/bh3","8","174"
"consented_grp[1]/bh_rpt[1]/bh4_age_sel","11","175"
"consented_grp[1]/bh_rpt[1]/bh4_dob_my","22","179"
"consented_grp[1]/bh_rpt[1]/bh5","4","222"
"consented_grp[1]/bh_rpt[1]/bh9_grp[1]/bh9_note","14","226"
"consented_grp[1]/bh_rpt[1]/bh9_grp[1]/bh9_a","14","226"
"consented_grp[1]/bh_rpt[1]/bh9_grp[1]/bh9_b","14","226"
"consented_grp[1]/bh_rpt[1]/bh10","4","240"
"consented_grp[1]/bh_rpt[2]/bh1","13","244"
"consented_grp[1]/bh_rpt[2]/bh2","2","256"
"consented_grp[1]/bh_rpt[2]/bh3","2","258"
"consented_grp[1]/bh_rpt[2]/bh4_age_sel","4","260"
